char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm_x,training_pattern,hip_score,waist_def_score,somatotype,height_cm_y,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,elbow_circ_cm,forearm_circ_cm,wrist_circ_cm,upper_arm_length_cm,forearm_length_cm,total_arm_length_cm,upper_leg_length_cm,lower_leg_length_cm,total_leg_length_cm
char_00487,female,29,athletic_lean,0.0753,0.5591,0.2952,0.4497,0.4827,0.4296,0.2654,0.2586,0.3821,0.5586,,push_dominant,0.3752,0.8423,v_shape,153.08,34.94,102.21,82.38,98.72,56.73,29.47,26.7,23.29,21.12,14.53,19.4,18.93,38.33,35.67,34.31,69.97
char_00526,female,28,obese,0.9469,0.3352,0.2801,0.5159,0.3942,0.3667,0.5092,0.6053,0.4718,0.3053,,balanced,0.5585,0.3474,apple,154.59,59.41,283.26,183.92,200.39,110.32,50.28,51.39,39.26,32.76,21.19,21.53,19.25,40.78,34.2,36.93,71.12
char_00539,female,16,obese,0.9034,0.2765,0.2917,0.6954,0.8,0.8,0.6422,0.8,0.5872,0.6702,,balanced,0.5409,0.3667,apple,163.65,56.3,70.67,178.75,196.13,106.42,47.71,48.96,37.86,30.95,20.54,23.38,20.36,43.73,40.65,39.42,80.06
char_00596,female,30,obese,0.7594,0.2179,0.3653,0.45,0.475,0.5338,0.3961,0.3854,0.6771,0.6854,,balanced,0.6373,0.8332,rectangle,162.68,50.87,135.9,159.72,177.71,96.03,43.78,41.18,34.97,31.91,20.29,22.31,22.69,45.0,40.34,39.41,79.74
char_00647,female,18,athletic_lean,0.1322,0.5633,0.2953,0.4635,0.4531,0.3439,0.4203,0.2925,0.5925,0.4,,balanced,0.4223,0.7903,rectangle,154.07,36.58,105.54,90.06,105.09,59.69,33.14,28.63,25.08,24.02,15.58,19.71,20.42,40.13,34.53,36.41,70.94
char_00659,female,29,athletic_lean,0.0787,0.4551,0.3667,0.9525,0.7762,0.9086,0.861,0.9993,0.9954,0.7256,,balanced,0.2693,0.6473,v_shape,177.77,34.47,102.2,82.24,97.83,56.01,30.76,30.96,25.09,22.39,14.84,26.76,25.06,51.82,45.51,45.99,91.49
char_00667,female,24,overweight,0.5753,0.2494,0.2861,0.4099,0.6705,0.3707,0.5152,0.3705,0.4896,0.6628,,balanced,0.819,0.5245,pear,153.46,45.83,122.39,141.52,157.05,84.19,41.5,37.2,31.35,27.8,18.41,20.17,19.48,39.65,34.54,37.29,71.82
char_00721,female,24,normal,0.2122,0.2279,0.3218,0.6442,0.4434,0.5276,0.4099,0.5757,0.3633,0.3442,,balanced,0.5711,0.8894,rectangle,161.06,37.23,114.62,97.9,115.0,64.63,33.09,33.4,26.63,22.41,15.5,22.22,19.47,41.69,38.25,37.56,75.8
char_00762,female,34,overweight,0.5589,0.2286,0.2976,0.4533,0.444,0.4876,0.5332,0.3419,0.3451,0.6419,,balanced,0.2777,0.404,apple,157.37,45.64,126.25,135.59,149.08,81.27,41.72,36.84,30.77,26.51,17.99,20.12,18.74,38.86,36.62,38.11,74.72
char_00764,female,35,obese,0.9227,0.2044,0.2885,0.4048,0.5187,0.5475,0.3669,0.5898,0.6669,0.619,,balanced,0.3232,0.7961,apple,153.55,55.42,142.74,175.74,192.11,104.46,46.74,48.54,38.53,33.6,21.37,21.93,20.81,42.74,37.0,35.42,72.41
char_00797,female,29,obese,0.8049,0.2067,0.2953,0.5139,0.7191,0.537,0.4191,0.5173,0.5776,0.4958,,balanced,0.5332,0.3252,apple,156.51,52.49,141.47,166.74,182.05,98.16,44.58,44.21,35.83,31.14,20.23,21.42,20.34,41.76,37.2,36.45,73.64
char_00811,female,21,obese,0.9323,0.2754,0.2847,0.6591,0.7031,0.5468,0.7002,0.6825,0.4031,0.6054,,balanced,0.5301,0.8271,rectangle,160.77,58.03,282.91,179.72,196.48,106.87,50.18,49.22,37.98,30.91,20.62,22.21,18.88,41.09,36.89,39.81,76.69
char_00856,female,29,obese,0.9578,0.2621,0.279,0.6169,0.3169,0.4187,0.3935,0.5845,0.3494,0.5995,,balanced,0.4418,0.4731,apple,154.75,60.31,285.52,183.23,199.22,108.31,48.61,50.59,38.67,31.43,20.87,21.21,18.36,39.57,34.82,35.31,70.12
char_00884,female,32,obese,0.7432,0.1885,0.3986,0.2251,0.0533,0.3533,0.1219,0.2373,0.1776,0.0946,,balanced,0.419,0.2303,apple,160.05,50.93,142.05,158.76,174.89,94.78,43.94,44.25,35.16,29.95,19.66,21.78,19.96,41.74,39.37,37.15,76.51
char_00914,female,28,athletic_hyper,0.1295,0.9396,0.3158,0.3656,0.6656,0.6189,0.5235,0.3749,0.3678,0.6365,,balanced,0.4535,0.8729,hourglass,159.25,38.17,99.5,93.81,113.17,66.38,34.88,32.18,26.33,23.02,15.61,21.18,19.56,40.74,39.14,38.72,77.85
char_00952,female,16,athletic_lean,0.1093,0.5334,0.295,0.8,0.8,0.7728,0.6392,0.6927,0.6592,0.5425,,balanced,0.6738,0.8246,pear,165.05,35.83,107.68,88.58,107.08,61.07,31.62,30.07,24.8,21.7,14.81,22.55,20.93,43.48,40.4,39.53,79.92
char_00958,female,19,underweight,0.0709,0.1288,0.2453,0.5099,0.3998,0.3101,0.6019,0.3938,0.3019,0.5117,,balanced,0.2271,0.8353,v_shape,151.34,32.04,96.02,76.47,89.46,49.16,30.14,24.83,21.52,18.28,13.71,19.12,17.18,36.31,31.77,36.57,68.33
char_00969,female,38,overweight,0.4129,0.2699,0.299,0.4523,0.4456,0.5697,0.3897,0.5624,0.3817,0.2697,,balanced,0.665,0.2627,apple,156.85,42.06,118.84,123.19,140.2,77.28,37.44,38.51,30.19,25.38,17.1,21.73,19.06,40.79,37.81,36.23,74.03
char_01019,female,20,overweight,0.4854,0.3058,0.2937,0.454,0.6359,0.4898,0.3359,0.6236,0.4339,0.4433,,balanced,0.4616,0.2861,apple,154.09,44.01,120.85,130.2,143.83,78.55,37.87,40.55,31.53,26.35,17.64,22.12,19.3,41.42,36.45,35.22,71.67
char_01049,female,19,normal,0.2417,0.2087,0.2944,0.5159,0.8159,0.785,0.7327,0.7832,0.7354,0.5655,,balanced,0.6424,0.745,pear,162.76,37.15,96.14,102.17,119.39,66.75,34.72,33.57,27.3,24.14,16.1,23.55,21.46,45.01,40.57,40.79,81.35
char_01125,female,19,obese,0.6182,0.2184,0.2925,0.579,0.5585,0.6675,0.6166,0.4257,0.3675,0.4942,,balanced,0.6077,0.4817,apple,161.67,47.47,134.23,145.14,162.48,88.62,43.16,38.46,31.75,26.96,18.34,20.53,18.79,39.32,38.89,39.07,77.95
char_01132,female,31,athletic_hyper,0.0971,0.7708,0.3029,0.372,0.672,0.3886,0.5721,0.5016,0.6644,0.4589,,push_dominant,0.871,0.8241,pear,155.39,36.42,94.36,89.19,107.22,60.2,33.32,31.73,26.09,24.14,15.56,21.76,21.23,42.99,35.49,38.8,74.28
char_01155,female,19,obese,0.811,0.2201,0.3028,0.4098,0.5382,0.2744,0.384,0.5744,0.3104,0.382,,balanced,0.7642,0.6399,apple,153.01,53.05,143.91,168.06,184.56,99.36,45.84,47.79,36.51,29.78,19.85,21.91,18.65,40.56,33.98,36.25,70.21
char_01168,female,27,obese,0.7237,0.3021,0.299,0.4164,0.4878,0.4169,0.3738,0.1878,0.3676,0.3206,,balanced,0.6968,0.587,apple,154.94,51.04,142.23,158.44,176.0,95.53,44.69,40.33,33.71,29.74,19.51,18.98,18.91,37.89,35.75,35.97,71.71
char_01180,female,31,overweight,0.5484,0.268,0.2942,0.4604,0.3078,0.5284,0.5798,0.6078,0.3118,0.5125,,balanced,0.4235,0.2384,apple,158.09,45.53,126.06,136.56,151.17,82.28,42.11,41.79,32.19,26.14,17.83,21.95,18.46,40.41,37.03,38.6,75.62
char_01208,female,37,obese,0.6971,0.1717,0.2878,0.7198,0.5347,0.4925,0.4198,0.4447,0.6581,0.5894,,balanced,0.5495,0.7733,rectangle,157.55,50.15,146.2,151.72,167.39,90.13,42.0,39.91,33.7,30.44,19.63,20.52,20.72,41.23,36.22,36.1,72.31
char_01264,female,34,obese,0.8499,0.2589,0.3052,0.2809,0.5359,0.2359,0.5305,0.2439,0.2555,0.5232,,balanced,0.3582,0.5305,apple,153.39,53.67,140.66,169.16,182.74,98.54,48.98,43.46,35.42,30.08,20.08,19.67,18.28,37.95,33.58,38.35,71.92
char_01283,female,36,overweight,0.5052,0.2455,0.2966,0.6364,0.711,0.4384,0.4679,0.411,0.5648,0.5055,,balanced,0.7235,0.6297,pear,157.75,44.8,130.79,132.53,147.59,79.71,39.07,35.67,30.39,27.37,18.02,20.52,20.27,40.79,35.91,37.15,73.06
char_01284,female,19,obese,0.8938,0.2441,0.2384,0.1723,0.1085,0.2126,0.4021,0.1693,0.1021,0.244,,balanced,0.5866,0.7002,apple,144.19,55.47,147.55,176.19,194.05,110.65,49.63,38.56,36.4,30.45,20.35,17.35,15.61,32.97,30.24,33.48,63.71
char_01302,female,23,athletic_lean,0.0964,0.5356,0.295,0.7161,0.5441,0.6071,0.7115,0.604,0.7804,0.5774,,lower_dominant,0.747,0.5101,pear,162.92,34.54,103.4,87.18,105.92,59.54,33.03,28.28,24.21,22.58,14.96,21.98,21.77,43.75,38.14,40.47,78.6
char_01307,female,36,normal,0.3199,0.1677,0.2954,0.3565,0.5257,0.4396,0.6215,0.6565,0.4035,0.5713,,balanced,0.4854,0.5054,rectangle,155.82,38.79,100.74,109.6,123.56,67.77,37.08,36.44,28.5,23.65,16.28,22.54,19.14,41.68,35.88,39.2,75.07
char_01345,female,26,overweight,0.5161,0.202,0.2954,0.4062,0.3505,0.6505,0.4004,0.5401,0.6355,0.5428,,balanced,0.2597,0.6282,apple,156.24,43.97,117.36,129.8,145.09,80.24,38.67,38.83,31.73,28.46,18.38,21.69,20.75,42.44,38.7,36.23,74.93
char_01375,female,36,athletic_lean,0.1236,0.5186,0.2924,0.6424,0.5865,0.5636,0.6159,0.6241,0.3424,0.5422,,balanced,0.2829,0.7877,v_shape,160.7,36.18,107.43,88.2,103.33,59.31,33.42,31.86,25.26,20.95,14.69,21.91,18.63,40.54,37.4,39.02,76.42
char_01414,female,23,athletic_hyper,0.1198,0.8236,0.2962,0.7173,0.5085,0.7638,0.6388,0.7349,0.4638,0.6024,,upper_dominant,0.3905,0.5762,rectangle,164.34,38.43,113.51,91.54,108.08,63.16,33.38,35.78,27.19,22.27,15.23,22.97,19.73,42.7,40.24,39.49,79.72
char_01468,female,37,normal,0.2886,0.1852,0.2956,0.401,0.666,0.6303,0.6551,0.5001,0.366,0.408,,balanced,0.4757,0.3957,rectangle,159.58,38.21,100.95,107.7,122.89,68.67,36.84,32.64,26.88,22.88,15.94,21.35,18.86,40.21,38.52,39.73,78.24
char_01499,female,33,obese,0.9203,0.286,0.2947,0.6955,0.6405,0.4032,0.3955,0.4809,0.4443,0.5196,,balanced,0.3748,0.4349,apple,156.8,58.76,290.36,178.52,192.56,104.32,47.45,46.99,37.47,31.58,20.77,20.89,19.39,40.27,35.33,36.06,71.38
char_01507,female,26,obese,0.742,0.2311,0.2974,0.4733,0.4129,0.6573,0.6469,0.4426,0.5381,0.3573,,balanced,0.5583,0.7118,rectangle,161.13,50.62,137.16,158.05,176.49,96.14,46.52,42.15,34.59,30.34,19.77,20.92,20.1,41.03,38.98,39.71,78.68
char_01525,female,14,underweight,0.0899,0.114,0.2963,0.4254,0.3849,0.4519,0.5881,0.6447,0.6849,0.3854,,balanced,0.5813,0.7898,rectangle,156.37,32.42,87.17,80.76,96.31,52.82,30.1,28.8,23.84,21.49,14.66,22.52,21.12,43.64,36.02,38.79,74.81
char_01529,female,27,overweight,0.4107,0.2804,0.2956,0.3755,0.5344,0.4039,0.6245,0.3458,0.352,0.6458,,balanced,0.5779,0.4566,rectangle,156.14,41.73,111.55,121.25,135.72,73.97,39.82,33.77,28.47,24.77,16.92,20.2,18.74,38.94,35.42,39.24,74.65
char_01530,female,24,athletic_lean,0.0802,0.4273,0.2571,0.6497,0.5357,0.3594,0.37,0.537,0.6594,0.607,,pull_dominant,0.8436,0.7192,pear,151.03,34.56,105.31,84.57,101.13,55.86,29.04,29.02,24.4,22.49,14.94,20.45,20.01,40.46,33.0,33.95,66.95
char_01544,female,39,athletic_lean,0.1102,0.5804,0.3252,0.452,0.4065,0.4264,0.4017,0.3189,0.5216,0.6189,,lower_dominant,0.2749,0.2299,apple,157.59,35.08,100.47,88.01,103.02,58.92,32.29,27.35,23.97,22.42,14.99,20.68,20.63,41.31,36.99,37.58,74.56
char_01600,female,34,overweight,0.5108,0.2094,0.2945,0.3822,0.5464,0.4589,0.5231,0.3724,0.6188,0.6724,,balanced,0.5027,0.6792,rectangle,154.99,43.77,115.04,130.49,145.28,78.92,39.97,35.37,30.51,28.14,18.27,20.48,20.59,41.07,36.09,37.82,73.9
char_01623,female,29,underweight,0.1023,0.1069,0.2973,0.5691,0.6516,0.4002,0.3516,0.4595,0.4931,0.5741,,balanced,0.5161,0.7622,hourglass,154.89,33.07,98.17,83.29,96.97,53.22,28.02,26.1,22.8,20.47,14.46,20.95,19.77,40.72,35.34,35.59,70.92
char_01631,female,16,normal,0.2572,0.2725,0.2951,0.4144,0.5874,0.5108,0.3516,0.2874,0.5785,0.361,,balanced,0.6972,0.6903,pear,154.59,38.1,105.73,104.89,122.06,68.14,33.81,29.8,26.45,25.31,16.5,19.74,20.31,40.05,36.82,35.51,72.32
char_01697,female,24,athletic_hyper,0.1019,0.8302,0.2243,0.4381,0.654,0.7381,0.5387,0.625,0.7159,0.5153,,upper_dominant,0.4438,0.5877,rectangle,151.56,37.39,96.11,89.5,106.36,62.13,31.77,33.67,26.91,24.42,15.75,20.72,19.77,40.49,36.61,34.76,71.36
char_01701,female,26,athletic_lean,0.0987,0.4502,0.2949,0.5782,0.4762,0.5574,0.5504,0.4039,0.7039,0.5641,,balanced,0.5274,0.6724,hourglass,159.04,34.93,101.03,85.86,102.74,58.33,31.69,26.76,23.94,23.11,15.17,20.55,21.2,41.75,37.43,38.24,75.66
char_01729,female,26,underweight,0.0428,0.0953,0.2951,0.6704,0.6684,0.461,0.761,0.551,0.5898,0.4716,,balanced,0.6027,0.553,rectangle,161.6,30.66,91.9,74.03,87.88,46.52,28.34,22.67,20.4,17.98,13.43,21.63,20.39,42.02,36.08,41.12,77.19
char_01742,female,30,normal,0.3265,0.1881,0.2958,0.7227,0.6314,0.4745,0.4227,0.5441,0.5744,0.4515,,balanced,0.5858,0.7047,rectangle,158.2,39.93,121.65,110.81,125.47,68.81,34.52,33.71,28.09,25.07,16.7,21.41,20.33,41.74,36.34,36.51,72.83
char_01771,female,29,overweight,0.4441,0.3167,0.2967,0.4236,0.3748,0.3419,0.6419,0.3886,0.4151,0.5099,,balanced,0.848,0.3349,apple,156.51,43.01,119.18,127.34,143.36,77.2,40.65,36.0,29.75,26.08,17.41,20.46,19.22,39.68,34.64,39.51,74.14
char_01787,female,39,overweight,0.4906,0.2076,0.4056,0.617,0.4634,0.4416,0.7416,0.6988,0.585,0.6136,,balanced,0.8459,0.83,pear,172.05,43.91,123.96,129.83,146.38,78.36,41.34,39.56,31.59,27.0,17.86,25.47,23.06,48.53,40.97,46.01,86.97
char_01816,female,20,obese,0.7126,0.3128,0.297,0.6383,0.6809,0.5415,0.6156,0.4466,0.6051,0.3809,,balanced,0.7617,0.4647,apple,161.06,51.02,143.85,158.11,175.06,94.32,45.21,40.87,34.05,30.22,19.6,20.83,20.57,41.39,37.38,39.23,76.6
char_01822,female,21,athletic_lean,0.1334,0.4508,0.2927,0.5114,0.3097,0.4514,0.3324,0.4182,0.6097,0.3182,,push_dominant,0.2489,0.5733,v_shape,154.6,36.27,108.02,89.62,104.05,59.67,31.69,30.63,25.71,23.98,15.6,20.5,20.49,40.99,35.84,35.12,70.95
char_01928,female,23,overweight,0.5328,0.2385,0.2995,0.4732,0.4905,0.4906,0.3411,0.5952,0.6411,0.3884,,balanced,0.6015,0.4476,apple,154.93,44.96,124.44,134.99,150.65,81.78,38.63,40.7,32.57,28.89,18.55,22.1,20.9,42.99,36.73,35.57,72.28
char_01950,female,29,athletic_lean,0.114,0.589,0.3374,0.5129,0.523,0.6665,0.4411,0.741,0.6368,0.441,,lower_dominant,0.6629,0.606,pear,162.38,35.13,97.35,89.49,109.49,62.63,31.56,32.91,25.91,22.61,15.04,24.17,21.79,45.96,40.85,38.76,79.6
char_01997,female,26,obese,0.7795,0.2058,0.2967,0.5256,0.4272,0.6016,0.4236,0.4385,0.3016,0.3944,,balanced,0.3629,0.6307,apple,158.59,52.43,147.19,160.88,177.58,96.83,45.2,43.92,34.91,28.96,19.51,20.67,18.43,39.1,38.14,36.6,74.73
char_02008,female,32,obese,0.9459,0.2876,0.3005,0.5354,0.3324,0.5184,0.275,0.5658,0.575,0.3949,,balanced,0.3192,0.326,apple,155.71,59.06,285.61,181.46,197.4,107.14,47.58,50.32,39.31,33.79,21.5,21.77,20.45,42.22,37.14,34.71,71.84
char_02022,female,24,athletic_hyper,0.1387,0.9641,0.2955,0.3104,0.3063,0.2357,0.4731,0.5357,0.3864,0.382,,balanced,0.6346,0.6512,rectangle,151.52,38.75,106.09,95.81,113.51,64.71,36.26,38.86,28.98,24.86,16.19,21.77,19.24,41.01,32.99,36.96,69.94
char_02120,female,34,athletic_lean,0.1333,0.4289,0.3196,0.2821,0.5075,0.2075,0.4162,0.2377,0.3881,0.2467,,push_dominant,0.3145,0.8758,v_shape,153.25,35.9,98.61,89.12,102.3,57.87,33.72,28.92,24.89,23.07,15.35,19.97,19.55,39.52,33.8,37.45,71.24
char_02160,female,29,obese,0.6925,0.2599,0.3445,0.3392,0.3922,0.4202,0.6392,0.4878,0.4182,0.421,,balanced,0.7628,0.6869,pear,161.43,48.95,129.26,153.75,171.68,92.38,45.73,43.23,34.36,29.21,19.25,22.5,20.39,42.89,37.9,41.73,79.62
char_02248,female,31,normal,0.2815,0.1527,0.2948,0.5381,0.5967,0.6683,0.6067,0.3683,0.4884,0.6597,,balanced,0.7672,0.353,pear,160.77,38.11,106.22,108.21,125.67,69.58,35.5,29.77,26.08,23.5,16.1,20.29,19.68,39.98,38.99,39.04,78.02
char_02318,female,32,obese,0.6989,0.2422,0.3353,0.2067,0.1143,0.4143,0.1573,0.1251,0.1792,0.1695,,balanced,0.602,0.6271,rectangle,154.27,49.66,137.27,153.94,172.32,93.92,43.38,41.05,33.59,29.18,19.27,19.42,18.45,37.87,37.32,34.69,72.01
char_02321,female,28,obese,0.6695,0.2832,0.3116,0.606,0.3697,0.3793,0.4168,0.3328,0.306,0.4881,,balanced,0.7726,0.4372,apple,157.96,49.94,145.66,152.65,169.64,91.16,43.46,40.32,32.95,28.05,18.83,20.2,18.8,39.0,35.8,37.14,72.93
char_02344,female,39,obese,0.8146,0.2242,0.2939,0.3848,0.2102,0.2194,0.5102,0.4283,0.2791,0.4085,,balanced,0.3757,0.6985,apple,153.14,53.46,146.68,164.02,178.43,95.82,48.03,46.47,36.16,30.05,19.94,20.58,18.2,38.78,32.82,37.54,70.35
char_02357,female,24,obese,0.6772,0.1896,0.2965,0.6581,0.7103,0.6634,0.6213,0.7249,0.4249,0.6488,,balanced,0.5699,0.7507,rectangle,162.19,48.9,136.11,150.15,166.6,90.27,43.12,43.41,33.89,27.71,18.77,22.85,19.32,42.17,39.0,39.32,78.3
char_02385,female,21,normal,0.3113,0.25,0.2959,0.544,0.3499,0.462,0.2823,0.5823,0.3982,0.5534,,balanced,0.6907,0.5374,pear,154.56,39.63,117.25,110.48,127.0,70.02,34.1,36.22,28.55,24.12,16.36,21.71,19.1,40.81,36.15,34.58,70.73
char_02423,female,15,athletic_lean,0.0908,0.4,0.2953,0.3669,0.43,0.6669,0.5988,0.5125,0.4868,0.6431,,upper_dominant,0.5447,0.4568,rectangle,158.49,34.56,88.81,85.62,102.45,58.42,31.53,29.12,24.23,21.32,14.67,21.51,19.7,41.21,38.97,38.95,77.91
char_02488,female,26,overweight,0.465,0.3381,0.2961,0.6056,0.6541,0.5343,0.5681,0.5047,0.3541,0.4484,,balanced,0.3069,0.7505,v_shape,160.03,44.13,127.77,125.06,138.98,76.67,39.91,37.21,30.05,25.21,17.24,21.15,18.79,39.94,37.2,38.53,75.72
char_02503,female,25,normal,0.2115,0.2847,0.2957,0.4957,0.5356,0.5151,0.4526,0.3397,0.5196,0.6397,,balanced,0.759,0.6142,pear,156.59,37.12,104.45,100.03,117.34,65.32,33.46,28.85,25.44,23.66,15.85,20.1,19.92,40.02,36.91,36.92,73.82
char_02566,female,29,athletic_lean,0.124,0.4699,0.2385,0.5063,0.3353,0.2237,0.3438,0.2063,0.3754,0.2187,,push_dominant,0.7388,0.8658,pear,146.56,36.15,111.64,89.66,106.48,59.7,32.74,28.42,24.57,22.79,15.24,17.51,17.53,35.04,30.34,32.7,63.03
char_02588,female,15,overweight,0.4437,0.2548,0.3412,0.4875,0.4607,0.5678,0.377,0.6635,0.677,0.6261,,balanced,0.8799,0.8305,pear,160.34,42.53,115.5,125.34,144.26,78.62,36.89,38.92,31.21,27.68,17.87,23.73,22.16,45.88,39.69,38.03,77.7
char_02660,female,23,overweight,0.5313,0.2194,0.2956,0.5302,0.3188,0.3834,0.5561,0.6188,0.6129,0.4197,,balanced,0.8682,0.7934,pear,156.7,45.03,127.87,135.09,152.32,81.78,41.05,40.95,32.55,28.56,18.45,22.09,20.61,42.7,35.13,38.3,73.42
char_02701,female,28,overweight,0.4388,0.2474,0.295,0.5929,0.5646,0.6891,0.3891,0.5691,0.5998,0.4147,,balanced,0.531,0.6669,rectangle,158.99,42.76,122.57,123.44,140.6,77.94,36.71,37.02,30.28,26.8,17.61,21.7,20.5,42.2,39.23,36.07,75.29
char_02716,female,19,overweight,0.5949,0.2682,0.2951,0.4416,0.5385,0.5514,0.3587,0.4632,0.5106,0.2514,,balanced,0.5673,0.5393,rectangle,155.65,46.84,129.69,142.26,158.91,86.87,40.75,40.53,32.81,28.82,18.76,20.97,19.86,40.83,37.38,35.62,72.99
char_02740,female,39,obese,0.6743,0.2625,0.2949,0.6664,0.4848,0.6534,0.3664,0.595,0.6545,0.4135,,balanced,0.4239,0.4573,apple,159.19,49.79,143.58,150.23,166.17,90.45,41.67,42.8,34.47,30.3,19.49,21.81,20.88,42.7,38.73,35.74,74.46
char_02742,female,21,obese,0.7638,0.303,0.2954,0.35,0.3829,0.5309,0.5373,0.5453,0.5605,0.65,,balanced,0.5234,0.448,apple,155.84,50.92,131.67,161.23,177.91,96.0,45.9,44.96,35.74,30.88,19.98,21.77,20.23,42.0,37.12,38.08,75.19
char_02757,female,34,obese,0.851,0.2973,0.3079,0.4992,0.2521,0.513,0.2684,0.4772,0.4677,0.3974,,balanced,0.4994,0.6532,apple,156.22,55.55,288.38,171.03,188.89,102.75,45.65,47.37,37.31,31.97,20.62,21.27,19.86,41.13,37.41,34.97,72.37
char_02783,female,27,normal,0.2931,0.2114,0.2959,0.4026,0.618,0.5858,0.5629,0.7012,0.7026,0.559,,balanced,0.5885,0.8302,rectangle,157.26,38.36,99.5,106.54,122.91,68.05,35.08,35.35,28.54,25.53,16.69,22.97,21.26,44.23,37.88,38.47,76.34
char_02843,female,21,normal,0.2041,0.1498,0.2953,0.5885,0.4341,0.516,0.306,0.4269,0.3526,0.2885,,balanced,0.6477,0.5981,pear,156.42,36.61,113.06,98.21,115.41,64.77,32.06,31.08,25.81,22.59,15.55,20.49,18.75,39.24,36.88,34.9,71.77
char_02867,female,16,underweight,0.1254,0.097,0.297,0.6253,0.6945,0.6325,0.6308,0.4368,0.59,0.7368,,balanced,0.4858,0.7051,rectangle,161.47,33.82,96.12,86.85,101.91,56.9,30.96,25.24,22.93,21.17,14.79,20.86,20.45,41.31,38.55,39.47,78.0
char_02868,female,32,obese,0.655,0.2381,0.3046,0.561,0.6674,0.6734,0.4543,0.4479,0.3734,0.499,,balanced,0.2964,0.6924,apple,160.64,48.62,136.01,146.34,161.64,88.78,42.13,39.9,32.58,27.46,18.62,21.02,19.12,40.13,39.48,37.41,76.88
