char_id,gender,fat_score,muscle_score,hip_score,waist_def_score,height_score,shoulder_w,waist_w,hip_w,hip_over_shoulder,waist_over_hip,waist_over_shoulder,chest_circ_cm,waist_circ_cm,hip_circ_cm
char_01375,female,0.1236,0.5186,0.2829,0.7877,0.2924,0.3184,0.1465,0.2051,0.6442,0.7143,0.4601,107.43,88.2,103.33
char_01414,female,0.1198,0.8236,0.3905,0.5762,0.2962,0.332,0.1504,0.2051,0.6176,0.7333,0.4529,113.51,91.54,108.08
char_01468,female,0.2886,0.1852,0.4757,0.3957,0.2956,0.3184,0.1816,0.2285,0.7178,0.7949,0.5706,100.95,107.7,122.89
char_01499,female,0.9203,0.286,0.3748,0.4349,0.2947,0.3223,0.2871,0.3301,1.0242,0.8698,0.8909,290.36,178.52,192.56
char_01507,female,0.742,0.2311,0.5583,0.7118,0.2974,0.3262,0.252,0.2988,0.9162,0.8431,0.7725,137.16,158.05,176.49
char_01525,female,0.0899,0.114,0.5813,0.7898,0.2963,0.3027,0.1387,0.1973,0.6516,0.703,0.4581,87.17,80.76,96.31
char_01529,female,0.4107,0.2804,0.5779,0.4566,0.2956,0.3105,0.2051,0.252,0.8113,0.814,0.6604,111.55,121.25,135.72
char_01530,female,0.0802,0.4273,0.8436,0.7192,0.2571,0.2949,0.1465,0.2129,0.7219,0.6881,0.4967,105.31,84.57,101.13
char_01544,female,0.1102,0.5804,0.2749,0.2299,0.3252,0.2988,0.1504,0.209,0.6993,0.7196,0.5033,100.47,88.01,103.02
char_01600,female,0.5108,0.2094,0.5027,0.6792,0.2945,0.3066,0.2266,0.2676,0.8726,0.8467,0.7389,115.04,130.49,145.28
char_01623,female,0.1023,0.1069,0.5161,0.7622,0.2973,0.291,0.1426,0.2012,0.6913,0.7087,0.4899,98.17,83.29,96.97
char_01631,female,0.2572,0.2725,0.6972,0.6903,0.2951,0.2988,0.1777,0.2363,0.7908,0.7521,0.5948,105.73,104.89,122.06
char_01697,female,0.1019,0.8302,0.4438,0.5877,0.2243,0.3105,0.166,0.2207,0.7107,0.7522,0.5346,96.11,89.5,106.36
char_01701,female,0.0987,0.4502,0.5274,0.6724,0.2949,0.3027,0.1426,0.2051,0.6774,0.6952,0.471,101.03,85.86,102.74
char_01729,female,0.0428,0.0953,0.6027,0.553,0.2951,0.2832,0.123,0.1777,0.6276,0.6923,0.4345,91.9,74.03,87.88
char_01742,female,0.3265,0.1881,0.5858,0.7047,0.2958,0.3105,0.1836,0.2363,0.761,0.7769,0.5912,121.65,110.81,125.47
char_01771,female,0.4441,0.3167,0.848,0.3349,0.2967,0.3125,0.209,0.2637,0.8438,0.7926,0.6688,119.18,127.34,143.36
char_01787,female,0.4906,0.2076,0.8459,0.83,0.4056,0.3418,0.2051,0.2441,0.7143,0.84,0.6,123.96,129.83,146.38
char_01816,female,0.7126,0.3128,0.7617,0.4647,0.297,0.3223,0.252,0.2988,0.9273,0.8431,0.7818,143.85,158.11,175.06
char_01822,female,0.1334,0.4508,0.2489,0.5733,0.2927,0.3027,0.1582,0.2129,0.7032,0.7431,0.5226,108.02,89.62,104.05
char_01928,female,0.5328,0.2385,0.6015,0.4476,0.2995,0.3184,0.2324,0.2754,0.865,0.844,0.7301,124.44,134.99,150.65
char_01950,female,0.114,0.589,0.6629,0.606,0.3374,0.3223,0.1504,0.2129,0.6606,0.7064,0.4667,97.35,89.49,109.49
char_01997,female,0.7795,0.2058,0.3629,0.6307,0.2967,0.3223,0.2598,0.3066,0.9515,0.8471,0.8061,147.19,160.88,177.58
char_02008,female,0.9459,0.2876,0.3192,0.326,0.3005,0.3281,0.3027,0.3379,1.0298,0.896,0.9226,285.61,181.46,197.4
char_02022,female,0.1387,0.9641,0.6346,0.6512,0.2955,0.3262,0.1738,0.2285,0.7006,0.7607,0.5329,106.09,95.81,113.51
char_02120,female,0.1333,0.4289,0.3145,0.8758,0.3196,0.2988,0.1582,0.209,0.6993,0.757,0.5294,98.61,89.12,102.3
char_02160,female,0.6925,0.2599,0.7628,0.6869,0.3445,0.3301,0.2559,0.291,0.8817,0.8792,0.7751,129.26,153.75,171.68
char_02248,female,0.2815,0.1527,0.7672,0.353,0.2948,0.3105,0.1777,0.2324,0.7484,0.7647,0.5723,106.22,108.21,125.67
char_02318,female,0.6989,0.2422,0.602,0.6271,0.3353,0.3145,0.25,0.3066,0.9752,0.8153,0.795,137.27,153.94,172.32
char_02321,female,0.6695,0.2832,0.7726,0.4372,0.3116,0.3145,0.2402,0.2988,0.9503,0.8039,0.764,145.66,152.65,169.64
char_02344,female,0.8146,0.2242,0.3757,0.6985,0.2939,0.3223,0.2715,0.3145,0.9758,0.8634,0.8424,146.68,164.02,178.43
char_02357,female,0.6772,0.1896,0.5699,0.7507,0.2965,0.3301,0.2441,0.2832,0.858,0.8621,0.7396,136.11,150.15,166.6
char_02385,female,0.3113,0.25,0.6907,0.5374,0.2959,0.3145,0.1895,0.2441,0.7764,0.776,0.6025,117.25,110.48,127.0
char_02423,female,0.0908,0.4,0.5447,0.4568,0.2953,0.3105,0.1465,0.2051,0.6604,0.7143,0.4717,88.81,85.62,102.45
char_02488,female,0.465,0.3381,0.3069,0.7505,0.2961,0.3184,0.2012,0.252,0.7914,0.7984,0.6319,127.77,125.06,138.98
char_02503,female,0.2115,0.2847,0.759,0.6142,0.2957,0.3027,0.166,0.2285,0.7548,0.7265,0.5484,104.45,100.03,117.34
char_02566,female,0.124,0.4699,0.7388,0.8658,0.2385,0.2832,0.1621,0.2285,0.8069,0.7094,0.5724,111.64,89.66,106.48
char_02588,female,0.4437,0.2548,0.8799,0.8305,0.3412,0.3262,0.2168,0.2598,0.7964,0.8346,0.6647,115.5,125.34,144.26
char_02660,female,0.5313,0.2194,0.8682,0.7934,0.2956,0.3223,0.2285,0.2754,0.8545,0.8298,0.7091,127.87,135.09,152.32
char_02701,female,0.4388,0.2474,0.531,0.6669,0.295,0.3184,0.2051,0.2559,0.8037,0.8015,0.6442,122.57,123.44,140.6
char_02716,female,0.5949,0.2682,0.5673,0.5393,0.2951,0.3184,0.2402,0.2871,0.9018,0.8367,0.7546,129.69,142.26,158.91
char_02740,female,0.6743,0.2625,0.4239,0.4573,0.2949,0.3223,0.2441,0.2871,0.8909,0.8503,0.7576,143.58,150.23,166.17
char_02742,female,0.7638,0.303,0.5234,0.448,0.2954,0.3223,0.2793,0.3105,0.9636,0.8994,0.8667,131.67,161.23,177.91
char_02757,female,0.851,0.2973,0.4994,0.6532,0.3079,0.3262,0.2793,0.3262,1.0,0.8563,0.8563,288.38,171.03,188.89
char_02783,female,0.2931,0.2114,0.5885,0.8302,0.2959,0.3184,0.1855,0.2324,0.7301,0.7983,0.5828,99.5,106.54,122.91
char_02843,female,0.2041,0.1498,0.6477,0.5981,0.2953,0.3066,0.166,0.2246,0.7325,0.7391,0.5414,113.06,98.21,115.41
char_02867,female,0.1254,0.097,0.4858,0.7051,0.297,0.3027,0.1426,0.1973,0.6516,0.7228,0.471,96.12,86.85,101.91
char_02868,female,0.655,0.2381,0.2964,0.6924,0.3046,0.3223,0.2363,0.2793,0.8667,0.8462,0.7333,136.01,146.34,161.64
char_02869,female,0.8753,0.3048,0.3349,0.4415,0.2846,0.3184,0.291,0.3262,1.0245,0.8922,0.9141,148.29,172.19,186.54
char_02874,female,0.116,0.9274,0.4844,0.8913,0.3514,0.332,0.1543,0.2129,0.6412,0.7248,0.4647,105.2,91.34,112.21
char_02960,female,0.167,0.2299,0.4669,0.8482,0.299,0.3086,0.1543,0.2168,0.7025,0.7117,0.5,97.99,93.11,110.41
char_02963,female,0.4044,0.321,0.5618,0.8888,0.2943,0.3184,0.2012,0.248,0.7791,0.811,0.6319,115.94,118.77,133.33
char_02978,female,0.9638,0.2406,0.7955,0.8252,0.3456,0.3223,0.3145,0.3535,1.097,0.8895,0.9758,147.77,186.47,205.59
char_03003,female,0.8789,0.2503,0.6577,0.3788,0.2879,0.3262,0.2754,0.3262,1.0,0.8443,0.8443,153.33,176.99,195.7
char_03045,female,0.4774,0.2833,0.3759,0.521,0.2947,0.3223,0.2168,0.2559,0.7939,0.8473,0.6727,118.15,127.07,142.14
char_03062,female,0.0854,0.5282,0.6743,0.8013,0.2951,0.3105,0.1465,0.2129,0.6855,0.6881,0.4717,100.03,85.14,103.73
char_03103,female,0.3931,0.2533,0.5422,0.6988,0.2962,0.3184,0.2051,0.252,0.7914,0.814,0.6442,112.23,118.03,135.13
char_03109,female,0.8791,0.1823,0.6238,0.6748,0.2952,0.3184,0.2871,0.3379,1.0613,0.8497,0.9018,146.37,174.14,191.32
char_03126,female,0.1193,0.4,0.4419,0.3673,0.2929,0.2871,0.1582,0.2168,0.7551,0.7297,0.551,98.94,88.54,103.29
char_03170,female,0.197,0.1253,0.6179,0.5857,0.2931,0.2988,0.166,0.2168,0.7255,0.7658,0.5556,111.44,96.88,110.62
char_03198,female,0.3912,0.2476,0.783,0.6828,0.2885,0.3066,0.1973,0.252,0.8217,0.7829,0.6433,123.81,119.6,134.57
char_03207,female,0.1032,0.1747,0.5595,0.6214,0.2969,0.3027,0.1426,0.2051,0.6774,0.6952,0.471,100.1,84.83,102.55
char_03227,female,0.7875,0.3196,0.4097,0.6878,0.2937,0.3223,0.2754,0.3105,0.9636,0.8868,0.8545,140.25,162.67,178.97
char_03262,female,0.0858,0.4664,0.5037,0.7588,0.3417,0.3008,0.1426,0.2051,0.6818,0.6952,0.474,87.58,84.08,102.73
char_03267,female,0.032,0.061,0.5723,0.4225,0.2961,0.2754,0.1191,0.1855,0.6738,0.6421,0.4326,81.17,71.66,88.37
char_03293,female,0.7966,0.3037,0.8388,0.4065,0.2943,0.3223,0.2715,0.3184,0.9879,0.8528,0.8424,146.76,168.99,188.28
char_03326,female,0.0306,0.0787,0.5443,0.288,0.2942,0.2734,0.127,0.1855,0.6786,0.6842,0.4643,79.67,72.93,87.39
char_03335,female,0.0558,0.164,0.5755,0.3457,0.2949,0.2754,0.1387,0.1934,0.7021,0.7172,0.5035,100.31,78.72,91.81
char_03375,female,0.1066,0.7508,0.7387,0.5569,0.294,0.3125,0.1504,0.2168,0.6938,0.6937,0.4812,111.61,90.67,110.76
char_03382,female,0.8607,0.1833,0.7269,0.303,0.3016,0.3223,0.3105,0.3379,1.0485,0.9191,0.9636,139.4,174.89,191.58
char_03406,female,0.1063,0.1324,0.6705,0.2132,0.2948,0.3027,0.1465,0.209,0.6903,0.7009,0.4839,88.2,86.43,103.68
char_03437,female,0.7,0.2288,0.8697,0.8433,0.2963,0.3262,0.2559,0.3027,0.9281,0.8452,0.7844,126.48,155.5,175.57
char_03440,female,0.67,0.2073,0.8353,0.5746,0.2942,0.3066,0.252,0.3047,0.9936,0.8269,0.8217,136.0,152.58,169.39
char_03443,female,0.1259,0.5068,0.6214,0.2758,0.298,0.3145,0.1621,0.2168,0.6894,0.7477,0.5155,91.1,91.33,108.69
char_03467,female,0.1072,0.8001,0.5577,0.5511,0.2936,0.3066,0.1582,0.2168,0.707,0.7297,0.5159,115.49,90.22,106.78
char_03502,female,0.7,0.2136,0.6411,0.8326,0.3047,0.3301,0.2402,0.2871,0.8698,0.8367,0.7278,142.01,153.34,170.45
char_03508,female,0.0444,0.0191,0.736,0.5724,0.2953,0.2754,0.123,0.1816,0.6596,0.6774,0.4468,94.35,72.46,87.34
char_03581,female,0.4642,0.2033,0.2675,0.8229,0.321,0.3223,0.2051,0.248,0.7697,0.8268,0.6364,124.71,123.17,137.37
char_03610,female,0.4276,0.2631,0.4334,0.6233,0.2953,0.3164,0.2051,0.252,0.7963,0.814,0.6481,112.41,121.57,138.25
char_03678,female,0.2926,0.1453,0.32,0.3379,0.2971,0.3105,0.1777,0.2207,0.7107,0.8053,0.5723,116.17,106.72,118.88
char_03686,female,0.4576,0.2744,0.3222,0.5232,0.3199,0.334,0.209,0.2324,0.6959,0.8992,0.6257,114.34,124.3,136.02
char_03700,female,0.7324,0.238,0.6697,0.7062,0.2966,0.3223,0.2715,0.3105,0.9636,0.8742,0.8424,130.65,157.33,174.11
char_03714,female,0.7287,0.1787,0.5947,0.4975,0.2963,0.3301,0.2676,0.2988,0.9053,0.8954,0.8107,132.45,156.88,172.37
char_03727,female,0.8326,0.2569,0.6388,0.5513,0.2857,0.3379,0.2793,0.3066,0.9075,0.9108,0.8266,141.03,170.04,188.48
char_03849,female,0.0521,0.0873,0.6273,0.4747,0.2956,0.2871,0.1309,0.1895,0.6599,0.6907,0.4558,84.38,75.83,89.33
char_03872,female,0.4577,0.2272,0.6877,0.5505,0.2949,0.3027,0.2246,0.2637,0.871,0.8519,0.7419,115.73,126.62,140.81
char_03898,female,0.274,0.1666,0.8792,0.2349,0.2555,0.2988,0.1777,0.2441,0.817,0.728,0.5948,112.66,108.59,127.04
char_03984,female,0.5409,0.3255,0.5508,0.509,0.2973,0.3223,0.2246,0.2715,0.8424,0.8273,0.697,122.13,136.2,153.11
char_03998,female,0.8139,0.2869,0.6083,0.4929,0.2956,0.3184,0.2832,0.3301,1.0368,0.858,0.8896,143.66,167.31,182.96
char_04013,female,0.6585,0.2177,0.4308,0.7951,0.2704,0.3184,0.2324,0.2871,0.9018,0.8095,0.7301,136.47,146.6,162.79
char_04016,female,0.2428,0.228,0.6946,0.4933,0.2976,0.3066,0.1816,0.2402,0.7834,0.7561,0.5924,97.21,103.49,121.5
char_04055,female,0.6911,0.1954,0.4894,0.6851,0.3043,0.3184,0.248,0.2871,0.9018,0.8639,0.7791,141.37,150.67,164.87
char_04083,female,0.8416,0.2588,0.5292,0.4238,0.2877,0.3223,0.2793,0.3223,1.0,0.8667,0.8667,147.07,170.5,187.14
char_04122,female,0.4367,0.3059,0.611,0.5435,0.2989,0.334,0.2012,0.2363,0.7076,0.8512,0.6023,121.57,123.8,138.12
char_04164,female,0.2884,0.2434,0.3212,0.6742,0.2947,0.3145,0.1816,0.2285,0.7267,0.7949,0.5776,100.74,105.27,119.75
char_04208,female,0.7998,0.2803,0.4616,0.7681,0.2917,0.3223,0.2598,0.3066,0.9515,0.8471,0.8061,152.32,163.74,179.27
char_04225,female,0.2077,0.2123,0.4232,0.8804,0.2883,0.3066,0.1621,0.2207,0.7197,0.7345,0.5287,108.3,96.73,113.95
char_04256,female,0.2389,0.2499,0.4154,0.6102,0.2972,0.2988,0.1738,0.2285,0.7647,0.7607,0.5817,116.46,101.44,114.94
char_04261,female,0.5202,0.2094,0.7222,0.6921,0.2969,0.3145,0.2285,0.2793,0.8882,0.8182,0.7267,118.34,133.27,150.72
char_04287,female,0.5398,0.1651,0.535,0.5748,0.2982,0.3223,0.2168,0.2598,0.8061,0.8346,0.6727,133.9,134.53,149.91
char_04290,female,0.1003,0.8724,0.883,0.8483,0.364,0.3301,0.1465,0.209,0.6331,0.7009,0.4438,108.15,91.06,112.27
char_04437,female,0.101,0.586,0.6333,0.5776,0.321,0.3066,0.1504,0.2129,0.6943,0.7064,0.4904,94.07,87.34,106.08
char_04466,female,0.0697,0.6343,0.6406,0.5858,0.2785,0.2969,0.1543,0.2285,0.7697,0.6752,0.5197,104.09,84.01,102.07
char_04477,female,0.7584,0.2525,0.222,0.2627,0.2929,0.3262,0.2676,0.3027,0.9281,0.8839,0.8204,148.64,158.36,171.04
char_04549,female,0.8838,0.3116,0.4449,0.2633,0.2951,0.3301,0.2793,0.3145,0.9527,0.8882,0.8462,150.44,175.78,192.39
char_04573,female,0.9094,0.2439,0.2635,0.4933,0.3213,0.3223,0.2793,0.3184,0.9879,0.8773,0.8667,295.16,175.4,189.97
char_04598,female,0.1935,0.2262,0.6617,0.483,0.2944,0.3145,0.1699,0.2168,0.6894,0.7838,0.5404,95.74,97.19,111.88
char_04603,female,0.1232,0.9528,0.2395,0.8672,0.3467,0.332,0.1582,0.2051,0.6176,0.7714,0.4765,99.85,90.71,106.43
char_04618,female,0.8489,0.2119,0.7939,0.4673,0.2981,0.3223,0.2891,0.3379,1.0485,0.8555,0.897,294.32,173.27,190.13
char_04659,female,0.6709,0.165,0.4022,0.6697,0.2913,0.3184,0.252,0.291,0.9141,0.8658,0.7914,136.55,147.46,160.86
char_04674,female,0.2873,0.2475,0.6673,0.3089,0.2947,0.3145,0.1777,0.2402,0.764,0.7398,0.5652,116.45,108.96,126.38
char_04701,female,0.3918,0.2753,0.5754,0.4227,0.2978,0.2988,0.2051,0.2598,0.8693,0.7895,0.6863,116.1,119.85,134.43
char_04715,female,0.3052,0.1353,0.3436,0.7781,0.2996,0.3184,0.1738,0.2207,0.6933,0.7876,0.546,107.76,106.34,121.68
char_04770,female,0.4387,0.2556,0.2551,0.8296,0.3209,0.3262,0.2129,0.248,0.7605,0.8583,0.6527,109.56,120.84,136.39
char_04800,female,0.0898,0.839,0.6125,0.3066,0.2738,0.2891,0.166,0.2363,0.8176,0.7025,0.5743,94.69,89.06,107.61
char_04809,female,0.1018,0.5967,0.5816,0.5938,0.2955,0.3145,0.1426,0.2012,0.6398,0.7087,0.4534,110.39,87.36,102.82
char_04853,female,0.0696,0.5024,0.222,0.6124,0.2409,0.3105,0.1348,0.1934,0.6226,0.697,0.434,94.31,81.48,95.95
char_04926,female,0.2282,0.1716,0.7661,0.2818,0.2936,0.3223,0.1816,0.2285,0.7091,0.7949,0.5636,94.85,102.48,120.2
char_04988,female,0.6913,0.2582,0.6345,0.2796,0.2935,0.3184,0.2676,0.3066,0.9632,0.8726,0.8405,127.52,154.83,172.6
char_05058,female,0.2795,0.1236,0.3888,0.3415,0.2965,0.3184,0.1816,0.2285,0.7178,0.7949,0.5706,101.63,105.56,120.99
char_05104,female,0.1821,0.1664,0.608,0.852,0.3265,0.3145,0.1582,0.2129,0.677,0.7431,0.5031,111.89,94.78,109.03
char_05123,female,0.9566,0.2943,0.6937,0.5086,0.2974,0.3262,0.3301,0.3535,1.0838,0.9337,1.012,145.62,185.44,203.64
char_05125,female,0.8475,0.1646,0.8575,0.2269,0.2678,0.3223,0.2988,0.3379,1.0485,0.8844,0.9273,141.06,175.12,194.19
char_05130,female,0.0873,0.7374,0.6803,0.8007,0.2613,0.3145,0.1465,0.2129,0.677,0.6881,0.4658,108.02,86.61,105.97
char_05151,female,0.3221,0.1693,0.2378,0.6141,0.2942,0.3105,0.1855,0.2324,0.7484,0.7983,0.5975,103.58,108.01,121.41
char_05176,female,0.9535,0.197,0.5958,0.8232,0.275,0.3145,0.3066,0.3652,1.1615,0.8396,0.9752,289.86,182.59,200.53
char_05225,female,0.5326,0.2916,0.5581,0.6376,0.2943,0.3223,0.2168,0.2676,0.8303,0.8102,0.6727,133.91,134.63,152.16
char_05291,female,0.7262,0.1768,0.634,0.4221,0.2935,0.3145,0.248,0.2988,0.9503,0.8301,0.7888,147.66,157.65,171.69
char_05331,female,0.8746,0.3299,0.7188,0.538,0.292,0.3262,0.2832,0.3301,1.012,0.858,0.8683,283.44,176.0,192.84
char_05397,female,0.2455,0.1725,0.4799,0.7371,0.2955,0.3105,0.1738,0.2246,0.7233,0.7739,0.5597,109.61,101.48,115.05
char_05461,female,0.6466,0.3154,0.4995,0.4831,0.2897,0.3105,0.2578,0.291,0.9371,0.8859,0.8302,130.97,147.63,161.17
char_05476,female,0.4933,0.2625,0.7528,0.6049,0.2932,0.3145,0.2285,0.2754,0.8758,0.8298,0.7267,124.72,130.74,146.13
char_05479,female,0.5783,0.3047,0.2352,0.8252,0.3225,0.3164,0.2324,0.2715,0.858,0.8561,0.7346,119.63,136.22,152.22
char_05557,female,0.3091,0.2347,0.5851,0.8475,0.2961,0.3145,0.1777,0.2324,0.7391,0.7647,0.5652,105.41,108.66,125.23
char_05558,female,0.8535,0.3008,0.8515,0.4434,0.2927,0.3184,0.2676,0.334,1.0491,0.8012,0.8405,156.06,175.64,194.41
char_05627,female,0.0679,0.9839,0.5697,0.3783,0.2104,0.2871,0.1699,0.248,0.8639,0.685,0.5918,98.92,87.69,107.96
char_05640,female,0.073,0.1626,0.492,0.5,0.2976,0.291,0.1387,0.1934,0.6644,0.7172,0.4765,102.28,79.85,94.4
char_05644,female,0.2431,0.2309,0.8291,0.5062,0.2948,0.3105,0.1816,0.2402,0.7736,0.7561,0.5849,99.28,103.3,118.91
char_05692,female,0.8319,0.2717,0.6405,0.2493,0.2975,0.3184,0.291,0.334,1.0491,0.8713,0.9141,141.09,171.67,187.91
char_05699,female,0.1072,0.8343,0.6407,0.8628,0.2026,0.3047,0.166,0.2246,0.7372,0.7391,0.5449,117.2,89.79,105.33
char_05767,female,0.5376,0.2187,0.3287,0.3346,0.2962,0.3184,0.2207,0.2637,0.8282,0.837,0.6933,125.07,134.7,148.64
char_05826,female,0.4312,0.2348,0.5838,0.2995,0.2959,0.3145,0.2207,0.2559,0.8137,0.8626,0.7019,114.68,124.34,137.46
char_05854,female,0.8964,0.2793,0.256,0.8765,0.3064,0.3262,0.2832,0.3105,0.9521,0.9119,0.8683,144.12,172.05,187.58
char_05867,female,0.7632,0.196,0.3667,0.4737,0.2924,0.3145,0.2676,0.3066,0.9752,0.8726,0.8509,132.09,159.33,175.76
char_05878,female,0.8157,0.2267,0.3688,0.8149,0.2853,0.3301,0.2676,0.2988,0.9053,0.8954,0.8107,150.51,163.61,178.15
char_05918,female,0.7017,0.2853,0.2894,0.5448,0.2928,0.3262,0.248,0.2871,0.8802,0.8639,0.7605,140.96,151.91,167.59
char_05924,female,0.3133,0.1515,0.7896,0.5934,0.2953,0.3105,0.1895,0.2402,0.7736,0.7886,0.6101,106.47,110.58,128.65
