char_id,height_cm,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,forearm_circ_cm,wrist_circ_cm,shoulder_width_cm,hip_width_cm,upper_arm_length_cm,forearm_length_cm,trochanterion_height_cm,tibial_height_cm,weight_kg,gender,navy_bfp
ansur_00014,167.1,34.9,96.8,91.4,109.5,67.5,37.3,33.7,28.0,15.5,47.6,38.2,35.3,25.0,87.5,46.4,76.0,female,40.27
ansur_00015,185.0,41.2,108.7,101.0,106.8,64.4,40.4,33.2,28.7,18.5,51.3,37.3,38.4,28.1,95.9,50.9,95.4,male,24.31
ansur_00016,152.1,31.8,83.1,75.5,96.5,59.2,34.5,28.3,24.6,14.3,42.7,33.2,32.8,23.0,79.8,41.9,54.5,female,32.29
ansur_00017,177.7,43.5,118.1,106.5,106.1,63.5,41.2,37.9,34.4,19.1,54.9,35.3,36.3,25.6,92.6,48.2,99.5,male,27.49
ansur_00018,159.0,34.1,101.0,94.4,104.5,60.4,36.7,29.0,25.3,15.1,43.5,35.4,30.5,23.3,82.4,42.1,68.4,female,41.87
ansur_00019,181.1,37.2,96.4,82.4,91.6,52.5,36.8,32.5,28.7,17.9,47.7,33.0,37.9,28.9,97.5,50.4,70.2,male,14.51
ansur_00020,170.7,37.8,106.5,93.5,124.8,74.0,45.3,40.8,32.9,18.0,51.7,42.7,34.3,27.0,89.2,47.0,99.0,female,45.3
ansur_00021,178.0,44.5,111.7,99.4,102.7,62.4,37.7,35.1,30.4,17.4,52.3,35.2,36.2,26.3,91.8,48.7,88.2,male,22.29
ansur_00022,166.8,37.8,103.4,94.2,101.4,60.0,35.8,31.6,26.7,16.0,48.5,33.9,35.5,27.2,89.9,46.4,74.2,female,36.76
ansur_00023,173.3,37.4,96.1,86.6,92.8,56.7,34.3,32.7,28.1,17.1,46.4,31.7,36.3,27.0,97.7,48.8,70.1,male,19.01
ansur_00024,165.4,34.6,106.3,99.5,104.9,62.3,37.5,33.4,27.7,15.9,49.7,36.7,36.8,24.2,87.4,45.1,78.1,female,42.31
ansur_00025,181.4,43.6,115.1,98.6,108.2,68.9,46.0,39.7,34.2,18.3,56.4,35.1,39.8,28.3,100.5,50.8,103.7,male,21.79
ansur_00026,166.6,36.6,93.7,84.8,101.2,60.6,37.3,32.0,28.6,16.7,49.7,35.9,35.4,25.4,86.5,45.1,71.8,female,32.93
ansur_00027,186.1,46.8,123.1,104.5,111.2,70.4,43.4,42.0,35.0,18.4,58.8,37.6,39.3,28.9,97.7,51.9,111.6,male,22.8
ansur_00028,159.9,35.4,98.9,92.9,100.0,63.9,37.5,33.9,27.7,15.0,48.6,33.8,34.3,24.9,84.6,45.0,70.9,female,38.41
ansur_00029,170.9,39.9,106.0,100.7,113.6,69.5,42.1,36.3,32.2,18.3,50.4,39.0,35.0,24.6,89.7,45.7,89.6,male,27.35
ansur_00030,167.3,33.7,94.0,83.5,100.7,61.9,36.2,28.5,25.8,16.2,44.1,35.8,34.0,24.6,84.8,44.8,67.2,female,33.27
ansur_00031,174.0,43.5,109.2,103.3,100.9,64.0,43.3,38.7,33.8,18.7,53.7,32.2,38.2,27.4,95.7,50.1,92.4,male,26.18
ansur_00032,164.7,33.1,83.5,77.2,96.9,56.4,37.7,29.6,26.4,16.2,46.2,33.7,33.3,24.5,83.3,43.4,62.0,female,29.32
ansur_00033,169.4,40.2,108.5,90.8,98.5,60.4,40.0,34.1,29.6,17.6,50.1,34.3,35.8,25.7,90.4,46.7,77.9,male,20.75
ansur_00034,167.8,31.5,89.7,80.5,94.1,56.9,33.8,26.4,25.0,14.9,43.4,32.9,32.9,24.5,88.2,47.0,59.5,female,29.57
ansur_00035,176.6,41.1,111.8,102.8,105.1,67.4,44.7,37.7,33.7,18.0,50.4,34.2,37.2,27.3,93.4,48.1,96.9,male,26.9
ansur_00036,167.9,33.5,97.9,86.8,101.1,64.7,38.2,33.5,27.6,15.5,49.1,34.4,36.6,26.4,89.9,47.3,74.1,female,34.93
ansur_00037,174.8,38.5,99.9,87.4,97.4,61.3,35.8,33.5,29.7,17.0,49.0,33.1,35.9,26.0,94.2,48.5,76.0,male,18.52
ansur_00038,161.5,31.7,85.3,79.2,102.1,61.5,37.9,29.0,24.8,15.0,42.8,36.2,31.8,23.2,81.3,42.4,60.5,female,34.34
ansur_00039,179.4,39.2,112.7,99.9,103.5,63.2,39.5,33.5,29.8,17.5,51.1,35.2,37.5,26.7,94.3,47.5,90.8,male,25.81
ansur_00040,151.7,34.1,109.0,113.7,110.7,69.5,41.3,33.6,29.0,16.0,50.2,35.8,29.8,22.5,73.9,38.5,80.0,female,54.06
ansur_00041,178.0,37.7,100.0,83.7,92.9,55.3,35.5,30.4,28.8,18.7,48.9,32.0,37.9,27.3,91.8,48.1,71.4,male,15.69
ansur_00042,167.4,32.4,94.1,88.1,105.0,67.7,40.6,32.0,27.2,15.5,46.3,36.3,35.3,26.5,89.0,46.1,74.7,female,37.9
ansur_00043,168.0,36.7,97.7,88.0,101.3,63.8,38.0,34.8,29.9,17.2,49.3,34.2,33.2,25.4,85.5,44.6,74.6,male,21.52
ansur_00044,162.3,30.3,85.7,70.2,86.7,49.2,32.6,26.2,24.6,14.6,39.5,30.4,33.0,23.6,84.3,44.1,49.1,female,22.3
ansur_00045,165.3,38.8,107.9,97.8,102.9,63.9,36.3,35.8,29.0,17.4,51.1,33.4,33.7,25.4,87.7,46.1,79.2,male,27.24
ansur_00046,166.8,34.0,97.3,95.4,103.8,61.4,35.3,30.8,26.7,15.2,46.7,36.6,33.3,24.1,87.8,45.4,70.3,female,40.01
ansur_00047,195.9,37.8,101.1,82.7,100.8,64.6,40.3,35.5,30.6,18.5,51.1,33.3,41.7,31.7,107.7,55.5,91.5,male,11.87
ansur_00048,164.4,32.4,97.5,79.6,98.1,60.3,39.6,31.8,28.5,15.1,46.0,34.4,34.9,27.0,86.9,47.0,71.5,female,31.52
ansur_00049,175.5,40.7,109.8,103.0,105.6,66.5,46.2,38.9,32.5,18.6,51.9,36.1,37.1,26.4,92.4,47.3,96.5,male,27.45
ansur_00050,157.9,34.9,102.6,100.0,106.9,63.0,34.4,31.2,26.7,15.8,49.6,36.5,31.4,23.9,82.5,44.3,70.8,female,45.19
ansur_00051,163.0,36.3,95.7,88.5,92.3,58.8,39.5,32.0,27.6,15.7,44.3,31.5,33.3,24.0,85.7,45.4,67.5,male,23.09
ansur_00052,144.6,30.9,83.2,74.2,91.7,52.9,34.3,25.7,24.5,14.5,42.5,32.3,27.1,16.9,66.0,34.9,48.8,female,31.76
ansur_00053,182.5,41.4,115.8,113.0,114.6,70.6,41.6,37.4,32.7,18.4,56.6,38.3,37.3,26.3,95.9,48.8,107.3,male,31.46
ansur_00054,162.0,33.2,92.1,91.2,99.7,64.3,40.0,31.0,25.3,15.5,44.7,34.3,33.0,24.5,83.1,44.1,69.1,female,37.95
ansur_00055,179.5,36.5,96.4,91.2,99.6,62.1,37.0,33.0,28.1,18.0,48.0,33.7,36.2,24.6,94.6,49.5,79.3,male,21.9
ansur_00056,168.4,32.0,103.2,91.3,104.2,63.9,37.1,30.5,26.7,16.0,46.3,37.0,34.5,25.0,87.3,46.5,73.0,female,38.87
ansur_00057,174.5,37.5,97.1,86.4,101.6,63.5,38.0,33.7,29.2,18.3,48.3,34.5,37.8,27.4,92.4,48.4,78.2,male,18.58
ansur_00058,161.9,31.8,90.4,82.1,96.0,56.5,35.3,29.4,26.6,15.4,45.6,33.4,35.8,25.0,87.6,45.8,61.0,female,32.66
ansur_00059,181.8,38.4,105.7,96.5,104.8,64.6,40.7,34.0,31.4,17.6,49.1,35.7,36.2,24.9,93.4,49.9,88.2,male,23.77
ansur_00060,159.2,33.0,95.1,93.0,105.6,61.1,36.8,27.2,24.5,15.3,45.4,37.5,32.2,24.4,81.7,43.4,65.8,female,42.16
ansur_00061,188.1,37.4,95.7,77.7,91.5,53.1,36.2,31.2,28.4,17.9,47.3,32.9,38.8,27.4,98.8,50.9,71.5,male,9.07
ansur_00062,165.5,33.5,95.0,90.1,103.5,62.5,34.9,32.5,26.6,16.0,42.7,36.5,34.0,23.1,85.1,43.3,70.9,female,38.11
ansur_00063,176.0,39.5,110.8,106.3,109.2,68.4,43.6,35.7,31.7,18.6,51.5,37.3,38.2,28.1,91.1,50.3,94.7,male,29.97
ansur_00064,172.3,32.5,96.5,93.5,103.4,60.1,37.0,29.0,25.6,16.0,43.9,37.1,35.8,25.8,91.1,46.6,72.8,female,38.28
ansur_00065,167.5,35.8,94.7,87.0,91.7,55.7,35.8,31.1,26.3,15.8,46.1,31.6,34.7,25.6,88.2,45.4,66.5,male,21.54
ansur_00066,167.7,35.0,111.5,107.7,115.4,70.2,37.8,35.2,28.0,15.0,47.2,39.1,34.0,24.3,85.9,46.5,84.6,female,48.98
ansur_00067,185.2,39.2,104.3,96.6,104.7,61.7,40.0,34.3,31.2,18.3,51.4,35.1,40.8,29.1,102.0,51.9,87.9,male,22.75
ansur_00068,165.4,36.4,117.0,111.2,118.4,73.5,41.6,38.9,27.7,15.6,48.3,39.6,33.2,23.6,82.1,44.1,94.5,female,51.46
ansur_00069,178.5,38.3,96.5,80.6,93.1,52.8,36.8,31.5,27.6,17.1,47.8,33.2,35.2,27.1,94.4,48.6,67.5,male,12.47
ansur_00070,163.4,30.7,89.5,81.2,99.1,62.1,34.8,30.5,26.1,14.7,45.4,35.2,35.1,25.4,87.3,45.0,62.7,female,33.85
ansur_00071,179.1,39.7,117.4,109.6,101.5,62.0,38.1,34.1,29.4,16.8,52.7,35.3,37.6,27.8,94.8,50.8,88.4,male,31.13
ansur_00072,168.3,32.3,94.4,86.9,93.3,54.6,32.5,25.4,23.9,14.1,42.2,32.9,36.8,27.4,95.4,49.5,57.8,female,31.78
ansur_00073,168.5,35.7,95.1,89.5,94.1,63.7,34.0,32.5,26.5,15.5,44.0,31.5,35.6,26.1,88.7,45.9,69.5,male,23.21
ansur_00074,155.2,33.6,83.3,71.2,90.0,54.1,32.0,28.2,25.1,14.8,42.3,30.9,33.5,24.5,81.7,41.8,52.4,female,24.76
ansur_00075,185.0,41.4,118.2,121.4,122.1,78.1,43.7,42.2,35.8,19.7,56.5,41.5,39.2,29.3,97.6,51.6,121.8,male,35.19
ansur_00076,161.7,33.4,102.5,105.7,105.2,61.6,38.5,31.1,25.4,15.9,48.1,37.5,33.9,23.6,86.1,45.8,73.2,female,46.41
ansur_00077,173.7,38.5,98.1,79.0,93.1,59.4,36.7,36.2,30.7,17.2,48.4,31.5,36.0,27.4,91.2,48.4,71.9,male,11.67
ansur_00078,158.8,37.1,98.2,96.4,108.6,72.7,42.1,37.1,30.2,16.9,47.6,37.2,31.3,22.3,80.3,42.5,79.1,female,43.24
ansur_00079,174.3,41.4,108.6,100.2,103.2,61.3,39.3,33.4,30.6,18.0,52.3,34.3,34.2,26.3,88.5,47.6,88.1,male,25.5
ansur_00080,164.1,36.5,106.0,113.4,117.5,72.0,40.3,37.1,30.8,16.6,50.8,39.0,31.7,23.1,84.6,44.0,89.4,female,52.23
ansur_00081,174.4,35.3,86.5,74.8,87.2,49.7,34.8,28.8,26.8,16.1,44.5,30.9,36.4,26.5,90.9,46.3,57.5,male,10.62
ansur_00082,168.5,32.3,99.1,86.9,97.9,58.0,38.0,31.7,25.2,15.4,43.6,33.1,33.4,25.4,87.2,46.6,68.9,female,33.91
ansur_00083,167.9,44.0,120.5,104.3,102.6,62.8,38.9,36.5,30.0,17.4,52.3,33.8,34.9,25.8,88.2,47.5,87.6,male,27.58
ansur_00084,165.6,33.1,99.4,94.2,102.1,63.7,41.8,31.9,29.1,16.1,45.0,35.8,33.4,23.5,84.5,44.9,75.8,female,39.45
ansur_00085,183.6,38.4,101.3,86.4,99.8,62.7,39.8,35.1,31.3,18.2,48.9,34.3,35.6,26.3,95.3,50.1,85.0,male,16.33
ansur_00086,160.3,36.4,107.1,101.9,104.1,61.4,38.9,30.7,28.4,16.5,50.3,35.8,33.0,23.9,79.3,43.5,73.1,female,43.55
ansur_00087,173.0,39.4,115.2,96.9,98.8,63.0,38.2,37.4,30.7,17.7,55.3,34.7,34.4,25.7,92.7,47.5,86.5,male,24.89
ansur_00088,160.8,33.0,94.5,86.5,113.6,68.6,39.3,33.0,28.4,16.0,46.7,39.8,33.6,24.0,82.5,44.3,74.8,female,42.37
ansur_00089,176.2,40.2,109.6,109.5,111.5,69.8,42.0,35.9,31.2,17.7,53.4,37.3,34.8,25.9,91.2,48.7,95.8,male,31.3
ansur_00090,166.4,37.5,109.4,97.5,104.6,64.5,39.3,33.0,29.0,16.2,49.5,35.7,33.6,24.4,83.7,47.1,80.6,female,39.85
ansur_00091,166.9,36.2,95.7,77.0,90.1,55.1,37.3,31.4,27.9,16.4,47.1,29.8,32.7,25.0,83.8,44.0,66.7,male,13.17
ansur_00092,161.9,34.7,93.2,81.4,103.0,65.2,41.0,32.1,27.7,16.1,46.4,35.5,35.7,24.3,86.8,46.8,71.4,female,34.29
ansur_00093,174.0,38.1,98.5,84.0,97.3,57.0,33.6,32.3,29.5,17.8,47.0,33.7,36.9,26.2,88.6,47.3,70.6,male,16.3
ansur_00094,162.0,34.0,101.3,94.7,105.3,64.6,35.9,30.5,26.7,15.8,48.3,35.1,35.5,26.0,89.6,46.2,71.2,female,41.59
ansur_00095,170.9,41.5,106.3,102.8,100.2,65.2,38.5,36.3,31.1,17.0,53.2,33.8,35.4,26.1,89.7,47.1,84.7,male,27.65
ansur_00096,172.0,33.4,91.0,79.4,100.9,59.8,36.2,29.7,26.7,16.0,45.1,35.8,36.2,26.6,92.3,48.4,65.7,female,30.38
ansur_00097,187.9,42.1,113.7,102.1,106.3,64.2,40.4,39.3,34.0,19.1,50.7,35.0,38.2,26.2,99.1,52.4,101.3,male,23.97
ansur_00098,158.2,30.6,79.3,67.9,88.0,49.3,33.0,25.8,24.6,14.9,39.6,30.9,31.7,22.5,83.4,44.6,47.7,female,22.66
ansur_00099,167.4,39.2,110.6,106.1,105.1,65.8,41.7,32.4,29.6,17.0,51.0,35.8,34.3,25.4,85.6,45.6,85.6,male,31.55
ansur_00100,172.0,32.3,95.4,89.0,105.0,63.7,36.7,28.8,24.8,15.2,44.5,38.2,36.2,24.6,88.4,46.9,69.6,female,37.19
ansur_00101,177.9,40.0,116.6,113.9,124.3,77.3,45.5,41.3,32.7,19.0,55.1,43.1,35.2,26.9,91.1,48.8,109.5,male,33.41
ansur_00102,172.0,37.8,116.1,133.4,130.6,87.0,48.2,43.5,31.1,16.7,49.4,45.7,33.4,24.7,87.9,46.0,119.6,female,60.98
ansur_00103,184.4,39.7,108.1,92.2,100.7,62.8,36.4,34.5,29.1,18.2,53.1,34.5,39.5,29.0,97.2,52.0,83.4,male,19.55
ansur_00104,170.1,34.4,113.5,107.6,116.0,67.4,40.4,35.3,28.8,16.5,49.6,40.4,36.8,25.4,91.1,48.0,88.7,female,48.79
ansur_00105,163.7,39.8,100.6,99.5,98.1,58.2,35.8,33.1,28.9,16.0,47.4,33.9,33.9,25.5,86.3,43.9,72.7,male,27.97
ansur_00106,162.7,34.5,109.5,100.7,107.5,61.4,36.8,31.5,27.2,15.4,46.0,36.9,32.6,23.2,80.2,41.6,75.4,female,44.62
ansur_00107,175.4,44.4,115.3,104.7,103.0,66.2,43.3,38.5,31.6,18.1,52.4,34.1,36.5,27.4,93.3,47.6,98.6,male,26.25
ansur_00108,153.6,34.2,101.4,89.7,104.4,62.3,38.8,32.3,26.8,15.6,46.9,35.9,31.1,22.3,77.2,40.2,67.8,female,41.19
ansur_00109,170.4,39.4,103.7,88.5,95.4,58.9,37.7,37.5,33.0,18.2,49.5,32.8,32.4,24.7,86.0,46.6,77.3,male,19.45
ansur_00110,154.6,31.0,94.6,83.2,100.6,59.8,35.6,29.2,24.3,14.8,46.7,35.8,31.3,22.6,76.8,41.1,60.7,female,37.7
ansur_00111,184.0,50.1,146.9,137.9,126.5,78.1,45.6,46.1,37.9,19.7,56.7,40.7,39.6,30.2,98.3,52.6,140.0,male,38.83
ansur_00112,165.4,29.4,81.4,76.6,98.1,58.3,35.9,27.0,23.7,14.5,39.8,34.0,33.6,25.2,88.6,45.6,57.2,female,31.27
ansur_00113,178.3,36.8,90.1,75.0,89.7,53.2,37.3,32.0,29.1,17.7,47.5,31.2,37.6,30.4,98.4,50.1,67.4,male,8.7
ansur_00114,160.5,33.0,94.0,87.8,102.8,64.5,39.4,31.5,26.8,14.7,46.0,35.4,33.3,23.8,83.4,43.5,68.9,female,38.3
ansur_00115,174.8,38.3,107.1,97.0,106.7,67.1,41.8,34.1,28.9,17.1,52.2,35.2,35.2,24.8,87.9,45.8,88.4,male,25.35
ansur_00116,163.0,31.0,98.8,94.3,105.5,64.9,39.5,33.6,27.1,15.2,44.1,37.6,34.9,23.8,86.3,44.9,71.2,female,42.51
ansur_00117,170.3,46.1,126.3,106.8,109.9,64.6,37.3,35.0,30.6,17.9,54.7,38.4,37.2,25.8,89.8,46.5,98.8,male,27.39
ansur_00118,161.2,32.1,90.4,82.5,97.9,59.3,36.3,29.0,25.2,15.0,44.3,34.1,34.1,22.8,81.5,43.5,60.4,female,33.8
ansur_00119,185.2,39.8,114.6,101.2,102.3,61.3,41.1,34.2,31.4,17.5,53.5,34.9,38.5,28.1,96.0,50.5,95.2,male,25.27
ansur_00120,175.7,31.6,87.6,81.2,98.5,62.6,35.5,30.9,26.6,15.5,44.0,34.0,36.3,27.4,98.6,51.9,69.7,female,30.06
ansur_00121,160.9,33.4,85.8,75.4,87.7,51.8,36.7,28.8,26.1,16.1,45.6,30.0,34.2,25.6,84.7,44.6,56.6,male,15.36
ansur_00122,167.0,34.4,109.0,106.2,116.7,71.7,36.0,33.2,27.7,15.2,46.3,40.2,36.5,27.0,88.6,45.8,85.4,female,49.31
ansur_00123,170.9,38.2,104.4,92.6,96.8,59.2,36.0,32.1,29.0,16.7,50.0,31.8,36.2,25.8,91.6,47.8,71.7,male,23.19
ansur_00124,163.2,32.0,94.3,91.4,105.1,61.0,31.6,26.9,23.7,14.2,44.0,38.3,32.9,23.4,80.9,43.1,61.7,female,40.63
ansur_00125,183.5,36.4,90.4,82.7,95.2,54.7,39.3,29.4,27.0,17.6,46.1,33.9,38.2,28.2,96.7,50.9,71.7,male,15.0
ansur_00126,163.5,34.7,113.2,98.7,106.6,64.9,40.9,31.0,28.4,16.5,47.8,38.2,33.8,23.9,84.7,42.7,79.0,female,43.13
ansur_00127,167.9,40.8,103.3,94.0,103.2,62.1,41.0,34.3,29.6,17.7,49.2,35.9,36.8,27.1,90.9,47.2,80.2,male,22.9
ansur_00128,168.2,32.7,97.7,86.8,100.7,61.5,36.0,28.4,25.1,15.2,45.0,36.0,34.0,24.8,82.9,44.0,67.2,female,35.04
ansur_00129,174.2,43.5,116.0,113.3,107.4,68.5,40.3,38.0,32.1,17.9,53.5,35.0,35.4,26.6,92.3,47.9,98.8,male,31.92
ansur_00130,166.1,34.4,97.7,83.9,105.0,62.0,37.2,29.6,26.6,15.5,44.8,36.0,34.7,24.4,85.9,41.9,69.5,female,35.44
ansur_00131,169.8,37.3,97.1,84.3,92.2,56.7,34.5,30.8,26.0,16.9,45.9,31.7,34.8,24.6,86.9,45.4,66.2,male,17.93
ansur_00132,159.6,32.1,100.6,81.4,97.4,61.4,37.6,32.7,27.0,15.6,46.7,34.3,34.7,23.8,81.1,42.1,66.9,female,33.46
ansur_00133,167.1,41.3,105.0,102.1,102.5,62.1,37.0,34.0,29.4,17.3,48.2,35.0,36.6,25.9,87.6,45.1,80.7,male,28.03
ansur_00134,159.6,30.5,93.6,80.4,98.9,57.3,32.6,27.7,24.5,14.6,45.3,35.0,32.3,23.6,81.9,41.5,57.4,female,34.47
ansur_00135,185.0,43.6,121.3,106.1,108.7,65.8,40.4,38.1,31.8,18.9,54.2,36.0,37.6,27.0,100.8,51.1,105.3,male,25.96
ansur_00136,166.5,35.0,106.5,92.5,108.8,69.3,41.2,36.2,30.2,16.4,50.8,37.4,35.2,25.4,84.5,43.9,81.5,female,40.55
ansur_00137,175.4,35.1,94.4,78.6,93.9,54.8,36.4,31.3,30.1,17.1,49.5,32.8,37.3,27.1,93.4,48.5,68.3,male,14.05
ansur_00138,161.7,32.1,89.0,80.5,99.3,60.8,37.8,28.8,24.9,14.9,46.0,35.4,33.3,24.1,82.3,43.2,61.8,female,33.39
ansur_00139,161.9,41.0,98.9,85.5,95.2,61.4,40.5,37.0,32.8,17.1,48.1,31.1,33.2,24.6,86.6,44.3,74.9,male,17.33
ansur_00140,155.5,31.8,90.0,81.1,104.2,63.9,39.4,27.5,26.0,14.9,44.9,36.3,33.2,24.8,82.6,43.4,64.5,female,37.77
ansur_00141,177.2,37.3,97.5,83.0,95.6,59.3,37.0,32.7,27.0,17.0,48.5,32.7,35.1,27.2,93.5,48.8,73.8,male,15.58
ansur_00142,157.8,30.9,86.2,75.7,96.9,57.3,36.3,28.3,25.1,14.5,41.9,34.3,31.2,21.3,77.5,39.8,55.7,female,31.48
ansur_00143,170.5,34.6,93.9,74.3,82.3,49.8,33.0,34.9,28.2,16.2,45.4,26.8,35.9,27.5,94.8,48.9,60.4,male,11.49
ansur_00144,158.1,32.1,89.6,83.9,96.7,59.5,36.7,27.6,23.8,14.9,42.6,34.0,32.8,23.7,78.4,39.8,61.4,female,34.72
ansur_00145,161.9,39.9,109.1,96.7,99.9,58.5,37.8,34.3,29.5,16.4,49.7,34.2,34.4,23.7,82.9,43.7,77.4,male,26.45
ansur_00146,169.8,32.1,94.3,82.1,105.1,62.6,36.2,29.9,25.2,15.0,44.2,37.3,34.1,25.1,86.0,43.9,66.8,female,34.78
ansur_00147,172.6,37.8,98.3,92.2,97.6,61.4,37.3,32.8,28.7,17.5,50.7,33.7,34.4,24.8,87.2,44.9,76.8,male,22.89
ansur_00148,155.4,35.0,109.2,100.1,102.8,63.5,37.6,32.5,28.0,15.5,47.7,37.1,32.4,22.7,79.2,40.0,73.0,female,44.16
ansur_00149,184.0,38.5,112.9,112.0,111.6,69.4,40.5,37.0,31.8,17.5,52.1,38.1,36.7,28.7,97.2,51.4,102.2,male,32.18
ansur_00150,175.6,33.8,92.0,86.0,104.5,63.2,40.5,30.5,27.2,15.0,45.8,36.1,36.3,26.2,90.8,47.2,73.7,female,34.08
ansur_00151,174.3,43.0,120.5,106.0,107.1,60.9,42.7,38.8,32.0,18.4,54.5,35.7,35.7,26.2,91.1,46.3,96.3,male,28.07
ansur_00152,156.6,36.3,107.1,92.2,101.6,61.3,35.4,30.7,26.2,15.2,46.8,35.4,32.3,23.7,77.0,40.1,69.3,female,39.3
ansur_00153,167.4,41.9,112.3,103.0,108.1,68.5,41.0,41.0,33.0,17.5,52.5,36.7,36.1,25.2,84.9,44.6,92.3,male,28.16
ansur_00154,165.1,34.2,100.1,101.2,105.7,67.7,39.3,33.0,27.9,15.3,45.8,37.2,34.5,26.4,87.8,45.9,75.7,female,43.59
ansur_00155,175.0,40.7,112.9,97.4,107.3,68.7,44.2,40.1,34.9,19.0,55.5,34.3,36.0,27.5,95.7,50.0,98.8,male,24.02
ansur_00156,158.5,35.0,112.6,98.1,104.9,63.2,37.7,31.7,28.9,15.3,49.7,36.4,32.3,23.1,79.2,40.9,74.0,female,43.36
ansur_00157,181.9,39.1,104.8,84.4,104.2,63.6,38.3,37.9,31.4,17.8,53.8,33.4,37.7,27.4,94.8,48.6,88.7,male,14.46
ansur_00158,165.7,31.3,98.2,87.0,103.0,61.3,36.7,29.5,26.3,16.1,45.0,36.9,34.9,24.8,86.5,44.6,68.2,female,37.44
ansur_00159,179.9,41.1,106.3,96.9,102.2,66.9,43.6,39.0,33.4,18.5,52.0,35.4,36.3,27.6,97.2,51.6,98.7,male,22.58
ansur_00160,171.9,33.9,106.9,93.1,120.0,68.6,39.9,34.1,27.4,16.7,50.3,42.1,35.4,26.1,84.5,45.3,86.7,female,44.49
ansur_00161,175.0,38.5,109.8,101.0,101.7,63.1,36.5,35.5,30.0,16.6,50.1,34.5,36.3,26.9,93.5,49.0,85.2,male,27.65
ansur_00162,182.2,34.3,106.1,89.5,116.5,69.4,41.6,32.7,29.5,16.4,48.7,40.8,37.6,27.2,96.4,48.9,88.2,female,38.99
ansur_00163,172.3,37.8,97.2,89.2,97.2,58.8,39.9,32.0,28.4,17.8,49.4,33.2,36.7,27.1,93.1,48.4,74.8,male,20.82
ansur_00164,164.9,34.4,103.1,92.5,114.1,72.4,36.2,32.3,28.3,15.3,47.9,37.5,34.9,26.2,85.3,44.4,78.6,female,43.43
ansur_00165,180.9,39.0,112.7,103.2,100.6,64.1,38.5,35.7,29.8,17.5,51.0,34.4,36.2,26.3,95.1,50.0,92.0,male,27.65
ansur_00166,168.7,30.8,92.4,75.1,98.5,58.4,36.2,27.5,25.0,15.9,44.8,35.1,33.6,24.5,86.4,44.0,62.2,female,29.2
ansur_00167,179.1,37.5,96.3,85.1,94.9,58.1,37.3,32.5,29.1,17.4,49.0,32.7,35.4,25.9,91.2,48.4,74.4,male,16.78
