char_id,height_cm,neck_circ_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,mid_thigh_circ_cm,calf_circ_cm,bicep_circ_cm,forearm_circ_cm,wrist_circ_cm,shoulder_width_cm,hip_width_cm,upper_arm_length_cm,forearm_length_cm,trochanterion_height_cm,tibial_height_cm,weight_kg,gender,navy_bfp
bmi_lo_f_0040,159.2,29.11,78.37,61.74,87.08,46.59,31.25,22.95,21.03,13.67,41.86,33.3,32.27,23.87,83.46,42.98,41.1,female,19.15
bmi_lo_f_0041,156.4,30.1,71.79,69.14,88.15,52.15,33.23,25.41,23.33,14.94,38.48,31.4,32.14,22.13,81.89,41.71,44.8,female,24.2
bmi_lo_f_0042,165.2,29.34,78.34,59.56,90.37,55.22,32.9,28.27,25.06,15.03,37.69,29.36,34.01,27.73,90.06,46.45,49.5,female,18.1
bmi_lo_f_0043,166.4,29.09,77.36,66.63,87.85,51.11,32.51,25.3,22.71,14.42,37.59,31.88,34.5,25.04,86.48,45.87,47.9,female,20.56
bmi_lo_f_0044,157.0,28.84,72.93,62.91,81.33,48.01,31.74,22.92,21.03,13.16,38.16,27.95,33.08,22.24,80.68,40.51,36.3,female,17.15
bmi_lo_f_0045,164.9,32.37,82.88,68.34,88.58,47.64,29.83,21.08,21.61,14.52,41.97,30.83,34.32,25.44,81.64,43.54,45.7,female,20.47
bmi_lo_f_0046,168.6,29.72,83.32,60.83,84.81,46.1,28.92,22.8,22.12,14.89,38.58,31.79,34.46,22.88,87.73,44.81,44.4,female,14.44
bmi_lo_f_0047,160.5,27.57,75.66,57.43,86.57,47.79,30.41,24.67,22.62,13.59,39.63,31.19,34.04,24.47,85.63,44.08,38.8,female,16.84
bmi_lo_f_0048,173.7,30.7,78.37,69.48,88.15,47.58,29.57,22.77,22.18,14.59,40.26,31.46,35.31,25.52,90.28,47.09,48.9,female,19.61
bmi_lo_f_0049,161.9,29.07,76.87,76.91,80.78,46.14,29.1,23.57,20.7,14.01,38.57,27.57,32.63,23.6,83.23,44.28,38.6,female,23.53
bmi_lo_f_0050,161.9,27.65,74.9,58.42,77.08,44.71,32.91,22.98,22.33,13.79,38.18,27.41,33.21,23.85,82.84,43.28,38.5,female,11.05
bmi_lo_f_0051,160.7,28.65,83.97,68.99,82.55,48.92,29.42,25.09,22.85,14.75,38.85,28.65,31.44,23.76,82.63,43.32,45.1,female,20.61
bmi_lo_f_0052,159.6,28.33,73.55,54.41,76.73,42.67,30.09,21.05,20.69,13.77,36.16,26.96,32.01,24.52,82.41,44.7,37.7,female,8.26
bmi_lo_f_0053,182.7,30.68,82.31,70.05,86.96,48.76,32.85,22.74,22.91,15.31,40.19,30.8,37.88,27.05,95.63,50.01,55.6,female,17.13
bmi_lo_f_0054,163.2,26.73,72.85,60.26,81.27,42.5,30.21,19.53,20.77,14.5,38.61,30.76,33.36,23.97,84.97,44.0,36.1,female,15.13
bmi_lo_f_0055,162.3,29.62,77.3,67.57,86.92,50.4,30.4,22.16,21.58,14.64,38.6,32.38,33.95,24.24,83.25,43.6,41.4,female,21.33
bmi_lo_f_0056,159.4,29.16,84.4,78.66,83.93,45.06,28.08,20.7,20.71,13.3,38.68,29.98,33.85,22.41,82.77,43.23,41.3,female,26.79
bmi_lo_f_0057,177.6,29.95,73.46,65.55,88.22,51.68,35.65,24.99,25.84,15.7,41.65,31.43,37.09,25.51,92.92,49.56,55.1,female,16.91
bmi_lo_f_0058,167.0,29.16,71.45,64.38,85.45,48.42,32.41,23.66,24.1,14.75,40.58,29.19,34.44,24.19,88.71,45.11,44.7,female,17.69
bmi_lo_f_0059,172.8,28.17,65.47,56.35,87.72,50.52,35.79,22.19,22.83,14.96,38.74,31.56,35.01,24.28,87.96,45.08,44.1,female,13.38
bmi_lo_f_0060,164.1,29.8,71.01,59.63,81.76,43.02,31.06,21.86,22.1,14.09,37.02,30.06,32.7,24.69,85.31,43.76,37.2,female,12.89
bmi_lo_f_0061,159.6,29.88,79.56,68.43,88.31,51.17,29.77,22.93,21.52,13.54,39.17,30.36,33.71,26.73,84.31,45.05,42.8,female,23.16
bmi_lo_f_0062,157.0,30.22,77.74,68.51,80.87,42.47,26.25,22.02,23.27,14.69,40.29,27.99,30.32,22.39,82.02,42.47,37.7,female,19.42
bmi_lo_f_0063,157.8,28.09,70.24,52.0,88.59,52.23,31.06,22.56,23.07,14.86,41.78,29.19,33.16,24.95,82.36,41.29,40.1,female,15.13
bmi_lo_f_0064,161.0,29.78,70.49,58.88,81.85,47.1,32.78,21.51,20.85,14.07,37.82,29.58,30.22,22.17,81.19,41.72,42.8,female,13.29
bmi_lo_f_0065,162.8,27.02,70.98,60.08,87.54,50.02,30.29,20.62,20.43,13.68,37.96,32.38,32.98,23.24,84.99,44.45,38.3,female,18.73
bmi_lo_f_0066,174.3,29.91,75.86,64.31,92.31,55.52,31.54,24.17,22.7,15.17,39.49,33.03,35.51,24.83,87.87,45.85,46.9,female,19.34
bmi_lo_f_0067,170.7,29.24,73.57,65.61,83.36,49.58,29.71,22.35,23.2,14.32,39.91,29.85,35.56,26.37,92.17,48.06,46.6,female,16.21
bmi_lo_f_0068,171.0,29.68,78.93,72.11,95.65,54.79,37.45,25.2,24.03,15.82,39.09,33.15,34.35,26.16,84.8,44.17,53.8,female,26.24
bmi_lo_f_0069,163.8,29.3,73.35,63.06,83.26,52.48,32.23,24.56,23.2,14.91,40.33,28.41,33.36,25.96,88.32,46.91,44.4,female,16.34
bmi_lo_f_0070,151.9,28.17,71.1,56.39,79.37,45.99,29.66,21.75,22.55,14.04,37.89,28.47,30.75,24.0,80.04,41.41,31.9,female,13.58
bmi_lo_f_0071,158.7,27.98,69.23,62.17,87.46,48.99,31.92,20.67,20.27,14.33,36.43,31.16,32.96,21.83,80.95,42.07,38.8,female,20.43
bmi_lo_f_0072,170.3,28.41,75.36,63.84,82.3,43.84,28.78,21.14,20.56,14.36,38.13,29.44,34.93,24.27,86.38,46.05,39.5,female,15.11
bmi_lo_f_0073,170.2,30.78,74.58,62.24,88.02,51.86,35.64,24.17,22.83,15.1,39.66,31.37,33.36,26.9,92.85,46.99,52.7,female,16.18
bmi_lo_f_0074,152.6,26.78,71.24,61.94,80.79,47.62,28.93,23.28,22.3,14.12,39.24,29.23,32.34,21.26,79.51,40.49,33.7,female,18.69
bmi_lo_f_0075,177.1,30.8,80.29,66.91,89.62,50.44,33.1,24.59,23.43,15.27,42.92,32.21,35.94,26.33,91.31,46.9,54.8,female,18.11
bmi_lo_f_0076,161.7,28.2,79.12,61.55,82.6,49.75,31.13,24.25,23.31,14.37,37.98,28.22,33.14,24.22,88.05,43.45,44.1,female,16.23
bmi_lo_f_0077,151.8,29.8,72.6,60.28,80.9,49.73,31.16,22.09,21.57,13.83,39.43,27.14,30.98,22.9,74.28,39.47,34.5,female,16.06
bmi_lo_f_0078,174.0,28.29,75.33,58.86,86.93,49.84,34.06,25.27,23.11,15.2,38.29,30.91,36.21,24.77,89.69,48.08,47.9,female,14.06
bmi_lo_f_0079,165.8,28.34,73.62,57.85,86.93,49.67,33.92,23.77,23.72,14.54,39.14,31.73,33.59,23.63,80.76,42.38,43.1,female,15.47
bmi_lo_f_0080,152.5,28.42,77.53,72.65,83.75,48.07,30.08,22.11,20.68,13.26,37.39,29.92,30.15,22.03,78.86,41.9,38.9,female,25.71
bmi_lo_f_0081,172.9,28.11,80.88,73.2,81.26,44.07,29.14,22.75,21.58,14.37,39.21,30.15,35.12,25.11,86.63,46.15,41.2,female,19.48
bmi_lo_f_0082,171.5,29.8,78.74,68.9,91.85,55.28,32.48,27.04,23.68,14.46,40.95,32.71,35.81,26.55,96.55,50.68,53.7,female,22.36
bmi_lo_f_0083,165.5,30.1,80.07,71.27,86.67,51.73,32.87,23.76,22.73,14.34,40.49,30.46,32.86,23.06,86.8,46.31,49.5,female,22.17
bmi_lo_f_0084,168.3,29.48,74.04,61.63,84.18,47.52,34.43,22.09,22.23,14.59,39.11,30.54,32.02,24.44,84.9,44.1,44.5,female,14.77
bmi_lo_f_0085,165.8,29.84,74.75,72.64,90.49,51.42,31.25,22.97,23.24,15.22,41.12,32.22,34.32,24.13,83.0,42.64,47.4,female,25.05
bmi_lo_f_0086,161.9,29.64,78.45,59.22,79.15,46.45,29.01,20.08,20.19,13.65,37.14,28.62,32.77,22.82,81.87,41.68,35.8,female,11.62
bmi_lo_f_0087,168.0,28.47,71.4,67.15,87.95,50.45,28.57,23.35,19.36,14.28,37.22,30.31,33.41,23.63,87.08,43.65,43.4,female,20.86
bmi_lo_f_0088,165.4,29.09,69.38,58.43,89.39,49.7,34.0,21.74,22.32,14.7,39.58,32.09,34.38,24.01,82.05,43.72,42.5,female,16.95
bmi_lo_f_0089,161.5,26.9,73.27,59.54,84.03,47.83,31.58,23.12,21.87,13.8,38.94,30.69,32.45,22.6,82.64,43.06,37.6,female,16.72
bmi_lo_f_0090,153.8,29.87,81.61,66.85,83.97,50.67,31.89,24.82,22.22,13.47,38.8,29.89,31.53,25.3,79.81,42.0,38.7,female,21.35
bmi_lo_f_0091,168.8,31.57,76.83,61.7,88.67,50.85,31.23,24.21,22.97,14.27,39.49,31.2,33.09,24.69,88.76,44.93,46.0,female,16.13
bmi_lo_f_0092,157.3,26.23,71.61,64.29,84.52,48.87,29.64,22.99,21.79,13.63,37.14,29.29,30.64,22.38,82.2,41.14,35.0,female,21.34
bmi_lo_f_0093,159.2,31.74,82.46,68.92,90.93,54.54,31.84,24.38,23.16,13.63,38.74,32.08,33.45,25.62,87.07,45.24,46.6,female,23.96
bmi_lo_f_0094,157.1,30.81,76.22,73.94,89.77,52.87,33.28,24.78,23.01,14.18,43.38,31.9,33.93,22.66,81.97,41.51,44.9,female,27.13
bmi_lo_f_0095,162.2,27.41,75.03,61.98,80.77,47.94,27.87,20.5,20.15,13.08,36.49,29.1,32.28,23.65,89.99,42.97,37.0,female,15.73
bmi_lo_f_0096,173.4,30.12,79.43,61.53,87.17,51.89,33.29,25.02,24.84,15.34,39.97,30.54,36.63,25.91,90.84,45.99,49.5,female,14.86
bmi_lo_f_0097,161.5,27.5,72.83,60.22,80.48,46.79,34.53,24.97,22.37,14.44,38.12,28.57,33.56,22.98,85.71,44.17,38.6,female,14.58
bmi_lo_f_0098,160.3,28.31,71.3,59.04,84.26,48.79,30.0,20.67,21.56,15.02,36.74,31.09,34.07,24.18,80.59,41.5,36.1,female,16.01
bmi_lo_f_0099,158.2,29.91,70.99,54.85,77.67,42.7,29.38,21.87,23.19,14.55,39.1,27.29,31.93,23.8,77.16,39.55,34.0,female,8.5
bmi_lo_f_0100,165.1,29.25,71.73,61.02,82.8,46.84,31.15,22.36,22.71,15.23,39.55,30.78,34.39,23.64,86.3,45.28,41.1,female,14.5
bmi_lo_f_0101,156.1,28.61,74.35,55.74,77.67,45.51,29.33,24.31,23.06,13.8,39.13,27.04,32.49,23.43,82.58,43.08,33.3,female,10.56
bmi_lo_f_0102,165.3,30.75,86.22,73.55,85.49,48.64,30.47,23.38,21.8,14.71,39.21,29.01,35.49,24.3,86.04,46.03,50.2,female,22.47
bmi_lo_f_0103,158.9,31.03,75.59,68.2,83.24,50.34,32.42,23.24,21.2,13.42,40.5,29.46,31.63,22.36,83.05,44.03,41.2,female,19.65
bmi_lo_f_0104,160.8,27.53,69.67,52.0,78.39,46.04,31.81,23.2,21.31,14.4,36.74,28.25,31.0,22.88,79.64,41.26,35.8,female,7.98
bmi_lo_f_0105,165.1,29.21,81.94,71.9,88.65,50.92,29.83,25.63,21.63,15.24,41.32,31.96,33.69,22.29,86.76,44.02,49.1,female,24.18
bmi_lo_f_0106,168.6,29.15,78.81,64.43,89.84,54.88,31.09,23.24,23.24,14.82,42.34,31.41,35.62,24.47,87.35,45.02,49.3,female,19.85
bmi_lo_f_0107,174.2,30.15,65.64,54.69,82.44,47.68,31.73,23.61,25.05,14.86,39.09,27.97,35.52,25.3,89.38,47.6,43.4,female,7.37
bmi_lo_f_0108,149.7,29.4,82.07,66.92,88.37,50.31,32.61,24.1,22.16,14.69,37.58,32.17,29.04,22.18,76.67,38.7,41.0,female,25.33
bmi_lo_f_0109,159.6,29.94,72.99,56.43,88.4,53.47,33.36,23.62,23.35,15.17,39.49,31.66,32.08,21.75,80.38,41.6,43.6,female,16.14
bmi_lo_f_0110,168.0,28.48,70.82,58.85,81.98,45.68,31.39,21.67,21.76,15.5,37.03,29.5,34.07,24.48,85.01,44.55,42.0,female,12.37
bmi_lo_f_0111,163.3,28.34,63.0,65.13,81.18,48.42,31.89,23.55,22.87,14.47,35.54,28.99,33.15,25.26,86.5,44.2,37.9,female,17.04
bmi_lo_f_0112,164.6,31.81,78.23,65.74,87.21,48.97,32.15,25.38,23.52,14.93,39.41,31.41,34.43,26.59,86.77,43.38,46.2,female,18.58
bmi_lo_f_0113,166.3,31.22,81.61,72.98,86.2,50.03,32.15,25.64,25.16,15.65,41.42,30.26,35.45,26.37,90.06,46.59,49.8,female,22.03
bmi_lo_f_0114,158.2,29.02,85.94,61.12,82.49,49.56,30.96,24.99,21.81,13.61,40.19,28.98,32.13,23.21,79.14,40.79,40.2,female,16.32
bmi_lo_f_0115,158.5,28.26,75.05,60.79,80.12,45.23,31.6,21.52,21.05,14.04,39.14,28.94,33.01,22.9,81.32,43.32,38.4,female,15.03
bmi_lo_f_0116,151.1,29.93,78.57,70.44,84.68,47.0,31.8,24.03,23.4,15.22,39.68,30.26,31.71,23.17,78.13,40.29,42.0,female,24.54
bmi_lo_f_0117,154.6,29.02,75.93,59.4,76.57,46.39,29.9,24.43,24.17,14.91,39.32,26.08,31.86,24.89,80.42,40.19,35.4,female,12.41
bmi_lo_f_0118,155.7,29.79,70.23,67.17,88.51,53.77,33.41,24.76,21.88,13.29,39.19,31.87,31.83,22.69,80.78,41.41,41.6,female,23.67
bmi_lo_f_0119,159.1,32.13,78.24,58.13,80.11,44.36,34.11,21.79,21.73,14.18,37.55,28.77,33.77,23.03,81.87,42.34,40.0,female,10.63
bmi_lo_f_0120,154.6,27.94,78.78,61.23,81.67,44.64,30.09,21.42,21.52,13.3,36.66,29.84,31.41,22.28,80.84,39.35,32.4,female,17.53
bmi_lo_f_0121,152.3,29.33,72.8,66.8,87.35,53.48,31.28,24.17,22.48,13.84,37.35,30.68,31.1,22.6,81.32,41.04,42.2,female,24.0
bmi_lo_f_0122,157.2,29.24,73.37,69.54,84.79,47.45,29.93,21.11,21.67,13.28,36.88,30.8,33.15,22.98,81.96,43.18,36.0,female,22.81
bmi_lo_f_0123,170.9,30.14,67.28,56.67,79.58,48.38,32.09,23.87,22.42,14.42,37.91,28.38,33.97,25.3,89.13,47.16,43.7,female,7.6
bmi_lo_f_0124,161.0,29.8,76.8,69.45,83.4,52.84,33.11,25.04,23.98,14.45,41.01,27.76,33.14,24.03,83.73,42.01,46.3,female,20.63
bmi_lo_f_0125,172.0,31.12,87.73,74.69,86.84,48.93,32.24,24.34,23.54,15.11,40.44,30.14,36.47,25.52,90.99,47.48,53.5,female,21.94
bmi_lo_f_0126,169.8,29.97,78.53,68.86,85.75,48.92,30.18,25.14,22.99,14.52,38.36,30.56,34.55,26.07,87.79,47.04,45.6,female,19.28
bmi_lo_f_0127,169.7,28.27,72.78,57.75,84.74,44.89,30.55,22.37,21.7,14.47,39.27,31.59,36.32,24.51,88.22,46.24,40.3,female,13.12
bmi_lo_f_0128,159.0,28.67,68.11,61.3,86.63,48.18,32.53,21.55,22.13,14.23,35.17,32.24,32.38,22.18,80.03,42.46,39.5,female,18.94
bmi_lo_f_0129,160.7,27.43,81.78,73.35,88.3,43.5,32.23,22.19,21.4,14.11,40.23,30.37,33.43,22.77,81.65,41.45,42.7,female,26.87
bmi_lo_f_0130,167.4,28.96,74.88,61.35,82.64,43.77,32.96,19.92,22.03,14.72,41.05,30.36,34.37,24.96,84.86,45.02,42.6,female,14.2
bmi_lo_f_0131,163.6,27.93,71.97,57.92,86.2,51.94,36.58,25.54,23.46,13.96,41.01,29.84,33.48,25.38,88.42,43.88,44.7,female,15.88
bmi_lo_f_0132,170.7,32.91,84.16,72.61,88.53,48.74,34.52,24.39,22.81,14.64,42.09,31.29,35.16,26.03,91.04,46.91,52.9,female,21.07
bmi_lo_f_0133,157.4,27.33,69.92,58.06,80.71,46.86,30.75,22.51,21.75,14.0,36.9,28.9,30.94,22.64,80.25,41.81,33.6,female,14.56
bmi_lo_f_0134,147.3,29.14,81.0,59.16,83.31,47.76,32.74,23.13,22.35,14.22,37.28,29.62,29.47,18.87,72.93,37.41,37.2,female,18.57
bmi_lo_f_0135,151.6,29.31,84.17,62.47,83.12,45.42,30.43,24.44,22.86,13.79,40.57,28.97,31.0,22.42,77.62,40.2,37.2,female,19.17
bmi_lo_f_0136,153.8,28.92,77.1,63.5,82.94,47.49,33.72,23.73,21.66,13.78,39.56,29.58,29.83,21.71,76.67,39.71,37.9,female,19.31
bmi_lo_f_0137,178.3,29.87,77.3,59.89,83.98,47.45,32.16,23.26,22.38,14.4,37.31,29.6,35.47,25.97,94.38,48.25,47.7,female,10.88
bmi_lo_f_0138,161.6,28.42,71.6,56.67,77.68,43.93,28.0,24.61,21.96,13.64,37.67,26.85,33.48,24.25,86.97,43.2,35.8,female,9.85
bmi_lo_f_0139,155.2,31.12,75.45,58.5,77.68,43.65,29.53,23.02,22.61,13.96,37.58,28.24,32.24,23.93,79.93,41.96,34.2,female,10.98
bmi_lo_f_0140,163.2,31.41,81.41,66.01,79.02,44.05,30.03,19.82,21.94,14.88,37.92,28.79,32.5,24.53,81.73,43.49,38.7,female,14.4
bmi_lo_f_0141,168.0,28.52,71.68,63.47,88.15,51.11,33.75,23.16,22.65,14.8,38.36,30.8,33.69,23.28,84.21,44.53,49.6,female,18.85
bmi_lo_f_0142,153.0,28.41,68.01,67.56,78.1,44.06,28.41,23.48,22.29,12.9,34.05,26.8,30.58,23.18,77.61,39.44,32.1,female,19.37
bmi_lo_f_0143,152.0,31.52,70.21,56.36,77.1,43.42,29.37,23.01,23.32,14.66,41.1,28.16,32.04,22.71,77.61,40.14,32.9,female,9.73
bmi_lo_f_0144,156.8,27.85,75.23,60.76,89.99,50.74,33.25,23.81,22.48,14.26,37.2,32.89,31.7,23.46,78.87,41.54,42.8,female,21.66
bmi_lo_f_0145,154.6,28.74,65.13,52.0,86.06,48.96,35.12,22.6,22.75,14.69,35.61,30.08,31.93,23.77,79.64,41.01,39.0,female,13.96
bmi_lo_f_0146,170.4,29.77,71.62,59.15,82.75,45.17,29.65,22.88,23.0,15.33,39.39,30.08,36.21,25.84,90.91,46.92,43.0,female,11.63
bmi_lo_f_0147,167.3,29.2,72.9,59.77,80.37,48.06,31.25,23.18,23.13,14.19,38.5,28.04,33.43,24.4,89.8,46.04,41.3,female,11.66
bmi_lo_f_0148,163.0,29.54,74.44,62.25,83.3,49.85,32.55,26.16,23.93,15.22,39.43,28.96,31.59,25.64,89.87,44.83,45.6,female,15.93
bmi_lo_f_0149,170.0,31.74,73.65,57.69,85.75,51.53,31.86,23.18,22.83,14.57,39.35,30.11,35.42,26.5,88.47,46.26,46.6,female,11.46
bmi_lo_f_0150,172.0,30.84,76.98,68.24,85.01,48.66,33.92,25.55,23.72,14.91,41.37,30.79,35.83,25.31,88.82,45.3,50.3,female,17.45
bmi_lo_f_0151,157.6,27.11,69.23,66.69,85.12,51.34,31.07,23.7,22.03,13.71,38.66,29.84,31.43,22.61,81.24,42.2,37.9,female,22.48
bmi_lo_f_0152,160.8,28.31,76.8,61.78,83.88,46.87,31.17,23.2,22.2,14.38,36.12,31.56,33.1,22.71,82.41,40.4,40.2,female,17.32
bmi_lo_f_0153,170.2,30.46,78.83,67.01,86.36,52.38,33.22,25.46,24.43,14.66,40.63,29.94,34.11,24.96,91.58,47.03,50.8,female,18.19
bmi_lo_f_0154,160.2,28.75,73.47,67.13,84.98,50.26,32.34,22.37,23.58,14.8,38.75,28.28,34.18,24.19,85.35,43.65,43.2,female,21.02
bmi_lo_f_0155,163.0,30.15,83.71,70.19,90.78,51.93,31.43,24.43,23.87,14.66,38.57,31.65,34.01,24.62,85.62,44.29,47.1,female,24.44
bmi_lo_f_0156,170.7,29.52,74.41,54.76,81.25,43.94,31.99,20.9,21.4,14.82,38.45,28.9,35.32,24.8,87.05,45.95,40.6,female,7.9
bmi_lo_f_0157,165.4,28.63,80.87,52.0,83.51,46.51,33.83,22.31,21.91,13.93,37.56,29.8,32.19,22.59,84.05,44.28,40.7,female,9.5
