char_id,gender,somatotype,inversion_mae_cm,weight_kg,navy_bfp,target_height_cm,target_shoulder_width_cm,target_hip_width_cm,target_chest_circ_cm,target_waist_circ_cm,target_hip_circ_cm,target_neck_circ_cm,target_bicep_circ_cm,target_forearm_circ_cm,target_mid_thigh_circ_cm,target_calf_circ_cm,target_upper_arm_length_cm,target_forearm_length_cm,target_upper_leg_length_cm,target_lower_leg_length_cm,morph_abdomen_depth,morph_abdomen_scale,morph_body_builder,morph_body_fat,morph_body_muscular,morph_body_thin,morph_breast_scale,morph_chest_depth,morph_chest_height,morph_chest_scale,morph_chest_width,morph_forearm_len,morph_forearm_scale,morph_glute_scale,morph_hip_len,morph_hip_scale,morph_lower_leg_len,morph_lower_leg_scale,morph_neck_len,morph_neck_scale,morph_thigh_len,morph_thigh_scale,morph_upperarm_len,morph_upperarm_scale,pred_height_cm,pred_shoulder_width_cm,pred_hip_width_cm,pred_chest_circ_cm,pred_waist_circ_cm,pred_hip_circ_cm,pred_neck_circ_cm,pred_bicep_circ_cm,pred_forearm_circ_cm,pred_mid_thigh_circ_cm,pred_calf_circ_cm,pred_upper_arm_length_cm,pred_forearm_length_cm,pred_upper_leg_length_cm,pred_lower_leg_length_cm,target_WHR,pred_WHR,target_SHR,pred_SHR,target_leg_taper,pred_leg_taper,target_chest_waist,pred_chest_waist,target_hip_chest,pred_hip_chest,target_neck_chest,pred_neck_chest,target_bicep_thigh,pred_bicep_thigh,target_shoulder_chest,pred_shoulder_chest,target_hip_width_circ,pred_hip_width_circ,target_arm_ratio,pred_arm_ratio,target_leg_ratio,pred_leg_ratio,target_bicep_calf,pred_bicep_calf,target_forearm_bicep,pred_forearm_bicep,target_shoulder_hip_circ,pred_shoulder_hip_circ
bmi_lo_f_0010,female,rectangle,1.458,46.9,20.5,169.5,37.95,31.31,83.17,67.62,87.08,28.03,22.2,22.84,50.93,33.04,33.63,25.32,41.59,45.81,1.0,-0.4893,0.0,0.0315,0.0,1.0,0.928,-0.5,1.0,-0.5,-0.5,0.03,0.9973,0.8584,-1.0,-0.0295,-0.0557,1.0,-0.8382,0.0,-0.1893,1.0,0.4934,0.0985,169.53,43.34,34.09,86.57,70.0,90.77,29.46,21.91,22.63,50.09,32.34,33.17,25.09,41.57,45.78,0.7765,0.7712,1.2121,1.2713,1.5415,1.5489,1.23,1.2367,1.047,1.0485,0.337,0.3403,0.4359,0.4374,0.4563,0.5006,0.3596,0.3756,0.7529,0.7564,1.1015,1.1013,0.6719,0.6775,1.0288,1.0329,0.4358,0.4775
bmi_lo_f_0011,female,hourglass,0.601,50.4,25.04,168.0,41.29,33.74,79.26,71.39,92.87,29.92,23.51,23.7,50.71,31.9,36.47,25.85,45.0,45.61,-1.0,-0.4201,0.0,0.07,0.0,1.0,0.5168,-0.5,0.1722,-0.5,-0.5,0.0834,1.0,0.8203,-1.0,0.1593,-0.07,0.8009,-1.0,0.0,-0.0362,0.6588,0.7471,0.164,168.06,43.44,34.82,80.56,72.37,94.4,30.44,23.31,23.17,50.55,31.78,36.3,25.77,44.94,45.55,0.7687,0.7666,1.2238,1.2476,1.5897,1.5906,1.1102,1.1132,1.1717,1.1718,0.3775,0.3779,0.4636,0.4611,0.5209,0.5392,0.3633,0.3689,0.7088,0.7099,1.0136,1.0136,0.737,0.7335,1.0081,0.994,0.4446,0.4602
bmi_lo_f_0012,female,rectangle,1.348,39.1,22.33,156.7,37.68,30.3,81.46,68.75,85.51,30.25,21.89,22.22,47.05,29.07,32.72,23.38,38.56,40.28,-1.0,-0.0953,0.0,0.0426,0.0,1.0,0.8165,-0.5,0.3605,-0.5,-0.5,-0.1337,0.9106,1.0,-1.0,-0.0648,-0.3001,0.5076,-1.0,0.3319,-0.3221,0.5644,0.4231,0.0683,156.88,43.34,33.1,84.83,71.2,89.24,31.12,21.91,22.23,47.07,29.08,32.21,23.14,38.38,40.09,0.804,0.7978,1.2436,1.3094,1.6185,1.6186,1.1849,1.1914,1.0497,1.052,0.3713,0.3669,0.4652,0.4655,0.4626,0.5109,0.3543,0.3709,0.7145,0.7184,1.0446,1.0446,0.753,0.7534,1.0151,1.0146,0.4407,0.4857
bmi_lo_f_0013,female,hourglass,1.211,46.7,19.64,171.5,39.04,32.09,77.71,66.95,87.25,28.17,21.54,21.8,48.32,33.09,34.75,25.24,44.49,47.89,-1.0,-0.3321,0.0,0.0206,0.0568,1.0,0.7061,-0.5,0.5413,-0.5,-0.5,0.0257,0.8335,1.0,-1.0,0.1637,0.0278,1.0,-1.0,0.0,-0.0612,0.5263,0.5926,0.0187,171.61,43.39,34.32,80.42,68.92,90.32,29.37,21.28,21.62,47.66,32.42,34.38,25.06,44.39,47.78,0.7673,0.7631,1.2166,1.2643,1.4603,1.4701,1.1607,1.1669,1.1228,1.1231,0.3625,0.3652,0.4458,0.4465,0.5024,0.5395,0.3678,0.38,0.7263,0.7289,1.0764,1.0764,0.651,0.6564,1.0121,1.016,0.4474,0.4804
bmi_lo_f_0014,female,rectangle,0.96,47.5,18.95,162.3,39.3,30.32,83.42,66.09,85.18,30.52,22.86,23.18,49.62,30.86,32.13,22.14,39.11,42.9,-1.0,-0.6856,0.0,0.0771,0.0,1.0,0.6897,-0.5,0.8176,-0.5,-0.5,-0.2323,1.0,0.479,-1.0,-0.2486,-0.1842,0.66,-1.0,0.1083,-0.2992,0.8734,0.3918,0.0895,162.43,43.32,32.29,85.89,67.8,87.87,31.15,22.86,23.17,49.62,30.86,31.77,21.98,38.99,42.77,0.7759,0.7716,1.2962,1.3416,1.6079,1.6079,1.2622,1.2668,1.0211,1.0231,0.3659,0.3627,0.4607,0.4607,0.4711,0.5044,0.356,0.3675,0.6891,0.6918,1.0969,1.0969,0.7408,0.7408,1.014,1.0136,0.4614,0.493
bmi_lo_f_0015,female,hourglass,1.939,40.7,18.98,153.3,35.95,29.62,69.24,59.8,86.31,29.36,23.48,23.4,50.76,35.35,29.76,20.94,35.7,40.68,-1.0,-1.0,0.0784,0.0201,0.1394,1.0,0.2856,-0.5,0.1493,-0.5,-0.5,-0.3466,1.0,1.0,-1.0,0.053,-0.2741,1.0,-1.0,0.0762,-0.4448,0.7374,0.1745,0.0357,153.54,43.34,34.38,73.01,63.63,89.72,30.47,22.91,22.98,50.31,33.29,29.11,20.64,35.68,40.57,0.6929,0.7092,1.2137,1.2606,1.4359,1.5113,1.1579,1.1474,1.2465,1.2289,0.424,0.4173,0.4626,0.4554,0.5192,0.5936,0.3432,0.3832,0.7036,0.709,1.1395,1.1371,0.6642,0.6882,0.9966,1.0031,0.4165,0.4831
bmi_lo_f_0016,female,rectangle,1.102,42.6,18.15,163.0,38.83,30.71,82.33,63.02,85.7,29.02,22.2,21.45,48.3,32.22,33.87,24.0,41.97,40.99,-1.0,-0.8851,0.0,0.0461,0.0,1.0,0.8048,-0.5,0.7699,-0.5,-0.5,-0.0789,0.7649,1.0,-1.0,-0.0858,-0.2706,0.94,-1.0,0.0,-0.1696,0.7344,0.5238,0.0983,163.13,43.36,33.03,85.12,64.89,88.72,29.86,22.24,21.47,48.39,32.27,33.47,23.81,41.84,40.86,0.7354,0.7314,1.2644,1.3127,1.4991,1.4995,1.3064,1.3118,1.0409,1.0423,0.3525,0.3508,0.4596,0.4596,0.4716,0.5094,0.3583,0.3723,0.7086,0.7114,0.9766,0.9766,0.689,0.6892,0.9662,0.9654,0.4531,0.4887
bmi_lo_f_0017,female,hourglass,1.309,48.7,12.97,168.0,39.02,28.94,76.79,59.34,84.67,30.71,25.02,23.99,52.58,34.98,35.06,24.86,44.24,46.6,-1.0,-1.0,0.2996,0.006,0.0,1.0,0.4801,-0.5,-0.4662,-0.5,-0.5,-0.0264,0.9659,1.0,1.0,-0.3,-0.0174,1.0,-1.0,0.1818,-0.0775,1.0,0.6046,0.0158,168.13,43.62,32.4,79.55,61.73,87.18,31.47,24.63,23.73,51.7,34.05,34.72,24.7,44.27,46.57,0.7008,0.7081,1.3483,1.3463,1.5031,1.5184,1.2941,1.2887,1.1026,1.0959,0.3999,0.3956,0.4758,0.4764,0.5081,0.5483,0.3418,0.3716,0.7091,0.7114,1.0533,1.052,0.7153,0.7233,0.9588,0.9635,0.4608,0.5003
bmi_lo_f_0018,female,hourglass,0.973,51.6,16.35,170.9,40.52,31.95,74.19,60.01,90.0,29.96,25.19,24.6,50.99,35.26,35.52,26.47,43.46,46.18,-1.0,-1.0,0.2304,0.0,0.0,1.0,0.3966,-0.5,0.9037,-0.5,-0.5,0.1184,1.0,1.0,-1.0,0.0523,-0.0327,1.0,-1.0,0.064,-0.0933,0.8301,0.649,0.1312,171.01,43.54,34.49,75.65,62.6,89.94,30.37,24.55,23.54,51.29,33.42,35.29,26.37,43.62,46.25,0.6668,0.696,1.2682,1.2624,1.4461,1.5347,1.2363,1.2085,1.2131,1.1889,0.4038,0.4015,0.494,0.4787,0.5462,0.5755,0.355,0.3835,0.7452,0.7472,1.0626,1.0603,0.7144,0.7346,0.9766,0.9589,0.4502,0.4841
bmi_lo_f_0019,female,apple,1.368,40.8,21.45,163.3,38.86,26.44,78.57,74.98,79.62,29.06,23.16,21.9,42.75,28.61,33.39,24.02,43.8,45.85,1.0,0.2239,0.0,0.0794,0.0,1.0,0.5356,-0.5,-1.0,-0.5,-0.5,-0.0729,0.748,0.4795,1.0,-0.3,-0.0733,0.2683,-1.0,0.0,-0.1073,-0.1051,0.4889,0.0916,163.75,43.4,29.31,81.44,77.23,82.54,30.76,22.89,21.73,41.99,28.2,33.05,23.86,43.42,45.43,0.9417,0.9357,1.4697,1.4807,1.4942,1.489,1.0479,1.0545,1.0134,1.0135,0.3699,0.3777,0.5418,0.5451,0.4946,0.5329,0.3321,0.3551,0.7194,0.7219,1.0468,1.0463,0.8095,0.8117,0.9456,0.9493,0.4881,0.5258
bmi_lo_f_0020,female,hourglass,0.887,44.8,12.72,173.0,39.84,31.49,71.73,61.22,84.89,31.21,21.77,22.21,45.31,31.16,34.57,23.23,40.13,46.4,-1.0,-1.0,0.0,0.0125,0.0,1.0,0.5084,-0.5,1.0,-0.5,-0.5,-0.1418,0.9961,1.0,1.0,0.2304,-0.026,0.9181,-0.504,0.6664,-0.2624,0.2798,0.5916,0.15,173.0,43.37,33.46,73.75,62.77,87.17,31.82,21.9,22.3,45.72,31.38,34.27,23.09,40.16,46.42,0.7212,0.7201,1.2652,1.2962,1.4541,1.457,1.1717,1.1749,1.1835,1.182,0.4351,0.4315,0.4805,0.479,0.5554,0.5881,0.371,0.3838,0.672,0.6738,1.1562,1.1559,0.6987,0.6979,1.0202,1.0183,0.4693,0.4975
bmi_lo_f_0021,female,hourglass,0.672,48.6,15.96,174.8,40.5,30.98,76.16,64.26,87.66,30.9,24.26,23.1,50.22,30.79,34.19,25.72,40.62,47.46,-1.0,-0.9674,0.0,0.0688,0.0,1.0,0.4074,-0.5,1.0,-0.5,-0.5,0.0723,1.0,1.0,0.6058,-0.2608,0.0187,0.6773,-0.2606,0.2055,-0.2434,0.9686,0.5557,0.2825,174.8,43.36,32.39,77.87,65.49,89.68,31.38,24.26,23.1,50.22,30.79,33.95,25.6,40.62,47.46,0.7331,0.7303,1.3073,1.3387,1.631,1.631,1.1852,1.189,1.151,1.1517,0.4057,0.403,0.4831,0.4831,0.5318,0.5568,0.3534,0.3612,0.7523,0.7541,1.1684,1.1684,0.7879,0.7879,0.9522,0.9522,0.462,0.4835
bmi_lo_f_0022,female,hourglass,1.494,47.5,11.5,173.1,39.31,30.63,70.24,56.05,87.26,30.33,25.65,25.73,47.43,31.83,36.14,26.67,45.26,47.79,-1.0,-1.0,0.0,0.0,0.0,1.0,0.5236,-0.5,0.6821,-0.5,-0.5,0.1544,1.0,1.0,-1.0,0.0122,0.029,1.0,-1.0,0.6053,-0.021,1.0,0.7129,0.535,173.26,43.41,33.89,72.86,60.65,87.87,31.11,24.86,22.28,48.91,31.72,35.92,26.61,45.38,47.83,0.6423,0.6902,1.2834,1.2809,1.4901,1.5419,1.2532,1.2013,1.2423,1.206,0.4318,0.427,0.5408,0.5083,0.5597,0.5958,0.351,0.3857,0.738,0.7408,1.0559,1.054,0.8058,0.7837,1.0031,0.8962,0.4505,0.494
bmi_lo_f_0023,female,rectangle,0.239,50.9,21.59,166.7,42.82,30.03,90.11,73.92,84.51,31.07,25.21,22.89,49.12,30.98,34.26,26.31,41.56,43.35,1.0,-0.4579,0.0,0.1137,0.0,1.0,0.7461,-0.5,-1.0,-0.5,-0.5,0.1323,0.8524,-0.42,1.0,-0.3,-0.1615,0.5416,0.8812,0.0,-0.1959,0.5996,0.5753,0.2643,166.72,43.42,30.62,90.57,74.23,84.92,31.56,25.1,22.82,48.81,30.82,34.23,26.29,41.57,43.35,0.8747,0.8741,1.4259,1.418,1.5855,1.5837,1.219,1.2201,0.9379,0.9376,0.3448,0.3485,0.5132,0.5142,0.4752,0.4794,0.3553,0.3606,0.768,0.768,1.0431,1.0428,0.8138,0.8144,0.908,0.9092,0.5067,0.5113
bmi_lo_f_0024,female,hourglass,1.304,46.9,16.05,160.3,38.5,29.44,73.7,59.17,84.55,28.66,26.14,23.64,48.37,33.67,32.62,24.53,41.01,42.52,-1.0,-1.0,0.075,0.0132,0.0,1.0,0.5506,-0.5,-0.5199,-0.5,-0.5,-0.0355,1.0,1.0,1.0,-0.0932,-0.197,1.0,-1.0,0.0,-0.2213,0.7636,0.4161,0.4736,160.45,43.41,32.67,76.36,61.75,86.64,29.45,25.63,22.76,48.37,32.54,32.24,24.35,41.03,42.48,0.6998,0.7127,1.3077,1.3287,1.4366,1.4865,1.2456,1.2366,1.1472,1.1346,0.3889,0.3857,0.5404,0.5299,0.5224,0.5685,0.3482,0.3771,0.752,0.7553,1.0368,1.0353,0.7764,0.7876,0.9044,0.888,0.4554,0.501
bmi_lo_f_0025,female,rectangle,0.672,45.9,25.47,160.0,40.89,30.87,85.38,73.47,87.71,29.92,24.87,22.22,50.82,31.6,32.39,23.86,41.79,42.23,1.0,-0.1697,0.0,0.0749,0.0,1.0,0.7699,-0.5,-0.6771,-0.5,-0.5,-0.08,0.8282,0.4166,1.0,-0.2856,-0.2129,0.7412,-1.0,0.0,-0.1919,1.0,0.4182,0.3241,160.06,43.37,32.18,86.96,74.63,89.39,30.62,24.76,22.15,50.46,31.42,32.19,23.76,41.74,42.17,0.8376,0.8349,1.3246,1.3477,1.6082,1.606,1.1621,1.1652,1.0273,1.0279,0.3504,0.3521,0.4894,0.4907,0.4789,0.4987,0.352,0.36,0.7366,0.7381,1.0105,1.0103,0.787,0.788,0.8934,0.8946,0.4662,0.4852
bmi_lo_f_0026,female,rectangle,1.27,37.9,12.33,158.4,38.53,27.21,77.68,59.59,75.98,27.18,23.29,21.93,41.52,31.28,32.86,24.13,39.62,45.93,-1.0,-0.6058,0.0,0.0042,0.0,1.0,0.8574,-0.5,-1.0,-0.5,-0.5,-0.0646,0.9573,1.0,0.1836,-0.3,-0.0579,0.9423,-1.0,0.0,-0.2853,0.3022,0.4416,0.346,158.67,43.39,29.92,80.81,61.68,79.04,28.68,23.36,21.98,41.69,31.38,32.48,23.95,39.41,45.68,0.7843,0.7804,1.416,1.4502,1.3274,1.3286,1.3036,1.3101,0.9781,0.9781,0.3499,0.3549,0.5609,0.5603,0.496,0.5369,0.3581,0.3785,0.7343,0.7374,1.1593,1.1591,0.7446,0.7444,0.9416,0.9409,0.5071,0.549
bmi_lo_f_0027,female,pear,0.703,46.5,22.54,164.4,40.73,31.43,80.27,69.86,86.99,28.85,24.98,21.27,49.71,29.28,33.53,22.15,42.55,43.78,1.0,-0.2783,0.0,0.0329,0.0,1.0,0.7567,-0.5,-0.2473,-0.5,-0.5,-0.2281,0.7604,0.7378,1.0,-0.1646,-0.1467,0.5453,-1.0,0.0,-0.1606,1.0,0.5166,0.45,164.47,43.38,32.83,81.93,71.08,88.84,29.51,24.89,21.21,49.42,29.14,33.3,22.05,42.49,43.71,0.8031,0.8001,1.2959,1.3214,1.6977,1.696,1.149,1.1526,1.0837,1.0843,0.3594,0.3602,0.5025,0.5036,0.5074,0.5295,0.3613,0.3695,0.6606,0.6622,1.0289,1.0287,0.8531,0.8542,0.8515,0.8521,0.4682,0.4883
bmi_lo_f_0028,female,pear,1.299,41.0,26.8,150.1,38.23,30.75,76.66,69.88,89.67,30.82,24.25,24.3,51.29,31.85,30.02,20.58,35.6,39.44,-1.0,-0.7712,0.0,0.1225,0.0,1.0,0.2382,-0.5,-0.22,-0.5,-0.5,-0.3631,1.0,0.6887,-1.0,-0.1222,-0.332,0.6486,-1.0,0.0,-0.4529,0.6619,0.2182,0.1071,150.25,43.3,33.26,79.6,72.13,93.16,31.84,24.03,23.71,51.11,31.72,29.58,20.39,35.45,39.28,0.7793,0.7743,1.2433,1.3019,1.6104,1.6113,1.097,1.1036,1.1697,1.1704,0.402,0.4,0.4728,0.4702,0.4987,0.544,0.3429,0.357,0.6855,0.6893,1.1079,1.108,0.7614,0.7576,1.0021,0.9867,0.4263,0.4648
bmi_lo_f_0029,female,rectangle,1.049,41.5,19.27,158.0,39.57,30.3,84.1,66.46,83.17,30.27,24.03,24.33,45.14,31.92,32.4,22.62,39.24,41.5,-1.0,-1.0,0.0,0.0949,0.0,1.0,0.6465,-0.5,0.1514,-0.5,-0.5,-0.1888,1.0,0.1728,-1.0,0.1673,-0.2445,0.713,-1.0,0.0,-0.2826,-0.212,0.4161,0.139,158.1,43.34,32.15,86.53,68.14,85.72,31.14,23.66,23.38,44.85,31.69,32.09,22.49,39.14,41.39,0.7991,0.7949,1.3059,1.3481,1.4142,1.4153,1.2654,1.2699,0.9889,0.9906,0.3599,0.3599,0.5323,0.5275,0.4705,0.5009,0.3643,0.3751,0.6981,0.7008,1.0576,1.0575,0.7528,0.7466,1.0125,0.9882,0.4758,0.5056
