char_id,gender,morph_key,morph_id,morph_value,height_cm,shoulder_width_cm,hip_width_cm,chest_circ_cm,waist_circ_cm,hip_circ_cm,neck_circ_cm,bicep_circ_cm,forearm_circ_cm,mid_thigh_circ_cm,calf_circ_cm,upper_arm_length_cm,forearm_length_cm,upper_leg_length_cm,lower_leg_length_cm
sens_upperarm_scale_03_m,male,upperarm_scale,cc embed morphs/embed_arm3,-0.4,179.01,47.05,32.72,87.0,75.41,86.45,31.14,22.3,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_abs_03_f,female,skin_abs,2025-05-07-13-43-26_pack_skinny_abs_01,0.3,178.8,47.1,32.76,87.1,74.9,86.42,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_spine_06_m,male,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,0.6,179.01,46.89,32.72,87.22,75.42,86.44,31.0,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_height_10_f,female,chest_height,cc embed morphs/embed_torso112,1.0,183.73,47.1,32.76,87.49,75.45,86.52,31.06,25.73,20.66,49.76,28.89,26.43,24.71,46.0,47.15
sens_chest_depth_10_f,female,chest_depth,cc embed morphs/embed_torso103,1.0,178.8,47.1,32.76,97.96,75.87,86.52,31.0,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_chest_b_02_m,male,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.2,179.01,46.89,32.72,87.5,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_shoulder_09_m,male,musc_shoulder,2025-05-05-12-22-16_embed_athetic_shoulder_01,0.9,179.01,46.84,32.72,87.02,75.42,86.45,31.14,26.02,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_body_muscular_05_m,male,body_muscular,cc embed morphs/embed_full_body6,0.5,179.02,47.04,33.66,93.7,77.17,88.32,32.96,28.09,21.08,52.95,30.94,26.43,24.68,45.94,47.15
sens_skin_chest_09_m,male,skin_chest,2025-05-08-14-58-30_pack_skinny_chest_03,0.9,179.01,46.89,32.72,85.89,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_prox_02_f,female,breast_prox,cc embed morphs/embed_torso101,0.2,178.8,47.1,32.76,87.16,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_thigh_10_m,male,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,1.0,179.01,46.89,34.4,87.02,75.54,89.63,31.14,25.64,20.57,53.85,28.75,26.43,24.68,45.94,47.15
sens_skin_arm_06_m,male,skin_arm,2025-05-07-14-12-07_pack_skinny_arm_01,0.6,179.01,47.04,32.72,87.01,75.42,86.45,31.14,23.59,17.82,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_scale_09_f,female,upperarm_scale,cc embed morphs/embed_arm3,0.8,178.8,47.1,32.76,87.15,75.46,86.52,30.99,32.5,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_lower_leg_scale_03_m,male,lower_leg_scale,cc embed morphs/embed_leg2,-0.4,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,25.9,26.43,24.68,45.94,47.15
sens_skin_calf_00_m,male,skin_calf,2025-05-07-14-35-43_pack_skinny_calf_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_calf_06_m,male,musc_calf,2025-05-05-12-33-02_embed_athetic_calf_01,0.6,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,30.17,26.43,24.68,45.94,47.15
sens_shoulder_scale_00_f,female,shoulder_scale,cc embed morphs/embed_arm101,-0.5,178.8,47.08,32.76,86.99,75.46,86.52,30.99,24.28,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_builder_05_m,male,body_builder,cc embed morphs/embed_full_body1,0.5,178.81,47.44,34.2,99.49,79.26,92.08,34.15,31.98,23.25,56.72,32.28,26.8,25.11,45.74,46.88
sens_hip_len_00_f,female,hip_len,cc embed morphs/embed_torso4,-1.0,177.2,47.1,32.76,87.17,75.35,86.44,30.94,25.74,20.68,49.64,28.89,26.43,24.7,45.83,47.15
sens_hip_len_00_m,male,hip_len,cc embed morphs/embed_torso4,-1.0,177.42,46.89,32.72,87.1,75.31,86.37,31.09,25.65,20.59,49.49,28.75,26.43,24.68,45.77,47.15
sens_musc_obliques_00_f,female,musc_obliques,2025-05-08-15-29-44_embed_athetic_side_abs_01,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_upperarm_scale_05_m,male,upperarm_scale,cc embed morphs/embed_arm3,0.0,179.01,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_a_03_f,female,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.3,178.8,47.1,32.76,87.56,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_abdomen_scale_06_f,female,abdomen_scale,cc embed morphs/embed_torso113,0.2,178.8,47.1,32.85,87.1,77.16,86.99,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_lower_leg_len_04_m,male,lower_leg_len,cc embed morphs/embed_leg5,-0.2,174.26,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.63,28.78,26.43,24.68,45.85,42.56
sens_body_fat_01_m,male,body_fat,cc embed morphs/embed_full_body3,0.1,179.04,47.06,35.1,92.33,84.15,94.9,33.42,27.79,21.83,53.96,30.72,26.43,24.68,45.94,47.15
sens_forearm_scale_06_m,male,forearm_scale,cc embed morphs/embed_arm2,0.2,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,21.7,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_abs_08_f,female,musc_abs,2025-05-08-15-26-33_embed_athetic_abs_iso_01,0.8,178.8,47.1,32.76,87.1,75.6,86.51,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_chest_a_03_m,male,musc_chest_a,2025-05-05-12-07-08_embed_athetic_chest_01,0.3,179.01,46.89,32.72,87.48,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_b_10_m,male,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,1.0,179.01,46.89,32.72,90.16,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_lower_leg_scale_04_m,male,lower_leg_scale,cc embed morphs/embed_leg2,-0.2,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,27.32,26.43,24.68,45.94,47.15
sens_musc_back_06_m,male,musc_back,2025-05-05-12-31-03_embed_athetic_back_01,0.6,179.01,46.89,32.72,89.28,75.71,86.45,31.15,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_b_02_f,female,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.2,178.8,47.1,32.76,87.58,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_fat_05_f,female,body_fat,cc embed morphs/embed_full_body3,0.5,178.93,47.06,45.04,113.8,120.42,130.12,43.1,36.77,27.07,72.34,39.02,26.43,24.7,46.0,47.15
sens_skin_calf_01_m,male,skin_calf,2025-05-07-14-35-43_pack_skinny_calf_01,0.1,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.24,26.43,24.68,45.94,47.15
sens_musc_chest_b_04_f,female,musc_chest_b,2025-05-08-11-32-58_embed_athetic_chest_02,0.4,178.8,47.1,32.76,88.13,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_shoulder_10_f,female,musc_shoulder,2025-05-05-12-22-16_embed_athetic_shoulder_01,1.0,178.8,46.94,32.76,87.1,75.46,86.52,31.0,26.16,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_glute_scale_09_m,male,glute_scale,cc embed morphs/embed_torso1,0.8,179.01,46.89,33.4,87.02,76.57,91.01,31.14,25.64,20.57,49.88,28.75,26.43,24.68,45.94,47.15
sens_musc_arm_07_m,male,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.7,179.01,47.06,32.72,87.07,75.42,86.45,31.14,28.58,21.72,49.61,28.75,26.43,24.68,45.94,47.15
sens_pectoral_scale_08_f,female,pectoral_scale,cc embed morphs/embed_torso114,0.8,178.8,46.91,32.76,90.03,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_upperarm_len_08_m,male,upperarm_len,cc embed morphs/embed_arm4,0.6,179.01,47.23,32.72,87.03,75.42,86.45,31.14,25.64,20.62,49.61,28.75,33.75,24.84,45.94,47.15
sens_musc_arm_05_f,female,musc_arm,2025-05-05-12-31-36_embed_athetic_arn_01,0.5,178.8,47.05,32.76,87.13,75.46,86.52,30.99,27.81,21.47,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_calf_02_m,male,musc_calf,2025-05-05-12-33-02_embed_athetic_calf_01,0.2,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,29.2,26.43,24.68,45.94,47.15
sens_chest_scale_10_m,male,chest_scale,cc embed morphs/embed_torso104,1.0,185.74,50.7,32.72,106.86,75.4,86.45,31.85,25.58,20.57,49.61,28.75,26.0,24.68,45.94,47.15
sens_glute_scale_10_f,female,glute_scale,cc embed morphs/embed_torso1,1.0,178.8,47.1,33.63,87.1,77.01,92.46,30.99,25.73,20.66,50.11,28.89,26.43,24.7,46.0,47.15
sens_chest_depth_06_m,male,chest_depth,cc embed morphs/embed_torso103,0.4,179.01,46.89,32.72,91.3,75.58,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_calf_03_m,male,musc_calf,2025-05-05-12-33-02_embed_athetic_calf_01,0.3,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,29.43,26.43,24.68,45.94,47.15
sens_pectoral_height_03_f,female,pectoral_height,cc embed morphs/embed_torso115,0.3,178.8,47.1,32.76,87.37,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_buttocks_10_m,male,skin_buttocks,2025-06-10-17-01-51_pack_skinny_bottom_02,1.0,179.01,46.89,32.32,87.02,74.71,83.86,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_calf_02_m,male,skin_calf,2025-05-07-14-35-43_pack_skinny_calf_01,0.2,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,27.74,26.43,24.68,45.94,47.15
sens_skin_chest_00_f,female,skin_chest,2025-05-08-14-58-30_pack_skinny_chest_03,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_thigh_len_03_f,female,thigh_len,cc embed morphs/embed_leg4,-0.4,169.52,47.1,32.8,87.1,75.46,86.42,30.99,25.73,20.66,49.8,28.79,26.43,24.7,37.04,46.9
sens_musc_neck_02_m,male,musc_neck,2025-05-05-13-47-33_embed_athetic_chest_01,0.2,179.01,46.89,32.72,87.02,75.42,86.45,31.15,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_thigh_09_m,male,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,0.9,179.01,46.89,34.33,87.02,75.52,89.29,31.14,25.64,20.57,53.4,28.75,26.43,24.68,45.94,47.15
sens_skin_ribcage_08_f,female,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.8,178.8,47.1,32.76,87.12,73.16,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_upperarm_scale_08_m,male,upperarm_scale,cc embed morphs/embed_arm3,0.6,179.01,47.04,32.72,87.06,75.41,86.45,31.14,30.67,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_height_06_f,female,chest_height,cc embed morphs/embed_torso112,0.2,179.78,47.1,32.76,87.17,75.46,86.52,31.0,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_waist_09_m,male,musc_waist,2025-05-05-12-18-34_embed_athetic_abs_01,0.9,179.01,46.89,32.72,87.02,75.94,86.44,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_chest_c_06_m,male,musc_chest_c,2025-06-10-15-34-47_embed_athetic_chest_c,0.6,179.01,46.89,32.72,88.83,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_musc_waist_09_f,female,musc_waist,2025-05-05-12-18-34_embed_athetic_abs_01,0.9,178.8,47.1,32.76,87.1,75.98,86.51,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_thin_01_f,female,body_thin,cc embed morphs/embed_full_body5,0.1,178.78,46.97,32.52,86.27,74.72,85.55,30.78,25.15,20.21,48.82,28.44,26.46,24.69,45.97,47.15
sens_breast_scale_02_f,female,breast_scale,cc embed morphs/embed_torso102,0.2,178.8,47.1,32.76,90.76,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_body_muscular_06_m,male,body_muscular,cc embed morphs/embed_full_body6,0.6,179.02,47.03,33.85,95.1,77.53,88.7,33.36,28.6,21.18,53.63,31.38,26.43,24.68,45.94,47.15
sens_musc_chest_c_07_f,female,musc_chest_c,2025-06-10-15-34-47_embed_athetic_chest_c,0.7,178.8,47.1,32.76,89.3,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_back_01_m,male,skin_back,2025-06-10-17-08-24_pack_skinny_back_02,0.1,179.01,46.89,32.72,86.86,75.07,86.44,31.13,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_upperarm_len_10_m,male,upperarm_len,cc embed morphs/embed_arm4,1.0,179.01,47.37,32.72,87.04,75.42,86.45,31.14,25.64,20.66,49.61,28.75,38.63,24.94,45.94,47.15
sens_neck_len_05_m,male,neck_len,cc embed morphs/embed_torso109,0.0,179.02,46.89,32.72,87.02,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_spine_09_f,female,skin_spine,2025-05-07-14-17-56_pack_skinny_spine_01,0.9,178.8,47.1,32.76,87.5,75.56,86.58,30.79,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_skin_abs_00_m,male,skin_abs,2025-05-07-13-43-26_pack_skinny_abs_01,0.0,179.01,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_ribcage_07_m,male,skin_ribcage,2025-05-07-12-27-17_pack_skinny_rib_01,0.7,179.01,46.89,32.72,87.03,73.4,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_breast_prox_04_f,female,breast_prox,cc embed morphs/embed_torso101,0.4,178.8,47.1,32.76,87.32,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_lower_leg_len_01_m,male,lower_leg_len,cc embed morphs/embed_leg5,-0.8,160.0,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.71,28.81,26.43,24.68,45.58,28.78
sens_musc_back_07_m,male,musc_back,2025-05-05-12-31-03_embed_athetic_back_01,0.7,179.01,46.89,32.72,89.83,75.83,86.45,31.15,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_neck_04_f,female,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.4,178.8,47.1,32.76,87.1,75.46,86.52,29.95,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_obliques_04_m,male,musc_obliques,2025-05-08-15-29-44_embed_athetic_side_abs_01,0.4,179.01,46.89,32.72,87.02,75.5,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_pectoral_height_07_m,male,pectoral_height,cc embed morphs/embed_torso115,0.7,179.02,46.89,32.72,87.68,75.41,86.45,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_thigh_scale_07_f,female,thigh_scale,cc embed morphs/embed_leg3,0.4,178.8,47.1,33.84,87.14,75.86,89.54,30.97,25.73,20.67,52.87,28.86,26.43,24.7,46.09,47.15
sens_lower_leg_len_06_m,male,lower_leg_len,cc embed morphs/embed_leg5,0.2,183.77,46.89,32.72,87.02,75.42,86.45,31.14,25.64,20.57,49.58,28.72,26.43,24.68,46.03,51.74
sens_musc_neck_00_f,female,musc_neck,2025-05-05-13-47-33_embed_athetic_chest_01,0.0,178.8,47.1,32.76,87.1,75.46,86.52,30.99,25.73,20.66,49.76,28.89,26.43,24.7,46.0,47.15
sens_musc_thigh_07_m,male,musc_thigh,2025-05-05-12-32-25_embed_athetic_thigh_01,0.7,179.01,46.89,33.99,87.02,75.49,88.63,31.14,25.64,20.57,52.5,28.75,26.43,24.68,45.94,47.15
sens_abdomen_depth_06_m,male,abdomen_depth,cc embed morphs/embed_torso111,0.2,179.01,46.89,32.72,87.02,75.69,86.48,31.14,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_skin_neck_02_m,male,skin_neck,2025-05-07-12-04-51_pack_skinny_neck_01,0.2,179.01,46.89,32.72,87.02,75.42,86.45,30.62,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_thigh_len_08_f,female,thigh_len,cc embed morphs/embed_leg4,0.6,192.71,47.1,32.47,87.1,75.46,86.66,30.99,25.73,20.66,49.71,29.04,26.43,24.7,59.43,47.52
sens_neck_len_00_m,male,neck_len,cc embed morphs/embed_torso109,-1.0,175.26,46.89,32.72,87.09,75.41,86.45,31.16,25.64,20.57,49.61,28.75,26.43,24.68,45.94,47.15
sens_chest_scale_10_f,female,chest_scale,cc embed morphs/embed_torso104,1.0,185.54,50.73,32.76,106.95,75.45,86.52,31.57,25.67,20.66,49.76,28.89,26.0,24.7,46.0,47.15
