
========== KATEGORİ: Actor Parts ==========
UI İsmi: Eyeball Iris Flatten  |  Kod ID: 2018-07-18-15-33-30_eyeball iris flatten  |  Range: [1.0, 0.0]
UI İsmi: Eye_Squint_R  |  Kod ID: 43Eye_Squint_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Squint_L  |  Kod ID: 44Eye_Squint_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Wide_R  |  Kod ID: 45Eye_Wide_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Wide_L  |  Kod ID: 46Eye_Wide_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink_R  |  Kod ID: 47Eye_Blink_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink_L  |  Kod ID: 48Eye_Blink_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink  |  Kod ID: 49Eye_Blink  |  Range: [1.0, 0.0]
UI İsmi: HD Aaron_Eyeball  |  Kod ID: 2025-08-21-15-03-23_aaron_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Aaron_Teeth  |  Kod ID: 2025-08-21-15-03-32_aaron_teeth  |  Range: [1.0, 0.0]
UI İsmi: HD Ariana_Eyeball  |  Kod ID: 2025-08-21-09-30-32_hd ariana_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Ariana_Teeth  |  Kod ID: 2025-08-21-09-30-38_hd ariana_teeth  |  Range: [1.0, 0.0]
UI İsmi: HD Gibro_Eyeball  |  Kod ID: 2025-08-19-18-58-55_hd gibro_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Gibro_Teeth  |  Kod ID: 2025-08-19-18-58-58_hd gibro_teeth  |  Range: [1.0, 0.0]
UI İsmi: HD Mila_Eyeball  |  Kod ID: 2025-08-23-10-34-00_hd mila_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Mila_Teeth  |  Kod ID: 2025-08-23-10-34-04_hd mila_teeth  |  Range: [1.0, 0.0]
UI İsmi: HD Neutral F_Eyeball  |  Kod ID: 2025-08-21-14-23-46_hd neutral f_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Neutral F_Teeth  |  Kod ID: 2025-08-21-14-23-52_hd neutral f_teeth  |  Range: [1.0, 0.0]
UI İsmi: HD Neutral M_Eyeball  |  Kod ID: 2025-08-20-10-27-49_hd neutral m_eyeball  |  Range: [1.0, 0.0]
UI İsmi: HD Neutral M_Teeth  |  Kod ID: 2025-08-20-10-27-55_hd neutral m_teeth  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Depth_L  |  Kod ID: 00TearLine_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Depth_R  |  Kod ID: 01TearLine_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_Depth_L  |  Kod ID: 02TearLine_InnerCorner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_Depth_R  |  Kod ID: 03TearLine_InnerCorner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Depth_L  |  Kod ID: 04TearLine_OuterCorner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Depth_R  |  Kod ID: 05TearLine_OuterCorner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Lower_Depth_R  |  Kod ID: 06TearLine_Lower_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Upper_Depth_L  |  Kod ID: 07TearLine_Upper_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Upper_Depth_R  |  Kod ID: 08TearLine_Upper_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Depth_L  |  Kod ID: 09TearLine_LowerInner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Depth_R  |  Kod ID: 10TearLine_LowerInner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Depth_L  |  Kod ID: 11TearLine_LowerMiddle_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Depth_R  |  Kod ID: 12TearLine_LowerMiddle_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Depth_L  |  Kod ID: 13TearLine_LowerOuter_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Depth_R  |  Kod ID: 14TearLine_LowerOuter_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Depth_L  |  Kod ID: 15TearLine_UpperInner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Depth_R  |  Kod ID: 16TearLine_UpperInner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Depth_L  |  Kod ID: 17TearLine_UpperMiddle_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Depth_R  |  Kod ID: 18TearLine_UpperMiddle_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Depth_L  |  Kod ID: 19TearLine_UpperOuter_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Depth_R  |  Kod ID: 20TearLine_UpperOuter_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Up_L  |  Kod ID: 21TearLine_LowerInner_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Up_R  |  Kod ID: 22TearLine_LowerInner_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Up_L  |  Kod ID: 23TearLine_LowerMiddle_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Up_R  |  Kod ID: 24TearLine_LowerMiddle_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Up_L  |  Kod ID: 25TearLine_LowerOuter_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Up_R  |  Kod ID: 26TearLine_LowerOuter_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Down_L  |  Kod ID: 27TearLine_UpperInner_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Down_R  |  Kod ID: 28TearLine_UpperInner_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Down_L  |  Kod ID: 29TearLine_UpperMiddle_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Down_R  |  Kod ID: 30TearLine_UpperMiddle_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Down_L  |  Kod ID: 31TearLine_UpperOuter_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Down_R  |  Kod ID: 32TearLine_UpperOuter_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_In_L  |  Kod ID: 33TearLine_InnerCorner_In_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_In_R  |  Kod ID: 34TearLine_InnerCorner_In_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCornerr_Up_L  |  Kod ID: 35TearLine_InnerCornerr_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCornerr_Up_R  |  Kod ID: 36TearLine_InnerCornerr_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_In_L  |  Kod ID: 37TearLine_OuterCorner_In_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_In_R  |  Kod ID: 38TearLine_OuterCorner_In_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Up_L  |  Kod ID: 39TearLine_OuterCorner_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Up_R  |  Kod ID: 40TearLine_OuterCorner_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Duct_Depth_L  |  Kod ID: 41TearLine_Duct_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Duct_Depth_R  |  Kod ID: 42TearLine_Duct_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Lower_Depth_L  |  Kod ID: 50TearLine_Lower_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral_F_Eyeball  |  Kod ID: 2025-08-23-12-55-42_toon neutral_f_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral_F_Teeth  |  Kod ID: 2025-08-23-12-55-43_toon neutral_f_teeth  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral_M_Eyeball  |  Kod ID: 2025-08-23-13-05-27_toon neutral_m_eyeball  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral_M_Teeth  |  Kod ID: 2025-08-23-13-05-27_toon neutral_m_teeth  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor Parts/CC_Base_EyeOcclusion ==========
UI İsmi: EO Inner Height L  |  Kod ID: 00EO Inner Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Height R  |  Kod ID: 01EO Inner Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Height L  |  Kod ID: 02EO Inner Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Height R  |  Kod ID: 03EO Inner Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Height L  |  Kod ID: 04EO Inner Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Height R  |  Kod ID: 05EO Inner Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Height L  |  Kod ID: 06EO Center Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Height R  |  Kod ID: 07EO Center Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Height L  |  Kod ID: 08EO Center Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Height R  |  Kod ID: 09EO Center Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Height L  |  Kod ID: 10EO Outer Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Height R  |  Kod ID: 11EO Outer Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Height L  |  Kod ID: 12EO Outer Upper Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Height R  |  Kod ID: 13EO Outer Upper Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Height L  |  Kod ID: 14EO Outer Lower Height L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Height R  |  Kod ID: 15EO Outer Lower Height R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Width L  |  Kod ID: 16EO Inner Width L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Width R  |  Kod ID: 17EO Inner Width R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Width L  |  Kod ID: 18EO Outer Width L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Width R  |  Kod ID: 19EO Outer Width R  |  Range: [1.0, -1.0]
UI İsmi: EO Bulge L  |  Kod ID: 20EO Bulge L  |  Range: [1.0, -1.0]
UI İsmi: EO Bulge R  |  Kod ID: 21EO Bulge R  |  Range: [1.0, -1.0]
UI İsmi: EO Depth L  |  Kod ID: 22EO Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Depth R  |  Kod ID: 23EO Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Duct Depth L  |  Kod ID: 24EO Duct Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Duct Depth R  |  Kod ID: 25EO Duct Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Upper Depth L  |  Kod ID: 26EO Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Upper Depth R  |  Kod ID: 27EO Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Lower Depth L  |  Kod ID: 28EO Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Lower Depth R  |  Kod ID: 29EO Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Depth L  |  Kod ID: 30EO Inner Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Depth R  |  Kod ID: 31EO Inner Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Depth L  |  Kod ID: 32EO Inner Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Upper Depth R  |  Kod ID: 33EO Inner Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Depth L  |  Kod ID: 34EO Inner Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Inner Lower Depth R  |  Kod ID: 35EO Inner Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Depth L  |  Kod ID: 36EO Center Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Upper Depth R  |  Kod ID: 37EO Center Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Depth L  |  Kod ID: 38EO Center Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Center Lower Depth R  |  Kod ID: 39EO Center Lower Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Depth L  |  Kod ID: 40EO Outer Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Depth R  |  Kod ID: 41EO Outer Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Depth L  |  Kod ID: 42EO Outer Upper Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Upper Depth R  |  Kod ID: 43EO Outer Upper Depth R  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Depth L  |  Kod ID: 44EO Outer Lower Depth L  |  Range: [1.0, -1.0]
UI İsmi: EO Outer Lower Depth R  |  Kod ID: 45EO Outer Lower Depth R  |  Range: [1.0, -1.0]

========== KATEGORİ: Actor Parts/CC_Base_TearLine ==========
UI İsmi: Eye_Squint_R  |  Kod ID: 43Eye_Squint_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Squint_L  |  Kod ID: 44Eye_Squint_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Wide_R  |  Kod ID: 45Eye_Wide_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Wide_L  |  Kod ID: 46Eye_Wide_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink_R  |  Kod ID: 47Eye_Blink_R  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink_L  |  Kod ID: 48Eye_Blink_L  |  Range: [1.0, 0.0]
UI İsmi: Eye_Blink  |  Kod ID: 49Eye_Blink  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Depth_L  |  Kod ID: 00TearLine_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Depth_R  |  Kod ID: 01TearLine_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_Depth_L  |  Kod ID: 02TearLine_InnerCorner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_Depth_R  |  Kod ID: 03TearLine_InnerCorner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Depth_L  |  Kod ID: 04TearLine_OuterCorner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_OuterCorner_Depth_R  |  Kod ID: 05TearLine_OuterCorner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Lower_Depth_R  |  Kod ID: 06TearLine_Lower_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Upper_Depth_L  |  Kod ID: 07TearLine_Upper_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_Upper_Depth_R  |  Kod ID: 08TearLine_Upper_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Depth_L  |  Kod ID: 09TearLine_LowerInner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Depth_R  |  Kod ID: 10TearLine_LowerInner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Depth_L  |  Kod ID: 11TearLine_LowerMiddle_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Depth_R  |  Kod ID: 12TearLine_LowerMiddle_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Depth_L  |  Kod ID: 13TearLine_LowerOuter_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Depth_R  |  Kod ID: 14TearLine_LowerOuter_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Depth_L  |  Kod ID: 15TearLine_UpperInner_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Depth_R  |  Kod ID: 16TearLine_UpperInner_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Depth_L  |  Kod ID: 17TearLine_UpperMiddle_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Depth_R  |  Kod ID: 18TearLine_UpperMiddle_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Depth_L  |  Kod ID: 19TearLine_UpperOuter_Depth_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Depth_R  |  Kod ID: 20TearLine_UpperOuter_Depth_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Up_L  |  Kod ID: 21TearLine_LowerInner_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerInner_Up_R  |  Kod ID: 22TearLine_LowerInner_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Up_L  |  Kod ID: 23TearLine_LowerMiddle_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerMiddle_Up_R  |  Kod ID: 24TearLine_LowerMiddle_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Up_L  |  Kod ID: 25TearLine_LowerOuter_Up_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_LowerOuter_Up_R  |  Kod ID: 26TearLine_LowerOuter_Up_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Down_L  |  Kod ID: 27TearLine_UpperInner_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperInner_Down_R  |  Kod ID: 28TearLine_UpperInner_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Down_L  |  Kod ID: 29TearLine_UpperMiddle_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperMiddle_Down_R  |  Kod ID: 30TearLine_UpperMiddle_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Down_L  |  Kod ID: 31TearLine_UpperOuter_Down_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_UpperOuter_Down_R  |  Kod ID: 32TearLine_UpperOuter_Down_R  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_In_L  |  Kod ID: 33TearLine_InnerCorner_In_L  |  Range: [1.0, 0.0]
UI İsmi: TearLine_InnerCorner_In_R  |  Kod ID: 34TearLine_InnerCorner_In_R  |  Range: [1.0, 0.0]
