char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern,hip_score,waist_def_score,somatotype
char_00046,female,22,overweight,0.5571,0.3344,0.3357,0.5156,0.4588,0.3191,0.6191,0.323,0.501,0.5658,,balanced,0.2177,0.6844,apple
char_00047,female,20,obese,0.8705,0.2147,0.2496,0.4916,0.5703,0.6805,0.4125,0.6016,0.4769,0.3805,,balanced,0.7318,0.5115,apple
char_00048,female,19,normal,0.2562,0.1149,0.2808,0.2375,0.341,0.383,0.4938,0.1938,0.4429,0.4826,,balanced,0.6231,0.5926,pear
char_00049,female,27,normal,0.2838,0.2551,0.3338,0.6028,0.6012,0.881,0.656,0.8345,0.5977,0.749,,balanced,0.4977,0.5795,rectangle
char_00050,female,21,athletic_lean,0.1365,0.4837,0.2005,0.4881,0.2111,0.5111,0.2919,0.4196,0.3628,0.4439,,balanced,0.7227,0.6092,pear
char_00051,female,33,athletic_hyper,0.0766,0.7562,0.3408,0.6264,0.7893,0.9264,0.8789,0.6903,0.7734,0.7962,,push_dominant,0.6382,0.8289,rectangle
char_00052,female,38,athletic_lean,0.1101,0.4918,0.3247,0.7614,0.6365,0.5606,0.4614,0.758,0.5976,0.7177,,balanced,0.8612,0.3588,pear
char_00053,female,37,overweight,0.4636,0.2825,0.3395,0.5357,0.3753,0.6078,0.6753,0.3994,0.6389,0.4362,,balanced,0.4062,0.8487,rectangle
char_00054,female,21,underweight,0.0811,0.0456,0.2282,0.3546,0.5417,0.5723,0.5116,0.4159,0.6546,0.4595,,balanced,0.4164,0.5933,rectangle
char_00055,female,33,normal,0.265,0.255,0.2834,0.4074,0.527,0.227,0.2881,0.2656,0.3035,0.5183,,balanced,0.3513,0.7429,rectangle
char_00056,female,35,underweight,0.0937,0.1059,0.3167,0.28,0.321,0.4383,0.58,0.5414,0.3154,0.5152,,balanced,0.6066,0.5484,pear
char_00057,female,25,normal,0.3048,0.2083,0.3456,0.3423,0.2508,0.2441,0.382,0.5441,0.495,0.3945,,balanced,0.6392,0.7382,pear
char_00058,female,17,overweight,0.5054,0.2729,0.3745,0.3458,0.3274,0.3061,0.6061,0.3697,0.349,0.5642,,balanced,0.5558,0.615,rectangle
char_00059,female,34,normal,0.2937,0.2295,0.2989,0.2342,0.2397,0.3972,0.5342,0.3759,0.3624,0.2689,,balanced,0.6258,0.7461,pear
char_00060,female,26,overweight,0.4921,0.2358,0.261,0.6533,0.5013,0.3533,0.3962,0.3537,0.3829,0.4956,,balanced,0.4873,0.4742,rectangle
char_00061,female,19,overweight,0.4406,0.2592,0.2787,0.5871,0.6217,0.4938,0.5017,0.3217,0.5671,0.5399,,balanced,0.5869,0.5537,pear
char_00062,female,26,obese,0.9027,0.2662,0.4139,0.4577,0.3482,0.4872,0.4668,0.3606,0.387,0.6482,,balanced,0.4103,0.809,apple
char_00063,female,37,athletic_hyper,0.0973,0.7265,0.3291,0.2448,0.1876,0.4045,0.3444,0.2511,0.3701,0.1045,,balanced,0.592,0.7283,rectangle
char_00064,female,26,obese,0.7877,0.2925,0.2655,0.2686,0.4503,0.3186,0.4481,0.373,0.4523,0.5686,,balanced,0.3989,0.376,apple
char_00065,female,16,overweight,0.526,0.2216,0.2396,0.6799,0.4666,0.4003,0.5531,0.5731,0.7003,0.5318,,balanced,0.3933,0.5052,apple
char_00066,female,21,overweight,0.4698,0.2358,0.3064,0.4098,0.7098,0.5368,0.4366,0.6484,0.5255,0.7045,,balanced,0.5227,0.855,rectangle
char_00067,female,36,underweight,0.0662,0.1535,0.2127,0.51,0.7106,0.678,0.569,0.6007,0.431,0.731,,balanced,0.5592,0.4656,rectangle
char_00068,female,19,underweight,0.0506,0.049,0.3396,0.5729,0.5432,0.5702,0.5964,0.4923,0.6118,0.3118,,balanced,0.3943,0.5105,rectangle
char_00069,female,28,overweight,0.5246,0.2396,0.2554,0.4026,0.3665,0.5969,0.4769,0.611,0.5432,0.6665,,balanced,0.3336,0.4405,apple
char_00070,female,37,overweight,0.4589,0.2595,0.368,0.535,0.3787,0.3978,0.5153,0.6787,0.6626,0.5151,,balanced,0.3388,0.5392,rectangle
char_00071,female,33,underweight,0.0725,0.0967,0.2833,0.5248,0.3162,0.3243,0.4537,0.25,0.55,0.3993,,balanced,0.5073,0.6665,rectangle
char_00072,female,24,normal,0.2996,0.2476,0.2241,0.482,0.442,0.4754,0.3362,0.3146,0.6146,0.5016,,balanced,0.5668,0.4771,rectangle
char_00073,female,29,overweight,0.477,0.2915,0.425,0.5714,0.3977,0.2714,0.4534,0.3587,0.4757,0.3471,,balanced,0.2964,0.8663,rectangle
char_00074,female,20,overweight,0.4213,0.2789,0.3137,0.5874,0.7,0.4576,0.4,0.4455,0.4095,0.5303,,balanced,0.6786,0.403,pear
char_00075,female,29,underweight,0.0577,0.0416,0.3191,0.5387,0.6577,0.4772,0.5011,0.6043,0.3577,0.4822,,balanced,0.2931,0.4641,rectangle
char_00076,female,26,normal,0.2162,0.1355,0.267,0.6997,0.3997,0.627,0.4395,0.4108,0.412,0.631,,balanced,0.3209,0.7989,rectangle
char_00077,female,30,overweight,0.4609,0.2085,0.3122,0.3629,0.547,0.6629,0.4627,0.3975,0.4734,0.6194,,balanced,0.7321,0.7582,pear
char_00078,female,19,normal,0.2717,0.2781,0.2493,0.6191,0.587,0.3425,0.5525,0.4237,0.3624,0.6425,,balanced,0.6324,0.795,pear
char_00079,female,28,obese,0.6546,0.2676,0.2771,0.3745,0.6745,0.5373,0.381,0.6364,0.5091,0.5004,,balanced,0.735,0.6011,rectangle
char_00080,female,40,obese,0.8051,0.2815,0.2194,0.6121,0.6682,0.5777,0.6727,0.3727,0.458,0.4012,,balanced,0.6116,0.3038,apple
char_00081,female,22,athletic_hyper,0.1291,0.7815,0.2632,0.4053,0.3785,0.6513,0.3774,0.3513,0.4957,0.5256,,balanced,0.726,0.407,rectangle
char_00082,female,14,normal,0.2075,0.2449,0.303,0.6481,0.5281,0.3515,0.5282,0.6515,0.5559,0.5664,,balanced,0.4893,0.5732,rectangle
char_00083,female,25,obese,0.8153,0.2063,0.3419,0.5269,0.353,0.5925,0.4126,0.5343,0.653,0.5557,,balanced,0.5214,0.4854,apple
char_00084,female,16,overweight,0.5075,0.2202,0.2811,0.4107,0.4195,0.4258,0.4384,0.6156,0.3618,0.6618,,balanced,0.2541,0.6191,apple
char_00085,female,26,underweight,0.1351,0.0475,0.372,0.2673,0.1225,0.107,0.3636,0.4015,0.1433,0.1015,,balanced,0.5026,0.3803,rectangle
char_00086,female,20,overweight,0.445,0.2478,0.3361,0.5123,0.5169,0.4944,0.5694,0.4318,0.3565,0.6565,,balanced,0.5787,0.5518,rectangle
char_00087,female,35,normal,0.1815,0.1598,0.2861,0.4624,0.5125,0.4459,0.2991,0.5536,0.356,0.5991,,balanced,0.4661,0.3667,rectangle
char_00088,female,39,overweight,0.4652,0.2091,0.4144,0.3877,0.5274,0.5109,0.6509,0.5007,0.3509,0.5877,,balanced,0.6668,0.6264,pear
char_00089,female,29,normal,0.2933,0.1774,0.3121,0.3455,0.535,0.3691,0.333,0.5232,0.362,0.633,,balanced,0.2607,0.5356,rectangle
char_00090,female,21,athletic_hyper,0.107,0.9523,0.2705,0.386,0.6706,0.686,0.444,0.6728,0.4474,0.4158,,lower_dominant,0.5168,0.5881,rectangle
char_00091,female,24,athletic_lean,0.098,0.5057,0.2364,0.2468,0.4946,0.2694,0.5012,0.2012,0.4718,0.3094,,upper_dominant,0.5699,0.6356,rectangle
char_00092,female,18,athletic_lean,0.1335,0.5775,0.2353,0.3885,0.5756,0.3415,0.3719,0.3905,0.5145,0.2756,,lower_dominant,0.566,0.6564,rectangle
char_00093,female,22,underweight,0.0967,0.0419,0.4087,0.3092,0.4658,0.4436,0.6092,0.3779,0.3801,0.4916,,balanced,0.5252,0.4131,rectangle
char_00094,female,14,overweight,0.5222,0.2905,0.3174,0.7051,0.7592,0.476,0.7083,0.5443,0.7728,0.4728,,balanced,0.226,0.2768,apple
char_00095,female,29,underweight,0.063,0.1277,0.3124,0.5753,0.6334,0.7696,0.632,0.4696,0.4968,0.5707,,balanced,0.4915,0.5631,rectangle
char_00096,female,36,underweight,0.0953,0.1205,0.4335,0.39,0.4628,0.5376,0.5751,0.2751,0.5318,0.4159,,balanced,0.8147,0.593,pear
char_00097,female,29,obese,0.7217,0.2377,0.283,0.608,0.6303,0.4591,0.7404,0.4908,0.7591,0.7498,,balanced,0.5747,0.7602,apple
char_00098,female,23,overweight,0.4554,0.2282,0.3104,0.5749,0.3526,0.6478,0.4042,0.3478,0.4532,0.358,,balanced,0.5862,0.2562,rectangle
char_00099,female,22,obese,0.9265,0.2736,0.2164,0.5923,0.503,0.7351,0.7683,0.4683,0.6316,0.7642,,balanced,0.546,0.4141,apple
char_00100,female,32,underweight,0.0459,0.1107,0.4001,0.4105,0.5774,0.4364,0.38,0.4122,0.4245,0.2774,,balanced,0.3765,0.7286,rectangle
char_00101,female,24,athletic_hyper,0.1337,0.7693,0.3146,0.5956,0.7641,0.4641,0.6676,0.513,0.753,0.6972,,balanced,0.7053,0.3447,rectangle
char_00102,female,25,obese,0.7745,0.3127,0.2872,0.3528,0.3879,0.1228,0.3359,0.2892,0.0879,0.3438,,balanced,0.4942,0.6591,apple
char_00103,female,23,athletic_lean,0.1233,0.4855,0.3849,0.4064,0.4453,0.6463,0.5971,0.3463,0.6075,0.3619,,balanced,0.4963,0.4187,rectangle
char_00104,female,34,athletic_lean,0.1344,0.6271,0.2258,0.314,0.614,0.3982,0.5832,0.4439,0.5597,0.513,,balanced,0.4739,0.4919,rectangle
char_00105,female,24,overweight,0.4296,0.1981,0.3418,0.3159,0.5508,0.4026,0.5254,0.3255,0.3729,0.6159,,balanced,0.5314,0.7564,rectangle
char_00106,female,25,normal,0.2606,0.2467,0.2516,0.6189,0.6557,0.4169,0.3804,0.6804,0.5364,0.6269,,balanced,0.3266,0.6544,rectangle
char_00107,female,18,normal,0.2236,0.2629,0.395,0.4333,0.6642,0.3642,0.6335,0.5436,0.5732,0.5465,,balanced,0.379,0.7296,rectangle
char_00108,female,21,normal,0.2968,0.1421,0.3746,0.3626,0.2221,0.3468,0.1282,0.4277,0.4282,0.3865,,balanced,0.3154,0.5085,rectangle
char_00109,female,31,athletic_hyper,0.0591,0.8897,0.3511,0.403,0.5635,0.5436,0.5258,0.3792,0.551,0.6792,,balanced,0.6296,0.6017,rectangle
char_00110,female,40,athletic_lean,0.104,0.4909,0.352,0.3246,0.6008,0.514,0.367,0.5875,0.3912,0.6246,,push_dominant,0.4453,0.4372,rectangle
char_00111,female,22,athletic_hyper,0.1081,0.7207,0.2945,0.6397,0.4929,0.6581,0.4353,0.6829,0.6779,0.3829,,upper_dominant,0.7872,0.4871,rectangle
char_00112,female,25,athletic_lean,0.0551,0.4953,0.2688,0.5565,0.2565,0.3144,0.5437,0.5457,0.4722,0.3182,,upper_dominant,0.6926,0.293,pear
char_00113,female,18,obese,0.6687,0.1698,0.327,0.4596,0.5648,0.6761,0.3761,0.4375,0.5338,0.4983,,balanced,0.8013,0.3146,rectangle
char_00114,female,25,obese,0.9079,0.2269,0.2849,0.5856,0.4877,0.469,0.5887,0.4515,0.2887,0.4138,,balanced,0.4281,0.4295,apple
char_00115,female,24,athletic_lean,0.0758,0.5753,0.2111,0.6242,0.5777,0.6956,0.7981,0.4992,0.6098,0.7992,,balanced,0.801,0.3639,pear
char_00116,female,28,normal,0.3149,0.2118,0.2603,0.4637,0.639,0.3624,0.4089,0.6624,0.4697,0.6533,,balanced,0.3657,0.8702,rectangle
char_00117,female,36,athletic_lean,0.1096,0.5671,0.2635,0.5543,0.4934,0.3609,0.4155,0.5394,0.5084,0.6609,,balanced,0.5099,0.6636,rectangle
char_00118,female,38,overweight,0.4914,0.2844,0.2469,0.5346,0.7977,0.8077,0.6245,0.8346,0.8253,0.7768,,balanced,0.4344,0.7477,rectangle
char_00119,female,34,normal,0.2408,0.1675,0.2829,0.4813,0.498,0.5504,0.5921,0.3379,0.3896,0.6379,,balanced,0.5416,0.7324,rectangle
char_00120,female,19,athletic_hyper,0.0872,0.7893,0.2549,0.3584,0.6576,0.3907,0.6171,0.3593,0.3576,0.6449,,balanced,0.5928,0.5403,rectangle
char_00121,female,33,athletic_hyper,0.0761,0.7369,0.274,0.5988,0.4318,0.3259,0.2988,0.5713,0.3349,0.5593,,balanced,0.2327,0.6212,v_shape
char_00122,female,34,athletic_lean,0.1064,0.4729,0.2802,0.675,0.568,0.3988,0.6752,0.6988,0.6024,0.6169,,balanced,0.7237,0.5225,pear
char_00123,female,37,overweight,0.3729,0.2656,0.3055,0.8783,0.6059,0.6332,0.8173,0.7595,0.5783,0.822,,balanced,0.6083,0.5249,pear
char_00124,female,32,athletic_lean,0.1378,0.4741,0.3933,0.567,0.7049,0.4049,0.62,0.4498,0.6849,0.5725,,upper_dominant,0.6213,0.6538,pear
char_00125,female,24,overweight,0.4895,0.2568,0.2863,0.6516,0.6472,0.4108,0.3516,0.5754,0.5642,0.6314,,balanced,0.5614,0.4654,rectangle
char_00126,female,33,underweight,0.0406,0.193,0.2861,0.3346,0.2283,0.4585,0.4823,0.286,0.5283,0.2716,,balanced,0.6416,0.5647,pear
char_00127,female,28,obese,0.9274,0.1644,0.2453,0.2386,0.2972,0.5386,0.3634,0.283,0.3898,0.5359,,balanced,0.8829,0.3409,apple
char_00128,female,30,underweight,0.0527,0.0238,0.2921,0.3695,0.6243,0.6473,0.5178,0.5323,0.5816,0.3473,,balanced,0.8162,0.7367,pear
char_00129,female,22,obese,0.8923,0.2119,0.2565,0.4797,0.5009,0.3569,0.3382,0.4867,0.3033,0.5684,,balanced,0.3077,0.6357,apple
char_00130,female,30,overweight,0.5063,0.2542,0.3041,0.3837,0.6438,0.529,0.6837,0.6287,0.5877,0.5547,,balanced,0.3487,0.7959,rectangle
char_00131,female,27,obese,0.7337,0.2168,0.2841,0.6352,0.3352,0.5998,0.5459,0.4514,0.4761,0.5795,,balanced,0.8451,0.6698,rectangle
char_00132,female,32,obese,0.6923,0.2764,0.2572,0.3582,0.6309,0.4395,0.4704,0.4303,0.3309,0.515,,balanced,0.5886,0.2989,apple
char_00133,female,20,overweight,0.449,0.2586,0.3006,0.5547,0.3702,0.5038,0.3591,0.6591,0.5476,0.4654,,balanced,0.6066,0.5315,pear
char_00134,female,25,underweight,0.0741,0.1163,0.2322,0.4792,0.5598,0.5406,0.3727,0.3792,0.3707,0.6707,,balanced,0.6157,0.3899,pear
char_00135,female,21,athletic_lean,0.0789,0.5162,0.3797,0.2708,0.221,0.1917,0.4602,0.4694,0.1694,0.4452,,balanced,0.3112,0.4396,rectangle
char_00136,female,18,overweight,0.5511,0.3239,0.4381,0.3342,0.3037,0.5021,0.3042,0.2967,0.2021,0.4186,,balanced,0.732,0.3826,rectangle
char_00137,female,37,normal,0.3163,0.2157,0.3478,0.378,0.3726,0.2487,0.4665,0.2329,0.2146,0.1665,,balanced,0.7508,0.6225,pear
char_00138,female,26,overweight,0.4502,0.2582,0.339,0.6253,0.3662,0.6142,0.5096,0.5201,0.5591,0.3253,,balanced,0.2585,0.2416,apple
char_00139,female,23,athletic_lean,0.0795,0.4672,0.3887,0.4155,0.2166,0.49,0.2542,0.19,0.1927,0.2661,,balanced,0.5731,0.6764,rectangle
char_00140,female,32,athletic_hyper,0.0649,0.7247,0.2933,0.6619,0.3619,0.4935,0.6158,0.4914,0.5074,0.4019,,push_dominant,0.7828,0.7364,rectangle
char_00141,female,29,athletic_lean,0.1318,0.4465,0.2124,0.4523,0.4769,0.3038,0.3099,0.5147,0.6038,0.3416,,pull_dominant,0.5312,0.6998,rectangle
char_00142,female,30,athletic_hyper,0.1389,0.9181,0.3167,0.3833,0.6833,0.5707,0.4607,0.5279,0.4342,0.5801,,balanced,0.6133,0.7114,rectangle
char_00143,female,27,normal,0.1674,0.1645,0.3487,0.5819,0.38,0.4932,0.68,0.5926,0.5468,0.4104,,balanced,0.5936,0.4197,pear
char_00144,female,29,obese,0.9091,0.2511,0.3362,0.5377,0.2455,0.41,0.2377,0.5222,0.3817,0.5328,,balanced,0.3586,0.7352,apple
char_00145,female,14,athletic_lean,0.0911,0.4,0.2174,0.6092,0.5864,0.3572,0.3092,0.3515,0.4581,0.3306,,lower_dominant,0.5418,0.3298,rectangle
char_00146,female,25,athletic_hyper,0.0981,0.8327,0.251,0.3488,0.6348,0.4352,0.4821,0.3348,0.4223,0.5065,,upper_dominant,0.7168,0.3097,rectangle
char_00147,female,16,athletic_lean,0.0939,0.4745,0.2771,0.4141,0.6991,0.3991,0.5177,0.6511,0.4228,0.496,,upper_dominant,0.5232,0.2277,rectangle
char_00148,female,26,athletic_hyper,0.1308,0.8939,0.3609,0.6263,0.4804,0.5181,0.4371,0.6191,0.3263,0.4379,,balanced,0.5289,0.2963,rectangle
char_00149,female,28,obese,0.6597,0.2677,0.2462,0.6412,0.6594,0.6279,0.391,0.3594,0.4859,0.6391,,balanced,0.7669,0.5623,rectangle
char_00150,female,35,athletic_lean,0.0716,0.4306,0.2435,0.6618,0.5058,0.436,0.6517,0.736,0.4874,0.605,,balanced,0.8088,0.4181,pear
char_00151,female,22,obese,0.89,0.2278,0.3091,0.4237,0.4726,0.563,0.3649,0.6358,0.3358,0.4476,,balanced,0.3475,0.4203,apple
char_00152,female,40,normal,0.2597,0.2344,0.3812,0.4247,0.6422,0.597,0.6118,0.3422,0.6003,0.5535,,balanced,0.6491,0.5121,pear
char_00153,female,35,overweight,0.4645,0.1943,0.3286,0.6885,0.4359,0.712,0.7359,0.6711,0.5988,0.4827,,balanced,0.4834,0.6567,rectangle
char_00154,female,24,overweight,0.5609,0.1614,0.269,0.4972,0.3017,0.2569,0.5109,0.4714,0.5569,0.5096,,balanced,0.6475,0.3924,rectangle
char_00155,female,31,athletic_hyper,0.0884,0.8013,0.2854,0.3491,0.6266,0.5682,0.5867,0.6355,0.6491,0.5791,,upper_dominant,0.7609,0.7405,rectangle
char_00156,female,21,overweight,0.465,0.3072,0.3061,0.3826,0.4118,0.6775,0.3775,0.4873,0.5113,0.6177,,balanced,0.4647,0.4047,rectangle
char_00157,female,24,overweight,0.4115,0.1787,0.2137,0.532,0.4544,0.232,0.474,0.3777,0.3153,0.3327,,balanced,0.5049,0.3045,rectangle
char_00158,female,19,athletic_lean,0.129,0.5977,0.349,0.5091,0.5885,0.5223,0.664,0.3892,0.5085,0.364,,balanced,0.5715,0.3219,rectangle
char_00159,female,25,normal,0.2648,0.2025,0.3937,0.5298,0.6948,0.4006,0.5088,0.4089,0.6269,0.3948,,balanced,0.5285,0.8446,rectangle
char_00160,female,22,athletic_lean,0.0641,0.5719,0.3267,0.4187,0.4323,0.4394,0.4604,0.4406,0.6072,0.3072,,balanced,0.72,0.772,pear
char_00161,female,29,athletic_lean,0.0862,0.505,0.2126,0.3672,0.6672,0.5427,0.4916,0.6635,0.3746,0.5057,,pull_dominant,0.7178,0.871,pear
char_00162,female,17,obese,0.7747,0.3345,0.2899,0.3975,0.5571,0.3379,0.5744,0.6379,0.6196,0.5689,,balanced,0.7632,0.5107,apple
char_00163,female,27,athletic_hyper,0.0627,0.7375,0.4075,0.4173,0.6649,0.4968,0.5111,0.4851,0.3649,0.5649,,balanced,0.5164,0.6595,rectangle
char_00164,female,28,obese,0.6949,0.1897,0.3266,0.6792,0.551,0.5633,0.4264,0.6292,0.3792,0.5781,,balanced,0.5343,0.8539,apple
char_00165,female,24,obese,0.7346,0.2464,0.294,0.3526,0.5611,0.4944,0.4745,0.6526,0.5031,0.3926,,balanced,0.5804,0.8257,apple
char_00166,female,14,underweight,0.0874,0.1665,0.3744,0.3766,0.6766,0.5677,0.6062,0.5391,0.4308,0.4753,,balanced,0.4473,0.3651,rectangle
char_00167,female,26,athletic_hyper,0.089,0.7957,0.3278,0.5728,0.601,0.301,0.3155,0.3215,0.4619,0.4085,,balanced,0.5571,0.7884,hourglass
char_00168,female,40,normal,0.2415,0.2734,0.2382,0.4879,0.6448,0.5798,0.7879,0.5031,0.7502,0.6669,,balanced,0.5527,0.4983,rectangle
