char_id,gender,age,group,somatotype,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern,hip_score,waist_def_score,chest_circ_pred_cm,waist_circ_pred_cm,hip_circ_pred_cm,thigh_circ_pred_cm,bicep_circ_pred_cm,neck_circ_pred_cm
char_00020,male,17,overweight,rectangle,0.3645,0.7909,0.4383,0.4734,0.7332,0.5458,0.661,0.5251,0.4541,0.4332,,balanced,0.7641,0.69,140.3,124.4,144.3,84.8,46.8,47.7
char_00021,female,24,overweight,rectangle,0.431,0.34,0.3524,0.5897,0.6671,0.5462,0.5138,0.394,0.6723,0.3723,,balanced,0.228,0.6141,115.7,120.3,134.1,74.0,36.4,42.7
char_00022,male,32,athletic_lean,v_shape,0.0091,0.4856,0.3544,0.4701,0.3573,0.3172,0.5169,0.459,0.2427,0.5427,,lower_dominant,0.237,0.6992,103.5,80.1,95.3,56.3,31.6,35.3
char_00023,female,16,athletic_lean,hourglass,0.0503,0.5141,0.437,0.458,0.6864,0.4316,0.688,0.6015,0.7174,0.4174,,lower_dominant,0.5518,0.8433,99.3,80.8,97.9,55.8,29.0,34.1
char_00024,male,19,overweight,rectangle,0.4553,0.9875,0.4673,0.5265,0.6858,0.8141,0.8265,0.554,0.5645,0.6107,,balanced,0.425,0.7115,160.0,136.2,155.0,92.9,52.0,52.9
char_00025,female,33,athletic_lean,hourglass,0.0034,0.4708,0.26,0.4352,0.4741,0.4276,0.5635,0.3288,0.5903,0.6288,,push_dominant,0.4963,0.7699,100.0,77.5,93.7,53.7,27.7,33.1
char_00026,male,30,overweight,rectangle,0.3554,0.4748,0.4778,0.3885,0.3596,0.4556,0.6596,0.3731,0.3612,0.3813,,balanced,0.5603,0.8172,119.4,116.6,133.8,76.5,40.1,43.9
char_00027,male,24,obese,apple,0.9105,0.8734,0.468,0.6756,0.6726,0.667,0.6937,0.5818,0.3937,0.509,,balanced,0.237,0.5046,160.0,145.0,160.0,105.0,52.0,60.0
char_00028,male,19,overweight,rectangle,0.5798,0.4899,0.3998,0.581,0.281,0.3345,0.5001,0.3913,0.4987,0.3645,,balanced,0.5946,0.8682,157.2,143.1,160.0,90.9,45.9,50.7
char_00029,male,29,normal,pear,0.2811,0.3248,0.4727,0.5403,0.3514,0.381,0.3513,0.2403,0.4562,0.2826,,balanced,0.7736,0.768,105.0,106.7,124.9,70.0,35.3,39.9
char_00030,female,21,overweight,rectangle,0.5283,0.9477,0.2247,0.6077,0.3998,0.5157,0.3077,0.4031,0.4875,0.5611,,balanced,0.2051,0.4012,137.3,135.1,150.9,85.0,43.2,48.5
char_00031,female,29,obese,apple,0.6684,0.6389,0.357,0.5479,0.3938,0.5444,0.3142,0.6142,0.4343,0.5126,,balanced,0.4552,0.5519,150.0,145.0,160.0,93.4,45.0,51.5
char_00032,male,35,underweight,v_shape,0.0762,0.3624,0.3276,0.4534,0.3947,0.6742,0.4772,0.6947,0.4275,0.587,,balanced,0.2415,0.6027,96.7,85.8,100.4,57.9,31.3,35.7
char_00033,female,24,athletic_lean,hourglass,0.0298,0.5404,0.3002,0.8244,0.7277,0.5688,0.5244,0.5564,0.5682,0.7335,,balanced,0.5413,0.7898,100.7,80.0,96.8,55.5,28.7,33.9
char_00034,male,17,underweight,hourglass,0.0277,0.3189,0.3773,0.6229,0.4612,0.6127,0.6808,0.7612,0.6294,0.4839,,balanced,0.565,0.7265,95.7,79.4,96.1,54.9,29.0,33.8
char_00035,female,32,overweight,rectangle,0.419,0.701,0.2043,0.3634,0.288,0.4284,0.2666,0.1993,0.2423,0.1284,,balanced,0.2512,0.4771,120.5,121.7,136.6,76.6,38.5,44.2
char_00036,female,19,athletic_hyper,v_shape,0.0108,0.94,0.3432,0.4667,0.5303,0.3572,0.2303,0.45,0.3385,0.3077,,balanced,0.2558,0.3045,101.5,81.8,97.9,57.6,31.1,35.5
char_00037,female,35,athletic_hyper,hourglass,0.0385,0.9469,0.3235,0.5026,0.6344,0.3344,0.5715,0.5249,0.5802,0.3742,,balanced,0.507,0.8908,105.6,81.3,100.1,59.1,31.8,36.1
char_00038,female,20,obese,apple,0.6427,0.1326,0.2462,0.5646,0.8162,0.7106,0.5354,0.609,0.5991,0.5162,,balanced,0.4038,0.7241,140.1,142.4,157.4,85.8,39.8,47.3
char_00039,male,37,normal,v_shape,0.2087,0.9848,0.306,0.4033,0.5678,0.3054,0.5436,0.5701,0.4128,0.6054,,balanced,0.4324,0.7875,138.9,105.8,124.7,76.9,46.3,45.1
char_00040,male,26,underweight,pear,0.0563,0.0723,0.417,0.3296,0.6033,0.6296,0.4211,0.4013,0.5436,0.5536,,balanced,0.6734,0.6368,85.5,80.2,97.0,53.2,26.2,32.2
char_00041,male,21,underweight,hourglass,0.0228,0.2063,0.3438,0.5501,0.6229,0.506,0.5111,0.4453,0.6521,0.3521,,balanced,0.502,0.8668,91.1,76.4,92.8,52.4,27.0,32.6
char_00042,male,33,overweight,apple,0.4846,0.2466,0.54,0.5719,0.4133,0.5688,0.4664,0.6184,0.7133,0.4427,,balanced,0.3151,0.2622,124.2,128.0,141.9,78.5,39.2,45.2
char_00043,female,20,normal,rectangle,0.1667,0.8051,0.3026,0.5043,0.6898,0.5252,0.3898,0.4838,0.5609,0.6048,,balanced,0.4501,0.8514,104.7,94.9,112.4,64.8,33.7,38.5
char_00044,female,23,obese,apple,0.6686,0.1657,0.3883,0.3686,0.4947,0.6238,0.5133,0.4847,0.6479,0.3479,,balanced,0.8225,0.8991,140.6,145.0,160.0,91.8,41.6,48.7
char_00045,male,34,overweight,rectangle,0.3859,0.2864,0.4646,0.2882,0.2773,0.3802,0.3747,0.419,0.5773,0.4231,,balanced,0.5678,0.8327,113.2,117.0,133.7,74.8,37.3,42.6
char_00046,male,37,overweight,apple,0.4738,0.4383,0.516,0.34,0.4408,0.3737,0.5581,0.3209,0.6209,0.5704,,balanced,0.2204,0.3225,132.6,128.3,142.3,80.2,41.9,46.6
char_00047,female,35,athletic_lean,hourglass,0.0465,0.6413,0.3279,0.3421,0.4725,0.3033,0.5625,0.6033,0.4101,0.3108,,balanced,0.5031,0.768,101.2,82.1,99.1,57.0,29.8,34.8
char_00048,male,23,normal,v_shape,0.1971,0.2926,0.3414,0.5893,0.4712,0.4213,0.484,0.7119,0.7213,0.6966,,balanced,0.4336,0.615,96.7,96.8,112.1,63.4,32.8,37.7
char_00049,male,27,obese,apple,0.7872,0.7129,0.4777,0.5672,0.6988,0.3988,0.4939,0.4564,0.6714,0.6598,,balanced,0.804,0.4999,160.0,145.0,160.0,105.0,52.0,60.0
char_00050,male,26,athletic_hyper,v_shape,0.0638,0.8075,0.385,0.566,0.435,0.4745,0.6969,0.619,0.3969,0.5728,,lower_dominant,0.4011,0.5118,119.6,89.9,107.1,65.3,39.1,39.4
char_00051,female,29,normal,v_shape,0.2497,0.8804,0.3265,0.6321,0.6836,0.5141,0.3836,0.4435,0.4823,0.5123,,balanced,0.3,0.4795,108.9,105.2,121.2,69.3,36.2,40.9
char_00052,male,28,normal,rectangle,0.3226,0.3116,0.3209,0.3003,0.5082,0.2901,0.2705,0.4467,0.4373,0.2082,,balanced,0.4575,0.4929,106.9,110.3,125.5,70.5,35.9,40.9
char_00053,male,39,underweight,hourglass,0.0158,0.202,0.4504,0.3402,0.5711,0.6402,0.4983,0.3789,0.6226,0.4106,,balanced,0.5062,0.8896,90.8,75.4,91.9,51.9,26.8,32.4
char_00054,female,29,overweight,rectangle,0.5679,0.8751,0.2495,0.4374,0.6742,0.5337,0.6723,0.4695,0.4152,0.3742,,balanced,0.4662,0.4493,141.3,142.5,159.7,89.3,44.2,49.7
char_00055,male,19,athletic_lean,v_shape,0.1462,0.6374,0.4404,0.5926,0.4691,0.3904,0.6773,0.3773,0.5788,0.4186,,balanced,0.4026,0.2289,108.5,97.9,113.5,66.7,38.0,39.8
char_00056,female,30,overweight,pear,0.3731,0.319,0.2545,0.4152,0.4008,0.4403,0.3296,0.2047,0.5047,0.2913,,balanced,0.8866,0.4725,111.9,118.5,136.1,74.3,35.5,41.0
char_00057,male,15,athletic_lean,v_shape,0.0429,0.5089,0.2664,0.6011,0.5368,0.3716,0.6716,0.3881,0.5474,0.496,,balanced,0.2481,0.8442,104.3,82.3,97.9,58.0,32.4,36.1
char_00058,female,38,overweight,rectangle,0.5769,0.399,0.3448,0.6253,0.3739,0.5901,0.3995,0.6333,0.6739,0.4055,,balanced,0.5449,0.6893,133.1,140.0,156.3,85.7,40.7,47.3
char_00059,female,37,athletic_lean,v_shape,0.0785,0.6377,0.3383,0.5797,0.5105,0.54,0.6607,0.5797,0.3607,0.4067,,lower_dominant,0.3544,0.5348,99.7,86.7,102.2,58.5,30.5,35.7
char_00060,female,33,athletic_hyper,v_shape,0.0638,0.8168,0.2659,0.4303,0.6377,0.3377,0.5468,0.3827,0.6303,0.4627,,lower_dominant,0.2432,0.8104,101.4,84.1,100.4,58.8,31.1,36.2
char_00061,male,20,obese,apple,0.8801,0.9565,0.3836,0.7167,0.4467,0.4969,0.4167,0.7067,0.5418,0.4733,,balanced,0.6324,0.7655,160.0,145.0,160.0,105.0,52.0,60.0
char_00062,female,22,normal,pear,0.3135,0.3306,0.3678,0.5109,0.4432,0.612,0.5962,0.5072,0.6602,0.3602,,balanced,0.7093,0.3673,105.9,111.5,127.7,70.0,34.2,39.6
char_00063,male,16,normal,pear,0.1728,0.3855,0.3952,0.4824,0.5131,0.5443,0.488,0.3425,0.6425,0.4035,,balanced,0.7263,0.2747,97.1,98.5,115.3,65.2,34.1,37.9
char_00064,female,21,overweight,apple,0.5521,0.3724,0.3139,0.3679,0.3598,0.5471,0.3156,0.6156,0.4091,0.353,,balanced,0.3226,0.4749,131.3,134.6,148.9,81.7,39.5,46.1
char_00065,male,23,obese,apple,0.8468,0.2204,0.4364,0.5547,0.808,0.508,0.6588,0.5195,0.7285,0.5832,,balanced,0.6731,0.6294,160.0,145.0,160.0,103.7,47.4,56.3
char_00066,male,36,overweight,rectangle,0.3876,0.1778,0.43,0.2395,0.2679,0.4476,0.2551,0.4868,0.2734,0.5395,,balanced,0.5563,0.3944,107.4,117.1,132.6,73.1,35.7,41.6
char_00067,female,26,normal,v_shape,0.1965,0.8866,0.3243,0.5137,0.4018,0.6675,0.694,0.585,0.7018,0.4994,,balanced,0.3061,0.8399,105.4,98.0,115.0,66.6,34.9,39.7
char_00068,male,20,overweight,rectangle,0.3706,0.6504,0.5846,0.7199,0.5027,0.6679,0.4798,0.704,0.4199,0.6864,,balanced,0.6297,0.4391,128.2,124.2,141.7,81.9,44.4,46.5
char_00069,male,39,overweight,pear,0.4627,0.0962,0.5402,0.1995,0.4944,0.3126,0.2025,0.4248,0.1944,0.305,,balanced,0.747,0.3009,113.0,127.0,143.5,77.8,36.5,43.1
char_00070,male,39,underweight,v_shape,0.028,0.3908,0.4177,0.4909,0.3257,0.4744,0.3202,0.5218,0.4723,0.6202,,balanced,0.2794,0.3699,97.3,83.4,97.9,56.6,31.1,35.1
char_00071,male,38,athletic_hyper,hourglass,0.0488,0.6981,0.4351,0.672,0.7294,0.461,0.5383,0.761,0.7489,0.6602,,pull_dominant,0.4806,0.8776,116.1,84.7,102.6,62.2,36.4,38.1
char_00072,male,27,obese,apple,0.7574,0.8774,0.4667,0.7035,0.4799,0.6245,0.5885,0.7723,0.542,0.4723,,balanced,0.398,0.3132,160.0,145.0,160.0,105.0,52.0,60.0
char_00073,male,22,normal,v_shape,0.154,0.2263,0.4445,0.5216,0.6214,0.6638,0.5809,0.6082,0.6214,0.3638,,balanced,0.2504,0.386,91.7,93.4,107.2,60.4,31.5,36.6
char_00074,male,28,athletic_lean,v_shape,0.0342,0.6292,0.3884,0.4678,0.6462,0.5366,0.3462,0.5322,0.4001,0.4984,,balanced,0.2755,0.8815,111.4,82.4,98.8,59.7,34.6,37.1
char_00075,male,20,athletic_lean,v_shape,0.0591,0.4523,0.3396,0.5646,0.764,0.8138,0.8224,0.5326,0.6462,0.5224,,upper_dominant,0.4008,0.4281,99.7,86.3,101.7,59.0,32.4,36.0
char_00076,male,17,normal,rectangle,0.3253,0.9672,0.446,0.5041,0.2476,0.528,0.5476,0.3329,0.3769,0.2711,,balanced,0.2999,0.277,142.9,119.4,136.3,82.0,48.8,47.7
char_00077,female,39,obese,apple,0.6282,0.7817,0.352,0.7776,0.8191,0.5191,0.6853,0.6061,0.6372,0.7088,,balanced,0.7926,0.4007,147.5,145.0,160.0,95.5,46.0,51.4
char_00078,female,21,overweight,pear,0.4035,0.3267,0.3902,0.4983,0.2444,0.3434,0.1983,0.3887,0.4212,0.4421,,balanced,0.7614,0.858,112.5,119.7,137.5,75.4,36.3,41.9
char_00079,male,22,normal,rectangle,0.2067,0.8765,0.4504,0.2582,0.4092,0.5582,0.3348,0.4365,0.3555,0.5053,,balanced,0.763,0.38,127.0,108.5,128.1,76.8,44.5,43.9
char_00080,male,22,underweight,v_shape,0.133,0.3037,0.4605,0.4498,0.5097,0.4893,0.4808,0.4106,0.6372,0.7106,,balanced,0.2896,0.8375,94.6,89.3,104.3,59.7,31.6,36.4
char_00081,male,28,overweight,rectangle,0.4908,0.6527,0.4179,0.5198,0.5799,0.6337,0.3495,0.6495,0.4231,0.4158,,balanced,0.4211,0.7418,149.2,134.1,151.0,87.2,46.8,49.7
char_00082,female,34,obese,apple,0.9872,0.1551,0.4023,0.4367,0.454,0.5458,0.674,0.374,0.6433,0.4482,,balanced,0.5825,0.2218,150.0,145.0,160.0,108.0,48.9,58.0
char_00083,male,17,athletic_lean,hourglass,0.0163,0.6445,0.4044,0.3635,0.4203,0.6375,0.3375,0.5615,0.3983,0.5967,,balanced,0.5698,0.7229,112.5,81.9,99.9,59.9,34.5,36.6
char_00084,male,24,normal,v_shape,0.1741,0.463,0.3571,0.5456,0.7026,0.4357,0.4171,0.7171,0.6968,0.637,,balanced,0.2938,0.7483,104.0,95.5,110.8,64.4,35.0,38.8
char_00085,female,30,athletic_hyper,hourglass,0.0561,0.7735,0.3373,0.5285,0.4426,0.45,0.3883,0.363,0.3975,0.663,,balanced,0.5197,0.7191,103.0,83.9,101.5,58.8,31.0,35.7
char_00086,female,23,normal,v_shape,0.2125,0.6204,0.2307,0.6909,0.6939,0.5173,0.4846,0.5301,0.4773,0.3939,,balanced,0.2523,0.5374,103.6,99.8,114.4,64.9,33.2,38.7
char_00087,male,22,athletic_lean,v_shape,0.0791,0.5843,0.4366,0.4886,0.3886,0.4305,0.4929,0.2812,0.4055,0.5812,,balanced,0.3515,0.4185,106.3,89.7,105.3,62.2,35.4,37.8
char_00088,male,21,athletic_lean,v_shape,0.1121,0.422,0.3775,0.4389,0.7368,0.5946,0.6541,0.6313,0.4596,0.4368,,balanced,0.2147,0.8107,100.1,88.5,103.4,60.3,32.9,37.0
char_00089,male,40,normal,rectangle,0.2668,0.2633,0.539,0.6701,0.3701,0.485,0.5368,0.3834,0.494,0.5483,,balanced,0.5269,0.2838,97.2,106.8,121.9,68.0,34.7,39.6
char_00090,male,25,overweight,pear,0.3652,0.2467,0.4475,0.5108,0.5459,0.6099,0.416,0.3253,0.3099,0.3886,,balanced,0.8944,0.6097,109.7,116.6,135.2,74.5,36.0,41.3
char_00091,female,17,overweight,pear,0.5105,0.1244,0.3128,0.6229,0.3642,0.5905,0.5306,0.5646,0.6642,0.5083,,balanced,0.7692,0.3925,122.5,131.6,147.9,79.9,37.2,43.6
char_00092,female,19,overweight,pear,0.4109,0.6096,0.3982,0.7382,0.5319,0.6867,0.5219,0.6487,0.4382,0.5822,,balanced,0.6928,0.5001,117.7,124.3,141.8,78.5,38.7,43.8
char_00093,female,17,normal,rectangle,0.2276,0.588,0.276,0.3206,0.4812,0.5092,0.4316,0.6206,0.572,0.5293,,balanced,0.4225,0.7091,104.4,101.1,117.0,66.1,33.5,38.9
char_00094,female,29,obese,apple,0.8908,0.171,0.3472,0.599,0.299,0.3581,0.4048,0.3263,0.4148,0.4135,,balanced,0.6589,0.7275,150.0,145.0,160.0,105.8,46.8,55.8
char_00095,male,25,athletic_hyper,v_shape,0.0718,0.7875,0.3866,0.3699,0.5033,0.4396,0.2225,0.5225,0.3247,0.5012,,balanced,0.3588,0.8969,121.3,87.9,105.6,64.9,38.7,39.6
char_00096,male,18,athletic_lean,v_shape,0.0187,0.4032,0.3797,0.6742,0.3984,0.6984,0.4793,0.4764,0.6366,0.6425,,balanced,0.4126,0.3704,97.4,82.6,97.8,56.5,31.0,34.8
char_00097,male,27,overweight,rectangle,0.4963,0.3602,0.5043,0.5318,0.5478,0.6622,0.7249,0.8104,0.8142,0.8318,,balanced,0.2941,0.817,132.7,129.7,144.9,81.5,41.5,46.8
char_00098,female,28,overweight,pear,0.3545,0.5532,0.2062,0.6581,0.6088,0.7115,0.6779,0.4115,0.4679,0.5463,,balanced,0.8616,0.7973,114.4,116.7,135.8,75.4,36.7,41.9
char_00099,male,35,normal,pear,0.3228,0.2525,0.4394,0.421,0.5901,0.4891,0.2901,0.4895,0.4666,0.492,,balanced,0.6158,0.4983,103.6,111.2,127.4,70.9,35.3,40.5
char_00100,female,19,normal,pear,0.194,0.5011,0.2796,0.3536,0.5226,0.4182,0.2971,0.5288,0.5235,0.2288,,balanced,0.6914,0.7848,103.6,97.4,114.9,64.4,32.4,37.5
char_00101,male,27,obese,apple,0.9496,0.6871,0.3957,0.8353,0.56,0.7512,0.5448,0.5509,0.6014,0.8448,,balanced,0.2129,0.6836,160.0,145.0,160.0,105.0,52.0,60.0
char_00102,male,30,athletic_lean,hourglass,0.0128,0.4407,0.4455,0.8265,0.5265,0.7074,0.7031,0.5405,0.802,0.6015,,upper_dominant,0.5637,0.8387,102.2,78.1,95.5,55.7,30.6,34.5
char_00103,female,18,athletic_lean,hourglass,0.032,0.4887,0.2169,0.3784,0.298,0.3225,0.4605,0.4683,0.598,0.4463,,upper_dominant,0.5471,0.8478,100.9,79.9,96.6,55.3,28.4,33.8
char_00104,male,26,athletic_hyper,rectangle,0.0835,0.8734,0.4126,0.5206,0.6825,0.5717,0.6172,0.6234,0.4485,0.3825,,upper_dominant,0.74,0.3116,121.2,94.9,114.3,69.3,41.2,40.4
char_00105,male,40,normal,pear,0.3041,0.4659,0.3995,0.6799,0.5592,0.7511,0.5145,0.4511,0.7211,0.4729,,balanced,0.6779,0.7587,114.2,110.8,128.6,73.4,38.3,42.0
char_00106,male,16,normal,v_shape,0.2241,0.6191,0.4323,0.479,0.3384,0.5551,0.6227,0.4042,0.3227,0.5721,,balanced,0.3537,0.5996,114.6,103.8,119.8,70.4,39.4,41.7
char_00107,female,28,overweight,apple,0.5818,0.2161,0.2838,0.5311,0.6271,0.3895,0.4598,0.3271,0.4376,0.426,,balanced,0.4046,0.2254,134.4,137.0,150.9,82.0,39.0,45.9
char_00108,male,38,athletic_lean,pear,0.0665,0.4952,0.4658,0.7406,0.5316,0.4554,0.6708,0.7554,0.4694,0.7035,,lower_dominant,0.6936,0.8063,104.9,84.6,103.0,60.0,32.8,36.2
char_00109,female,32,overweight,rectangle,0.5402,0.7103,0.2956,0.4508,0.4884,0.5149,0.6329,0.3596,0.4121,0.6596,,balanced,0.4043,0.8093,131.7,137.1,153.9,85.9,42.2,48.1
char_00110,male,22,athletic_hyper,v_shape,0.104,0.7477,0.4415,0.4626,0.3313,0.3566,0.5055,0.4534,0.3116,0.6116,,balanced,0.4125,0.3442,114.7,94.4,110.9,66.5,39.1,39.9
char_00111,male,35,athletic_lean,hourglass,0.0256,0.6412,0.4323,0.5611,0.3819,0.2715,0.5436,0.3906,0.5715,0.4514,,upper_dominant,0.5395,0.8096,112.7,82.1,100.0,60.1,34.6,36.8
char_00112,male,33,underweight,pear,0.0933,0.2058,0.4044,0.5164,0.5004,0.4764,0.7268,0.7764,0.7607,0.4773,,balanced,0.7205,0.5888,90.4,85.8,103.0,57.3,28.9,34.2
char_00113,male,23,athletic_hyper,hourglass,0.0824,0.9972,0.4218,0.613,0.4631,0.742,0.7239,0.5031,0.7631,0.498,,lower_dominant,0.4883,0.7133,134.8,93.1,112.6,70.6,43.8,42.1
char_00114,male,26,obese,apple,0.8172,0.9884,0.3994,0.404,0.2078,0.4711,0.2008,0.3729,0.2916,0.5008,,balanced,0.6639,0.4188,160.0,145.0,160.0,105.0,52.0,60.0
char_00115,male,14,normal,rectangle,0.2961,0.7772,0.5152,0.4632,0.5405,0.657,0.6095,0.3677,0.6544,0.357,,balanced,0.6412,0.3296,126.7,117.1,135.1,79.5,44.8,45.4
char_00116,male,36,athletic_hyper,hourglass,0.028,0.8777,0.4936,0.311,0.4656,0.5616,0.611,0.3439,0.4258,0.4472,,balanced,0.4963,0.7558,127.2,85.6,104.5,65.1,39.9,39.5
char_00117,female,17,normal,pear,0.3136,0.564,0.2655,0.4311,0.2793,0.5232,0.3386,0.5766,0.2766,0.529,,balanced,0.7398,0.5474,110.6,112.6,130.2,72.4,35.8,40.9
char_00118,female,32,obese,apple,0.7904,0.4839,0.2839,0.3625,0.6326,0.4807,0.5348,0.482,0.6625,0.6397,,balanced,0.3942,0.8216,150.0,145.0,160.0,99.9,46.5,54.4
char_00119,male,25,athletic_lean,v_shape,0.1382,0.5158,0.4052,0.3652,0.5817,0.3358,0.3214,0.3598,0.6214,0.5,,balanced,0.3806,0.6217,105.0,93.6,109.4,63.9,35.3,38.5
char_00120,male,27,athletic_hyper,hourglass,0.0663,0.7213,0.4076,0.6952,0.4254,0.5069,0.7254,0.6751,0.6143,0.6823,,upper_dominant,0.4825,0.8746,117.4,86.8,104.9,63.6,37.2,38.7
char_00121,female,22,normal,pear,0.152,0.3355,0.2229,0.3967,0.4991,0.4283,0.1991,0.4804,0.2989,0.2931,,balanced,0.5957,0.8398,100.4,91.4,107.8,60.4,30.2,35.7
char_00122,female,34,athletic_hyper,hourglass,0.0654,0.744,0.3054,0.4896,0.7896,0.776,0.7469,0.6781,0.7523,0.652,,lower_dominant,0.5464,0.7242,103.1,84.9,102.4,59.1,31.0,35.7
char_00123,male,27,athletic_lean,pear,0.0851,0.5301,0.4469,0.4489,0.5229,0.5561,0.2786,0.4968,0.4602,0.2561,,balanced,0.8081,0.2013,100.4,92.1,109.9,63.5,34.7,37.1
char_00124,female,28,athletic_hyper,hourglass,0.0777,0.9606,0.238,0.6138,0.3439,0.6439,0.4739,0.5711,0.5697,0.3657,,lower_dominant,0.5542,0.8011,107.1,86.6,105.5,61.8,32.9,37.2
char_00125,male,40,athletic_hyper,v_shape,0.0957,0.6645,0.3953,0.4821,0.6576,0.3909,0.4656,0.5648,0.3576,0.5308,,lower_dominant,0.4025,0.2256,108.6,93.0,108.8,64.5,37.2,38.8
char_00126,male,20,underweight,hourglass,0.0571,0.2957,0.3417,0.6362,0.4621,0.3427,0.6062,0.3746,0.5215,0.3362,,balanced,0.5298,0.8692,94.7,80.7,97.4,55.5,29.1,34.1
char_00127,female,21,athletic_hyper,v_shape,0.0176,0.9653,0.2262,0.3358,0.4974,0.6358,0.5615,0.4135,0.4924,0.4188,,upper_dominant,0.3103,0.3635,103.2,82.7,99.3,58.5,31.4,35.9
char_00128,male,14,underweight,hourglass,0.0375,0.1178,0.4017,0.6906,0.4832,0.6819,0.7358,0.5875,0.6475,0.7832,,balanced,0.5297,0.8113,87.2,77.4,93.7,52.1,26.2,32.2
