char_id,gender,age,group,fat_score,muscle_score,height_score,chest_height_score,hip_length_score,thigh_length_score,lower_leg_length_score,upper_arm_length_score,forearm_length_score,neck_length_score,height_cm,training_pattern
char_00023,female,20,normal,0.3005,0.1722,0.2579,0.3881,0.5971,0.4002,0.6696,0.5965,0.6712,0.3712,,balanced
char_00024,female,34,normal,0.2279,0.1799,0.2314,0.4711,0.5474,0.2643,0.4082,0.2474,0.3121,0.526,,balanced
char_00025,female,20,overweight,0.3922,0.2328,0.2754,0.5031,0.2512,0.4182,0.3428,0.5512,0.3216,0.4334,,balanced
char_00026,female,26,normal,0.23,0.2003,0.3816,0.6262,0.4715,0.362,0.4816,0.4725,0.5302,0.662,,balanced
char_00027,female,17,underweight,0.0759,0.0812,0.232,0.6292,0.6635,0.6327,0.3635,0.5545,0.3896,0.5713,,balanced
char_00028,female,21,underweight,0.0428,0.0943,0.4316,0.4296,0.5847,0.3972,0.5717,0.5596,0.4145,0.6972,,balanced
char_00029,female,19,normal,0.1875,0.2398,0.3201,0.764,0.464,0.5247,0.5069,0.548,0.7482,0.5295,,balanced
char_00030,female,40,normal,0.3248,0.1114,0.3816,0.3936,0.4658,0.6936,0.6135,0.6163,0.5628,0.5544,,balanced
char_00031,female,29,overweight,0.5748,0.2004,0.3673,0.595,0.5072,0.6479,0.4276,0.5307,0.5215,0.3479,,balanced
char_00032,female,23,obese,0.7236,0.2896,0.2528,0.6826,0.6376,0.6319,0.4944,0.7944,0.5746,0.7398,,balanced
char_00033,female,16,underweight,0.0501,0.1452,0.3387,0.4318,0.5121,0.476,0.5173,0.5562,0.5435,0.7318,,balanced
char_00034,female,31,athletic_hyper,0.0986,0.725,0.3412,0.5241,0.6693,0.4565,0.542,0.388,0.466,0.688,,upper_dominant
char_00035,female,24,athletic_hyper,0.0704,0.8064,0.326,0.2657,0.5077,0.4342,0.4823,0.2714,0.4441,0.5657,,balanced
char_00036,female,33,obese,0.9353,0.2344,0.3296,0.4099,0.6159,0.406,0.4481,0.425,0.3159,0.372,,balanced
char_00037,female,34,overweight,0.4376,0.2357,0.3286,0.3861,0.6344,0.4945,0.3344,0.4259,0.4264,0.405,,balanced
char_00038,female,28,normal,0.2748,0.187,0.366,0.5746,0.4271,0.7271,0.6967,0.6767,0.6162,0.4316,,balanced
char_00039,female,40,normal,0.2696,0.2084,0.321,0.2478,0.5478,0.2538,0.3346,0.4672,0.4582,0.5462,,balanced
char_00040,female,30,normal,0.1879,0.2175,0.4921,0.2312,0.2418,0.2216,0.5216,0.3741,0.2792,0.4535,,balanced
char_00041,female,27,athletic_hyper,0.1231,0.7742,0.2817,0.6251,0.3251,0.3491,0.3549,0.5069,0.4304,0.5139,,balanced
char_00042,female,25,athletic_lean,0.0826,0.4959,0.304,0.3615,0.6518,0.5419,0.6248,0.4949,0.4064,0.3518,,push_dominant
char_00043,female,24,overweight,0.5015,0.3185,0.3237,0.3637,0.3832,0.5363,0.5112,0.496,0.4459,0.6637,,balanced
char_00044,female,31,athletic_lean,0.0992,0.6083,0.2771,0.5318,0.3349,0.6112,0.3649,0.4618,0.3112,0.5056,,balanced
char_00045,female,27,normal,0.2952,0.1647,0.392,0.3506,0.6199,0.4605,0.3502,0.5188,0.3296,0.3199,,balanced
char_00046,female,22,overweight,0.4811,0.3142,0.3419,0.5998,0.3257,0.3289,0.3568,0.4464,0.5942,0.6257,,balanced
char_00047,female,20,obese,0.8723,0.1885,0.3587,0.3619,0.444,0.6347,0.5587,0.6619,0.5077,0.4012,,balanced
char_00048,female,19,normal,0.2944,0.2149,0.2836,0.5693,0.7311,0.6749,0.6836,0.4311,0.4973,0.5611,,balanced
char_00049,female,27,normal,0.2837,0.1668,0.3129,0.5305,0.2951,0.4092,0.3327,0.5951,0.5374,0.5176,,balanced
char_00050,female,21,athletic_lean,0.0882,0.6099,0.2651,0.6003,0.5545,0.6648,0.6409,0.6343,0.7751,0.4751,,balanced
char_00051,female,33,athletic_hyper,0.075,0.7467,0.2746,0.5217,0.551,0.4479,0.5611,0.3685,0.3415,0.6415,,push_dominant
char_00052,female,38,athletic_lean,0.1246,0.4297,0.2155,0.5373,0.668,0.4555,0.4247,0.4941,0.3691,0.6691,,balanced
char_00053,female,37,overweight,0.5627,0.2536,0.2546,0.6442,0.3607,0.6554,0.3777,0.5811,0.3554,0.4725,,balanced
char_00054,female,21,underweight,0.0741,0.0093,0.3407,0.6682,0.7071,0.4077,0.5275,0.5516,0.565,0.7077,,balanced
char_00055,female,33,normal,0.2669,0.1653,0.4059,0.4209,0.6745,0.4648,0.5379,0.4192,0.7192,0.6102,,balanced
char_00056,female,35,underweight,0.099,0.1556,0.2995,0.3255,0.3953,0.6255,0.6083,0.6251,0.5894,0.3706,,balanced
char_00057,female,25,normal,0.1755,0.269,0.3788,0.6776,0.5566,0.7594,0.7569,0.6316,0.5763,0.4594,,balanced
char_00058,female,17,overweight,0.4212,0.2382,0.236,0.4439,0.3718,0.3024,0.6024,0.492,0.4486,0.4482,,balanced
char_00059,female,34,normal,0.2592,0.2506,0.213,0.5618,0.335,0.2618,0.4029,0.2729,0.5066,0.4964,,balanced
char_00060,female,26,overweight,0.4806,0.1905,0.3561,0.4297,0.5031,0.2031,0.3355,0.4208,0.3793,0.3237,,balanced
char_00061,female,19,overweight,0.536,0.2067,0.3509,0.5668,0.4979,0.3474,0.5566,0.5679,0.4982,0.6474,,balanced
char_00062,female,26,obese,0.7175,0.2562,0.3243,0.5477,0.4751,0.5848,0.6595,0.6528,0.4696,0.3595,,balanced
char_00063,female,37,athletic_hyper,0.1363,0.8795,0.2756,0.7046,0.6335,0.4046,0.4338,0.5268,0.5472,0.4513,,balanced
char_00064,female,26,obese,0.8062,0.1925,0.3148,0.3615,0.3418,0.3842,0.6277,0.4331,0.4837,0.6418,,balanced
char_00065,female,16,overweight,0.5524,0.3084,0.3214,0.5773,0.5306,0.5337,0.2773,0.3102,0.4264,0.4183,,balanced
char_00066,female,21,overweight,0.4592,0.2776,0.2279,0.3233,0.4444,0.4399,0.5748,0.4418,0.6233,0.5765,,balanced
char_00067,female,36,underweight,0.0655,0.1355,0.2846,0.4807,0.5847,0.2847,0.4856,0.3479,0.5248,0.4547,,balanced
char_00068,female,19,underweight,0.0864,0.1456,0.2445,0.535,0.5988,0.5691,0.5937,0.7432,0.7081,0.4432,,balanced
char_00069,female,28,overweight,0.5558,0.308,0.3306,0.6002,0.7098,0.4739,0.5144,0.4826,0.4098,0.4952,,balanced
char_00070,female,37,overweight,0.5938,0.2161,0.2547,0.3719,0.6686,0.603,0.6719,0.3841,0.448,0.5567,,balanced
char_00071,female,33,underweight,0.0609,0.078,0.3338,0.6043,0.3503,0.6079,0.6503,0.5313,0.5657,0.5647,,balanced
char_00072,female,24,normal,0.2943,0.1622,0.3147,0.4637,0.6588,0.3899,0.417,0.5506,0.3588,0.6513,,balanced
char_00073,female,29,overweight,0.4972,0.2996,0.2698,0.3035,0.5154,0.6035,0.5305,0.5303,0.4826,0.3878,,balanced
char_00074,female,20,overweight,0.4655,0.2793,0.2731,0.7318,0.722,0.6661,0.5392,0.7119,0.4835,0.4318,,balanced
char_00075,female,29,underweight,0.0244,0.0691,0.4796,0.4121,0.7121,0.5882,0.7085,0.6687,0.61,0.4775,,balanced
char_00076,female,26,normal,0.2534,0.2467,0.2687,0.4353,0.3531,0.3717,0.2275,0.5045,0.5275,0.4341,,balanced
char_00077,female,30,overweight,0.5061,0.238,0.2455,0.3769,0.3983,0.4418,0.6769,0.4839,0.3792,0.4437,,balanced
char_00078,female,19,normal,0.229,0.1511,0.3132,0.6623,0.5456,0.3623,0.6012,0.4051,0.4309,0.3936,,balanced
char_00079,female,28,obese,0.8731,0.3023,0.2248,0.3058,0.3626,0.3498,0.5792,0.3955,0.6058,0.3508,,balanced
char_00080,female,40,obese,0.7589,0.2549,0.3253,0.6386,0.5589,0.4099,0.3975,0.5479,0.3386,0.5105,,balanced
char_00081,female,22,athletic_hyper,0.0615,0.7227,0.2922,0.4441,0.6433,0.5352,0.3433,0.4209,0.4361,0.5268,,balanced
char_00082,female,14,normal,0.1836,0.168,0.2571,0.6453,0.4903,0.5957,0.4094,0.5671,0.705,0.405,,balanced
char_00083,female,25,obese,0.9473,0.3229,0.2758,0.6095,0.6679,0.6342,0.4681,0.7121,0.4244,0.7244,,balanced
char_00084,female,16,overweight,0.5807,0.2586,0.2232,0.3835,0.4197,0.5522,0.5075,0.5361,0.2522,0.3914,,balanced
char_00085,female,26,underweight,0.0614,0.0991,0.339,0.3691,0.3762,0.6556,0.6691,0.6518,0.4231,0.6099,,balanced
char_00086,female,20,overweight,0.5582,0.2165,0.4124,0.3408,0.4563,0.5071,0.2204,0.5204,0.2652,0.2797,,balanced
char_00087,female,35,normal,0.2642,0.2296,0.2761,0.5398,0.7382,0.4382,0.6736,0.4683,0.6214,0.6335,,balanced
char_00088,female,39,overweight,0.4052,0.2346,0.3134,0.6025,0.6167,0.3167,0.5565,0.5141,0.4868,0.5737,,balanced
char_00089,female,29,normal,0.2963,0.1841,0.2894,0.319,0.619,0.5349,0.5468,0.4893,0.3807,0.4539,,balanced
char_00090,female,21,athletic_hyper,0.0815,0.8635,0.3373,0.4607,0.2774,0.498,0.5774,0.3677,0.3425,0.4552,,lower_dominant
char_00091,female,24,athletic_lean,0.0798,0.5688,0.3194,0.8037,0.8023,0.7762,0.6467,0.5829,0.5947,0.5037,,upper_dominant
char_00092,female,18,athletic_lean,0.0794,0.522,0.4375,0.5374,0.4059,0.4657,0.2975,0.383,0.4306,0.5975,,lower_dominant
char_00093,female,22,underweight,0.0105,0.09,0.2631,0.4905,0.5498,0.6851,0.508,0.6612,0.3851,0.4882,,balanced
char_00094,female,14,overweight,0.521,0.2085,0.2819,0.4052,0.5532,0.3289,0.5451,0.264,0.4397,0.2532,,balanced
char_00095,female,29,underweight,0.1283,0.0891,0.3616,0.6379,0.7251,0.7157,0.658,0.4804,0.4251,0.6974,,balanced
char_00096,female,36,underweight,0.0567,0.1565,0.27,0.4626,0.5296,0.4743,0.7626,0.5801,0.725,0.4993,,balanced
char_00097,female,29,obese,0.7014,0.1625,0.3588,0.5967,0.5727,0.3877,0.6863,0.6368,0.5853,0.3863,,balanced
char_00098,female,23,overweight,0.4161,0.1995,0.2606,0.3973,0.599,0.6973,0.551,0.4266,0.4901,0.4843,,balanced
char_00099,female,22,obese,0.7171,0.2029,0.3305,0.8036,0.8177,0.8344,0.8339,0.5549,0.5344,0.6683,,balanced
char_00100,female,32,underweight,0.0581,0.0192,0.4679,0.5528,0.4266,0.3839,0.6264,0.6365,0.5673,0.6839,,balanced
char_00101,female,24,athletic_hyper,0.0901,0.7809,0.2262,0.3718,0.267,0.187,0.3482,0.4388,0.3969,0.1388,,balanced
char_00102,female,25,obese,0.6967,0.2893,0.4197,0.3569,0.6569,0.3776,0.484,0.4796,0.5168,0.3728,,balanced
char_00103,female,23,athletic_lean,0.131,0.5615,0.3324,0.2827,0.454,0.4732,0.504,0.5651,0.2651,0.3192,,balanced
char_00104,female,34,athletic_lean,0.1207,0.5829,0.3065,0.511,0.6442,0.3921,0.4641,0.5042,0.6921,0.5249,,balanced
char_00105,female,24,overweight,0.4996,0.2853,0.3514,0.5673,0.6779,0.7157,0.546,0.6099,0.4157,0.6998,,balanced
char_00106,female,25,normal,0.1995,0.2411,0.2684,0.6849,0.4412,0.6641,0.438,0.4451,0.3849,0.5999,,balanced
char_00107,female,18,normal,0.2468,0.1878,0.3253,0.4643,0.5685,0.4178,0.4643,0.4597,0.4274,0.2685,,balanced
char_00108,female,21,normal,0.2513,0.2579,0.3965,0.3063,0.3348,0.5183,0.2382,0.2249,0.2183,0.435,,balanced
char_00109,female,31,athletic_hyper,0.0528,0.8624,0.3174,0.6052,0.6104,0.454,0.6546,0.407,0.4144,0.3546,,balanced
char_00110,female,40,athletic_lean,0.0864,0.457,0.3134,0.4117,0.584,0.4418,0.5652,0.651,0.3877,0.351,,push_dominant
char_00111,female,22,athletic_hyper,0.0951,0.8476,0.2595,0.5638,0.3808,0.5283,0.4386,0.2638,0.4256,0.4056,,upper_dominant
char_00112,female,25,athletic_lean,0.0861,0.5438,0.2777,0.6546,0.3548,0.3546,0.5489,0.5414,0.3786,0.5717,,upper_dominant
char_00113,female,18,obese,0.6912,0.2215,0.2721,0.5737,0.6092,0.4318,0.4795,0.6256,0.7318,0.5423,,balanced
char_00114,female,25,obese,0.9055,0.2162,0.2727,0.4641,0.3504,0.5683,0.3522,0.6504,0.5371,0.5802,,balanced
char_00115,female,24,athletic_lean,0.1239,0.5633,0.3319,0.4574,0.4337,0.5921,0.3355,0.4715,0.4477,0.6355,,balanced
char_00116,female,28,normal,0.307,0.1442,0.2824,0.5158,0.7926,0.8134,0.5134,0.5359,0.6456,0.7569,,balanced
char_00117,female,36,athletic_lean,0.0926,0.5144,0.2736,0.5814,0.7511,0.7524,0.7477,0.4524,0.6799,0.5644,,balanced
char_00118,female,38,overweight,0.5429,0.2246,0.3058,0.5481,0.5474,0.5744,0.438,0.334,0.4947,0.634,,balanced
char_00119,female,34,normal,0.2819,0.1837,0.2241,0.6775,0.6778,0.5103,0.3991,0.6212,0.3778,0.6597,,balanced
char_00120,female,19,athletic_hyper,0.1036,0.8579,0.4105,0.6312,0.6198,0.5807,0.4926,0.3755,0.4541,0.6755,,balanced
char_00121,female,33,athletic_hyper,0.0547,0.7844,0.2905,0.5556,0.4222,0.515,0.6062,0.5178,0.3062,0.4755,,balanced
char_00122,female,34,athletic_lean,0.0901,0.4587,0.445,0.3662,0.4724,0.2168,0.5098,0.3986,0.4667,0.2098,,balanced
char_00123,female,37,overweight,0.412,0.2258,0.3639,0.3188,0.3917,0.6188,0.5924,0.5857,0.4079,0.449,,balanced
char_00124,female,32,athletic_lean,0.066,0.4924,0.3242,0.3057,0.3799,0.4802,0.4591,0.5053,0.5714,0.2714,,upper_dominant
char_00125,female,24,overweight,0.4082,0.2847,0.2631,0.636,0.3925,0.5227,0.5127,0.4218,0.6331,0.336,,balanced
char_00126,female,33,underweight,0.0655,0.0715,0.2589,0.6141,0.3493,0.4426,0.4433,0.6493,0.4543,0.5319,,balanced
char_00127,female,28,obese,0.6731,0.2973,0.2365,0.7801,0.5573,0.7018,0.6888,0.8573,0.7396,0.6369,,balanced
char_00128,female,30,underweight,0.113,0.0725,0.2439,0.3143,0.3984,0.491,0.5668,0.508,0.3245,0.6143,,balanced
char_00129,female,22,obese,0.7805,0.2585,0.3539,0.4679,0.4438,0.4347,0.622,0.4933,0.3491,0.6491,,balanced
char_00130,female,30,overweight,0.5451,0.1882,0.2764,0.6068,0.3806,0.3194,0.4108,0.364,0.3068,0.5845,,balanced
char_00131,female,27,obese,0.7203,0.2069,0.2015,0.5433,0.4289,0.5351,0.5836,0.6597,0.4267,0.3597,,balanced
char_00132,female,32,obese,0.9385,0.2523,0.25,0.4321,0.1977,0.4977,0.4879,0.3072,0.2567,0.3136,,balanced
char_00133,female,20,overweight,0.5622,0.2318,0.3108,0.5192,0.4665,0.7,0.5337,0.4961,0.4,0.6798,,balanced
char_00134,female,25,underweight,0.0579,0.0639,0.3804,0.3806,0.6341,0.5607,0.4434,0.4893,0.4297,0.6806,,balanced
char_00135,female,21,athletic_lean,0.1178,0.5241,0.4508,0.618,0.5817,0.4378,0.6273,0.5293,0.4528,0.3273,,balanced
char_00136,female,18,overweight,0.4857,0.3117,0.3169,0.4553,0.5337,0.735,0.6623,0.435,0.596,0.669,,balanced
char_00137,female,37,normal,0.1909,0.1687,0.2276,0.8203,0.5316,0.7142,0.5203,0.6729,0.688,0.575,,balanced
char_00138,female,26,overweight,0.4458,0.2043,0.2436,0.549,0.685,0.4789,0.385,0.5193,0.4117,0.4398,,balanced
char_00139,female,23,athletic_lean,0.0969,0.5898,0.2824,0.5969,0.6505,0.636,0.6072,0.5069,0.3505,0.4356,,balanced
char_00140,female,32,athletic_hyper,0.0878,0.8034,0.2816,0.6079,0.4687,0.6331,0.3331,0.5933,0.4475,0.4757,,push_dominant
char_00141,female,29,athletic_lean,0.087,0.6205,0.3505,0.4671,0.4917,0.4551,0.6499,0.3499,0.388,0.3845,,pull_dominant
char_00142,female,30,athletic_hyper,0.062,0.8434,0.2341,0.6675,0.4503,0.4528,0.6904,0.3904,0.544,0.5675,,balanced
char_00143,female,27,normal,0.1997,0.258,0.2511,0.5744,0.51,0.6417,0.4853,0.3417,0.4776,0.5179,,balanced
char_00144,female,29,obese,0.7467,0.2564,0.3258,0.4691,0.2406,0.3169,0.205,0.3934,0.1691,0.2729,,balanced
char_00145,female,14,athletic_lean,0.13,0.4,0.2482,0.4104,0.5251,0.458,0.4999,0.5555,0.3968,0.6968,,lower_dominant
char_00146,female,25,athletic_hyper,0.1061,0.8594,0.2993,0.5331,0.7519,0.4952,0.7353,0.7201,0.6924,0.4519,,upper_dominant
char_00147,female,16,athletic_lean,0.1146,0.546,0.2986,0.2568,0.3536,0.2424,0.2482,0.5424,0.466,0.3535,,upper_dominant
char_00148,female,26,athletic_hyper,0.1263,0.8992,0.3769,0.5227,0.6543,0.3824,0.3558,0.494,0.5683,0.6558,,balanced
char_00149,female,28,obese,0.7934,0.243,0.2814,0.2724,0.4161,0.4284,0.3821,0.4215,0.5203,0.5724,,balanced
char_00150,female,35,athletic_lean,0.0849,0.6044,0.3641,0.5734,0.6334,0.4303,0.4784,0.7092,0.6657,0.4092,,balanced
char_00151,female,22,obese,0.8624,0.1941,0.4038,0.5784,0.4965,0.431,0.4062,0.2784,0.4719,0.3051,,balanced
char_00152,female,40,normal,0.2388,0.2258,0.4296,0.6047,0.6196,0.5372,0.8372,0.7384,0.7233,0.7494,,balanced
char_00153,female,35,overweight,0.4917,0.3432,0.2746,0.5481,0.5701,0.5031,0.4946,0.2999,0.4841,0.2701,,balanced
char_00154,female,24,overweight,0.4299,0.2256,0.3373,0.4244,0.7244,0.52,0.6871,0.528,0.5626,0.5851,,balanced
char_00155,female,31,athletic_hyper,0.1155,0.6881,0.3624,0.4337,0.305,0.301,0.216,0.4288,0.2624,0.516,,upper_dominant
char_00156,female,21,overweight,0.5161,0.2057,0.3668,0.4367,0.4753,0.6686,0.4275,0.4343,0.7275,0.5487,,balanced
char_00157,female,24,overweight,0.5455,0.2103,0.3864,0.585,0.4556,0.6563,0.5733,0.3736,0.3563,0.3634,,balanced
char_00158,female,19,athletic_lean,0.1068,0.617,0.3475,0.4979,0.3723,0.6723,0.6086,0.5868,0.4756,0.6426,,balanced
char_00159,female,25,normal,0.1821,0.1544,0.2916,0.5477,0.374,0.3235,0.3905,0.6235,0.534,0.366,,balanced
char_00160,female,22,athletic_lean,0.0717,0.4321,0.2805,0.4559,0.6699,0.5353,0.6088,0.7559,0.6767,0.5197,,balanced
char_00161,female,29,athletic_lean,0.1226,0.5487,0.3923,0.4758,0.5109,0.4511,0.7511,0.6332,0.6781,0.7423,,pull_dominant
char_00162,female,17,obese,0.704,0.1964,0.2743,0.5403,0.6437,0.63,0.415,0.4761,0.715,0.4541,,balanced
char_00163,female,27,athletic_hyper,0.1006,0.7959,0.2484,0.5053,0.474,0.774,0.5302,0.7428,0.5559,0.4776,,balanced
char_00164,female,28,obese,0.9158,0.209,0.2753,0.6232,0.3961,0.6707,0.4171,0.477,0.6961,0.48,,balanced
char_00165,female,24,obese,0.8218,0.19,0.2719,0.4479,0.1754,0.4737,0.4083,0.4754,0.4468,0.2993,,balanced
char_00166,female,14,underweight,0.1227,0.0755,0.3323,0.5425,0.5446,0.6064,0.7199,0.7548,0.8,0.5753,,balanced
char_00167,female,26,athletic_hyper,0.1116,0.786,0.2311,0.3735,0.3362,0.2211,0.4301,0.3811,0.336,0.5211,,balanced
char_00168,female,40,normal,0.2392,0.2293,0.4143,0.4143,0.6837,0.6024,0.6263,0.6078,0.7041,0.7143,,balanced
char_00169,female,15,normal,0.2937,0.2052,0.28,0.6272,0.7777,0.567,0.6518,0.6858,0.7129,0.4777,,balanced
char_00170,female,36,overweight,0.538,0.2552,0.3345,0.4891,0.2977,0.2744,0.5744,0.473,0.3316,0.2882,,balanced
char_00171,female,18,athletic_lean,0.0942,0.4595,0.2816,0.5074,0.5646,0.7238,0.7399,0.8041,0.8074,0.5958,,lower_dominant
char_00172,female,27,overweight,0.5432,0.2764,0.3415,0.6881,0.5113,0.6483,0.8113,0.6446,0.5447,0.7755,,balanced
char_00173,female,19,overweight,0.4966,0.3319,0.3937,0.7141,0.4141,0.6114,0.6541,0.4537,0.4742,0.4551,,balanced
char_00174,female,39,athletic_lean,0.0704,0.5549,0.2978,0.3561,0.3389,0.5236,0.4035,0.6389,0.4519,0.3491,,balanced
char_00175,female,25,athletic_lean,0.0658,0.5471,0.3308,0.161,0.1436,0.0853,0.136,0.198,0.3853,0.1274,,balanced
char_00176,female,24,overweight,0.4809,0.3235,0.3104,0.5187,0.4692,0.3779,0.2187,0.3051,0.45,0.4074,,balanced
char_00177,female,23,normal,0.2171,0.2494,0.3,0.4702,0.3285,0.361,0.6285,0.4099,0.4209,0.329,,balanced
char_00178,female,26,normal,0.27,0.1743,0.2649,0.6028,0.405,0.3028,0.5928,0.5567,0.408,0.5101,,balanced
char_00179,female,38,overweight,0.4121,0.1683,0.2234,0.2021,0.3289,0.4131,0.3734,0.499,0.3756,0.5021,,balanced
char_00180,female,21,normal,0.2293,0.2162,0.3622,0.3998,0.5783,0.3864,0.2783,0.551,0.4919,0.289,,balanced
char_00181,female,26,athletic_hyper,0.1284,0.8543,0.2423,0.7967,0.4967,0.7074,0.7446,0.5977,0.4995,0.6722,,pull_dominant
char_00182,female,22,athletic_hyper,0.1172,0.8728,0.3867,0.4912,0.2891,0.2771,0.4641,0.5771,0.4087,0.5399,,lower_dominant
char_00183,female,24,underweight,0.0227,0.1318,0.2478,0.4532,0.4038,0.3481,0.3877,0.6158,0.6481,0.4471,,balanced
char_00184,female,26,normal,0.3099,0.1801,0.296,0.531,0.3415,0.2471,0.322,0.5234,0.5471,0.288,,balanced
char_00185,female,24,obese,0.7204,0.2609,0.2771,0.6687,0.5497,0.6063,0.3687,0.6532,0.6592,0.6002,,balanced
char_00186,female,31,overweight,0.5383,0.2463,0.2442,0.3026,0.3713,0.5344,0.5014,0.5711,0.6026,0.5968,,balanced
char_00187,female,18,obese,0.7611,0.3232,0.2521,0.6559,0.6323,0.4782,0.6021,0.6075,0.3559,0.4261,,balanced
char_00188,female,20,overweight,0.4774,0.2326,0.2253,0.7301,0.5123,0.6823,0.7481,0.5718,0.6815,0.4481,,balanced
char_00189,female,33,athletic_hyper,0.0716,0.9628,0.3397,0.6908,0.7013,0.521,0.4035,0.4013,0.5194,0.4302,,pull_dominant
char_00190,female,27,normal,0.2423,0.2218,0.3067,0.6563,0.4241,0.3814,0.3563,0.4512,0.3585,0.4943,,balanced
char_00191,female,35,athletic_lean,0.089,0.4685,0.2924,0.467,0.4665,0.3542,0.6542,0.3607,0.602,0.5223,,upper_dominant
char_00192,female,25,normal,0.2548,0.2302,0.2593,0.582,0.5678,0.8678,0.6397,0.8528,0.6459,0.664,,balanced
char_00193,female,33,overweight,0.4521,0.2398,0.2435,0.4235,0.6573,0.5373,0.639,0.3573,0.5093,0.449,,balanced
char_00194,female,25,athletic_lean,0.1287,0.5455,0.3422,0.2691,0.2943,0.5464,0.2636,0.3509,0.465,0.5636,,push_dominant
char_00195,female,27,normal,0.2904,0.1215,0.3791,0.6886,0.5054,0.4679,0.4478,0.7361,0.7478,0.4651,,balanced
char_00196,female,40,normal,0.2233,0.225,0.2844,0.6205,0.3482,0.3224,0.3469,0.3205,0.3512,0.5902,,balanced
char_00197,female,25,athletic_hyper,0.1346,0.7428,0.2683,0.4626,0.4303,0.6126,0.4422,0.4093,0.3765,0.6765,,balanced
char_00198,female,23,athletic_hyper,0.0856,0.8025,0.3157,0.5605,0.4202,0.6951,0.486,0.4269,0.5103,0.7202,,balanced
char_00199,female,16,normal,0.282,0.1709,0.2513,0.5121,0.6472,0.3633,0.4597,0.5977,0.597,0.6633,,balanced
char_00200,female,31,overweight,0.5014,0.2767,0.3228,0.5297,0.5355,0.4458,0.7458,0.5826,0.648,0.6663,,balanced
char_00201,female,34,athletic_hyper,0.1034,0.7381,0.2899,0.4493,0.2829,0.4497,0.4149,0.4273,0.5624,0.2624,,balanced
char_00202,female,38,overweight,0.4988,0.3244,0.2899,0.4351,0.5925,0.5777,0.3374,0.6374,0.5444,0.4619,,balanced
char_00203,female,23,obese,0.857,0.2154,0.3039,0.385,0.5113,0.3969,0.579,0.5905,0.6275,0.3275,,balanced
